Real Det Return,Itration,Running Update Time,Running Env Steps,Running Reverse KL,Real Sto Return,Reward Loss,Running Forward KL
193.24,0,0,0,23.0485,191.61,-99.22483825683594,38.3349
306.12,1,1,5000,22.5079,306.91,-108.95368957519531,36.8703
298.43,2,2,10000,22.6873,293.66,-105.5030746459961,36.9861
329.49,3,3,15000,18.2809,326.97,-92.25225830078125,35.6138
339.63,4,4,20000,21.8276,329.72,-145.21438598632812,36.8152
397.33,5,5,25000,20.716,398.43,-143.66275024414062,34.0958
345.56,6,6,30000,20.2588,370.9,-143.07427978515625,34.7733
387.72,7,7,35000,20.2782,385.24,-155.77069091796875,33.9381
377.71,8,8,40000,18.2625,376.01,-162.1214599609375,34.1838
494.48,9,9,45000,17.6646,485.15,-168.84288024902344,33.6388
422.18,10,10,50000,18.3527,427.17,-194.650634765625,34.5362
553.47,11,11,55000,20.4051,517.41,-196.83810424804688,32.7892
588.86,12,12,60000,19.0916,361.73,-192.62921142578125,34.2695
574.99,13,13,65000,19.8185,583.29,-210.58042907714844,33.9597
663.42,14,14,70000,18.1918,613.57,-199.1802215576172,33.5717
640.7,15,15,75000,18.7473,633.69,-215.0609130859375,32.3152
583.6,16,16,80000,21.4477,528.71,-241.9807891845703,34.3797
621.86,17,17,85000,18.687,509.37,-220.6385498046875,33.5185
592.26,18,18,90000,18.8702,586.23,-229.20555114746094,33.1896
724.34,19,19,95000,33.1775,822.45,-258.7930603027344,32.0493
610.39,20,20,100000,16.1734,658.2,-100.97977447509766,32.31
691.69,21,21,105000,27.9004,690.66,-231.40196228027344,32.9713
881.22,22,22,110000,14.9507,854.53,-165.28250122070312,32.3066
786.85,23,23,115000,19.5397,767.1,-87.66573333740234,32.3697
2579.68,24,24,120000,13.4889,1980.87,-61.952144622802734,31.0866
2084.67,25,25,125000,13.5311,1412.75,-62.20024871826172,31.3863
833.98,26,26,130000,13.0845,890.45,-151.610107421875,31.7263
779.53,27,27,135000,26.0087,804.58,-229.6670379638672,31.4651
1122.48,28,28,140000,20.0092,1178.32,-209.2993621826172,30.2878
1144.07,29,29,145000,32.109,1167.31,-253.50338745117188,30.8761
923.13,30,30,150000,36.5611,945.57,-305.8070068359375,31.5548
1066.32,31,31,155000,19.7556,1214.7,-208.05123901367188,31.502
1339.28,32,32,160000,28.9719,1079.78,-287.3856506347656,30.414
1674.19,33,33,165000,19.1613,1386.4,-213.44842529296875,30.8531
1865.94,34,34,170000,18.3863,1762.16,-169.63037109375,30.9075
1730.75,35,35,175000,32.4072,1088.71,-315.5318908691406,32.0786
1595.57,36,36,180000,25.6915,1676.4,-258.364501953125,30.2635
895.43,37,37,185000,19.9452,1262.64,-279.0032043457031,31.0712
2639.73,38,38,190000,25.0445,1176.9,-341.6203918457031,32.5287
974.06,39,39,195000,31.6892,1023.3,-361.23358154296875,31.5738
2295.82,40,40,200000,21.1198,1957.72,-243.17776489257812,29.5458
1871.15,41,41,205000,22.4133,1337.5,-304.6300964355469,31.2819
2858.08,42,42,210000,15.7983,2475.55,-122.80705261230469,28.8928
2652.14,43,43,215000,16.9413,2265.52,-163.89593505859375,29.0838
1176.53,44,44,220000,30.9971,969.68,-392.7134704589844,32.2792
2758.87,45,45,225000,23.3031,2200.48,-189.5728759765625,31.233
873.64,46,46,230000,21.7066,903.19,-435.5777893066406,32.112
2919.77,47,47,235000,16.6426,2751.23,-175.9290771484375,30.3337
2948.94,48,48,240000,18.6389,1808.83,-260.9443664550781,31.2592
2976.14,49,49,245000,16.99,2740.93,-164.26727294921875,29.9672
3031.33,50,50,250000,21.6399,2821.16,-135.82598876953125,30.2207
2942.51,51,51,255000,19.1017,2877.75,-84.57327270507812,30.8284
