Itration,Real Sto Return,Running Forward KL,Real Det Return,Running Reverse KL
0,289.06,38.3062,293.72,38.3922
1,264.01,37.3401,270.3,51.9566
2,320.11,37.2707,334.23,57.8961
3,305.51,37.0728,306.27,44.2195
4,314.27,37.3452,315.52,41.408
5,619.21,34.2738,679.94,43.2459
6,1444.91,33.6321,325.62,15.53
7,973.82,33.328,1088.35,40.3741
8,714.05,33.4143,836.95,46.2644
9,1143.63,32.8619,1243.03,39.0514
10,1046.34,31.8635,833.6,40.699
11,976.84,33.3636,1047.8,41.2648
12,1716.31,32.2533,2374.32,27.973
13,2846.58,31.5451,2209.36,16.2984
14,2953.12,31.9575,2993.19,16.8126
15,1287.32,32.45,3109.03,35.1695
16,2356.46,31.8131,1695.85,30.1265
17,1876.78,30.8336,1622.95,22.0993
18,2213.09,31.9705,3137.28,18.4988
19,2326.66,31.1772,2813.96,18.5661
20,2693.48,31.2052,2953.95,17.6131
21,2712.82,31.0066,3144.57,19.1748
22,2287.43,31.3536,3158.99,18.6617
23,2829.7,31.4504,3166.55,17.1938
