Reward Loss,Real Det Return,Running Update Time,Running Reverse KL,Running Env Steps,Running Forward KL,Itration,Real Sto Return
79.6117172241211,554.87,0,27.0313,0,76.0887,0,-36.44
58.06117630004883,592.06,1,29.0165,5000,74.1921,1,-27.91
50.261131286621094,512.41,2,27.7074,10000,73.572,2,-8.9
33.42505645751953,551.85,3,29.5691,15000,74.59,3,61.1
17.98384666442871,562.05,4,30.8709,20000,74.5167,4,109.34
2.9010958671569824,707.42,5,30.5005,25000,74.1194,5,97.29
-14.750767707824707,647.17,6,32.4123,30000,74.4112,6,105.05
-24.593204498291016,467.23,7,31.0488,35000,74.7747,7,152.56
-42.07269287109375,589.6,8,30.8727,40000,73.8332,8,138.53
-58.92668914794922,651.81,9,32.569,45000,74.9049,9,167.14
-69.55833435058594,614.26,10,33.7201,50000,74.2871,10,172.98
-77.75299072265625,490.77,11,30.8233,55000,74.4564,11,114.91
-95.85993957519531,796.93,12,32.2928,60000,74.0402,12,171.06
-109.26666259765625,689.34,13,30.1151,65000,71.252,13,141.02
-129.48480224609375,362.6,14,31.1521,70000,73.8922,14,217.95
-140.98780822753906,523.56,15,32.492,75000,73.517,15,147.97
-151.98703002929688,721.32,16,30.2004,80000,72.0555,16,168.06
-170.85598754882812,627.94,17,31.0557,85000,72.751,17,157.15
-180.5596923828125,541.94,18,30.0013,90000,72.1375,18,163.33
-195.1615447998047,418.03,19,31.135,95000,73.4876,19,226.98
-210.2014617919922,691.83,20,30.1898,100000,72.3049,20,159.5
-224.9462890625,621.5,21,30.4982,105000,73.4168,21,241.18
-242.43898010253906,588.01,22,31.0149,110000,74.3384,22,102.76
-253.8267059326172,735.54,23,31.215,115000,71.9032,23,147.79
-270.0056457519531,622.29,24,31.1046,120000,73.1019,24,167.11
-283.1600646972656,835.66,25,31.0924,125000,72.0568,25,227.02
-303.2672424316406,672.12,26,31.828,130000,73.0372,26,161.74
-313.9423522949219,660.21,27,30.3509,135000,70.4184,27,192.36
-326.7153015136719,430.85,28,30.401,140000,71.1741,28,109.35
-344.28717041015625,578.24,29,30.7037,145000,72.6912,29,181.57
-361.0498352050781,741.17,30,30.4851,150000,73.0279,30,230.03
-375.7062683105469,698.36,31,29.9193,155000,71.6789,31,108.47
-394.8188171386719,612.69,32,32.6917,160000,72.2135,32,219.7
-410.5288391113281,628.03,33,32.4237,165000,73.7069,33,149.83
-421.88714599609375,735.16,34,29.8999,170000,72.0668,34,203.75
-439.1292724609375,748.29,35,30.4464,175000,72.1415,35,158.57
-456.240966796875,828.52,36,30.387,180000,72.198,36,199.69
-474.8106384277344,773.91,37,32.5707,185000,72.9748,37,136.77
-485.84796142578125,589.03,38,29.8234,190000,72.833,38,150.96
-496.8462219238281,680.77,39,29.8879,195000,71.6803,39,184.23
-516.1319580078125,671.48,40,29.9795,200000,71.4779,40,241.99
-540.19287109375,631.69,41,30.7149,205000,71.8536,41,247.02
-554.3753051757812,596.15,42,30.8675,210000,72.7246,42,200.47
-558.7662353515625,861.03,43,30.3327,215000,70.4978,43,305.44
-585.6217651367188,776.14,44,31.5933,220000,70.3351,44,274.76
-606.9984130859375,822.83,45,30.0275,225000,71.99,45,251.54
-615.5431518554688,877.66,46,29.9789,230000,70.9506,46,244.92
-630.409423828125,910.32,47,30.3628,235000,70.9557,47,214.3
-646.24267578125,916.54,48,29.5495,240000,70.0414,48,212.03
-665.5333251953125,684.22,49,29.6481,245000,70.4422,49,195.9
-694.4346313476562,928.22,50,30.1192,250000,72.7875,50,272.52
-715.2006225585938,860.75,51,30.7654,255000,71.4951,51,198.42
-732.4027709960938,924.1,52,30.7095,260000,71.3897,52,193.07
-745.2023315429688,812.53,53,30.3885,265000,71.0426,53,229.51
-763.6874389648438,912.85,54,29.6515,270000,71.0366,54,182.91
-783.2774047851562,920.32,55,30.0181,275000,71.8943,55,173.92
-805.4666137695312,999.43,56,30.5183,280000,71.6381,56,265.8
-827.1657104492188,929.01,57,30.4836,285000,71.7662,57,256.86
-837.9327392578125,856.11,58,29.9439,290000,70.2134,58,259.8
-863.2473754882812,897.7,59,30.1776,295000,71.798,59,205.54
-879.91943359375,787.81,60,30.613,300000,71.1386,60,237.03
-903.079345703125,930.45,61,29.886,305000,71.0786,61,212.1
-921.38037109375,810.57,62,30.1409,310000,72.3653,62,256.02
-931.2623901367188,867.54,63,29.8297,315000,70.0454,63,214.55
-958.4473876953125,873.13,64,29.6883,320000,70.8998,64,279.5
-976.808837890625,959.3,65,30.5367,325000,70.7085,65,297.68
-995.3948974609375,798.55,66,29.8124,330000,70.435,66,229.24
-1015.44189453125,870.45,67,29.2911,335000,70.4418,67,256.77
-1027.0518798828125,974.43,68,29.7164,340000,69.9794,68,284.55
-1064.7879638671875,911.34,69,29.7313,345000,71.1622,69,278.82
-1077.9619140625,941.87,70,29.4373,350000,69.1682,70,315.3
-1112.090087890625,853.53,71,30.328,355000,71.7459,71,312.81
-1088.68505859375,960.51,72,29.4003,360000,67.0524,72,206.02
-1155.4136962890625,866.08,73,29.6045,365000,70.2521,73,290.47
-1170.366943359375,873.42,74,29.6802,370000,68.9759,74,246.03
-1183.1292724609375,783.73,75,30.5038,375000,68.1937,75,246.15
-1218.3660888671875,759.83,76,29.9214,380000,71.6559,76,221.07
-1259.09375,1009.68,77,30.1783,385000,70.1281,77,317.02
-1284.6903076171875,817.97,78,29.962,390000,70.0838,78,280.71
-1302.6676025390625,996.58,79,30.1886,395000,71.8254,79,265.37
-1302.5299072265625,886.37,80,29.4096,400000,68.6276,80,243.28
-1344.968505859375,697.52,81,29.6865,405000,70.2595,81,231.69
-1376.25537109375,907.47,82,30.4322,410000,71.1167,82,215.6
-1403.6953125,747.9,83,30.1698,415000,71.2465,83,234.9
-1423.7413330078125,869.85,84,30.1552,420000,70.7091,84,265.93
-1455.1348876953125,798.94,85,29.582,425000,71.0634,85,251.62
-1482.7122802734375,975.91,86,30.4811,430000,71.9298,86,269.5
-1465.8363037109375,901.62,87,29.1658,435000,67.6488,87,231.44
-1525.9677734375,868.97,88,30.4163,440000,70.1632,88,291.99
-1574.021484375,864.67,89,30.2932,445000,72.1901,89,267.65
-1593.023193359375,1010.84,90,29.8242,450000,70.9505,90,251.27
-1605.767333984375,977.86,91,29.5071,455000,68.561,91,281.05
-1640.458251953125,829.05,92,29.5641,460000,71.0672,92,227.05
-1648.8436279296875,983.32,93,30.0534,465000,70.5172,93,261.58
-1717.2962646484375,933.02,94,30.8048,470000,72.1493,94,290.97
-1740.9588623046875,763.84,95,29.9117,475000,71.1698,95,264.75
-1742.62353515625,908.28,96,29.7319,480000,70.546,96,231.74
-1785.014892578125,920.4,97,29.7154,485000,70.162,97,275.52
-1830.203369140625,678.01,98,30.4265,490000,71.4597,98,262.42
-1832.01806640625,823.65,99,30.2067,495000,70.2392,99,299.81
-1876.09033203125,831.71,100,30.096,500000,71.5529,100,289.2
-1915.505126953125,771.65,101,29.9159,505000,70.7173,101,266.55
-1951.491455078125,736.09,102,30.1269,510000,71.4839,102,242.86
-2007.3189697265625,663.85,103,30.2613,515000,73.5559,103,257.33
-2020.2156982421875,767.16,104,30.2945,520000,73.2823,104,286.15
-1998.7349853515625,933.41,105,29.2736,525000,68.7447,105,181.05
-2054.1845703125,652.7,106,29.9015,530000,70.5142,106,205.11
-2073.358642578125,775.35,107,29.8085,535000,70.23,107,305.11
-2134.1767578125,881.98,108,30.5127,540000,70.9942,108,272.97
-2202.197265625,694.03,109,30.8615,545000,73.9235,109,169.12
-2204.5439453125,750.34,110,30.2805,550000,70.3001,110,186.45
-2188.221435546875,847.08,111,29.5672,555000,68.9609,111,284.21
-2292.654541015625,972.49,112,30.3444,560000,72.4209,112,293.51
-2262.70654296875,1042.36,113,28.8435,565000,68.5809,113,343.24
-2330.48779296875,818.68,114,29.3185,570000,69.8573,114,279.83
-2400.7138671875,969.82,115,30.4764,575000,71.8342,115,229.16
-2458.366455078125,856.42,116,30.2905,580000,72.2067,116,279.95
-2439.0888671875,895.48,117,29.3694,585000,70.5897,117,271.77
-2491.612548828125,816.43,118,29.8876,590000,70.8937,118,315.82
-2499.226806640625,990.37,119,29.4997,595000,70.2841,119,240.52
-2558.595458984375,778.39,120,29.5677,600000,70.4271,120,272.86
-2604.782470703125,908.23,121,29.8659,605000,70.155,121,283.96
-2635.3876953125,975.25,122,29.5433,610000,69.9979,122,346.9
-2691.0654296875,765.78,123,29.8064,615000,71.1591,123,248.07
-2776.812255859375,872.43,124,30.3358,620000,71.9403,124,252.19
-2773.96142578125,889.31,125,30.2435,625000,70.7351,125,296.29
-2669.65087890625,972.11,126,29.5135,630000,66.0393,126,325.72
-2891.134521484375,814.31,127,30.383,635000,72.8607,127,313.0
-2936.951171875,914.28,128,30.4629,640000,71.9147,128,297.37
-2980.49072265625,1004.7,129,30.9198,645000,72.2254,129,262.03
-2976.591796875,961.35,130,30.0016,650000,71.0847,130,318.9
-3001.72021484375,852.22,131,29.5979,655000,69.8748,131,291.99
-3079.7919921875,967.14,132,30.1602,660000,71.2848,132,317.87
-3126.584228515625,756.34,133,30.2599,665000,71.7884,133,284.67
-3156.7646484375,982.36,134,30.031,670000,70.4279,134,303.05
-3232.300048828125,1015.24,135,30.1423,675000,71.0328,135,286.72
-3235.94482421875,832.53,136,30.1433,680000,70.0357,136,234.03
-3329.386474609375,791.02,137,30.2767,685000,71.9011,137,283.54
-3392.754150390625,862.03,138,30.4541,690000,72.7918,138,294.51
-3412.143310546875,1001.38,139,30.2375,695000,71.705,139,340.31
-3453.89990234375,911.96,140,30.7534,700000,71.6337,140,290.43
-3531.156005859375,913.17,141,30.2364,705000,71.5954,141,296.33
-3570.991455078125,914.86,142,30.13,710000,70.2424,142,294.73
-3609.987548828125,947.9,143,29.7101,715000,68.9742,143,271.97
-3656.849609375,780.37,144,30.1126,720000,69.6014,144,326.05
-3731.920654296875,937.52,145,29.9592,725000,71.1656,145,329.47
-3725.082275390625,842.71,146,29.4742,730000,69.9988,146,305.49
-3790.508544921875,989.34,147,29.5167,735000,70.2604,147,306.14
-3748.46533203125,1058.33,148,29.3808,740000,66.4977,148,361.32
-3862.909423828125,1017.26,149,30.2599,745000,69.3528,149,296.91
-3982.05029296875,1023.82,150,30.725,750000,71.2996,150,336.57
-3998.074462890625,869.81,151,30.0973,755000,70.6291,151,266.6
-3971.8701171875,989.64,152,30.3597,760000,67.2909,152,366.18
-4192.03662109375,1013.51,153,30.4414,765000,71.013,153,341.47
-4172.6396484375,1027.57,154,30.3355,770000,71.1441,154,306.38
-4245.12060546875,935.06,155,29.6475,775000,70.2948,155,298.97
-4310.96044921875,928.61,156,30.1546,780000,71.5479,156,377.19
-4277.70068359375,978.28,157,29.7655,785000,67.2891,157,261.21
-4271.9560546875,927.05,158,29.449,790000,68.1873,158,340.21
-4450.79541015625,1062.09,159,29.9253,795000,68.9544,159,323.25
-4574.26953125,974.22,160,30.0611,800000,70.7933,160,347.24
-4528.47216796875,589.09,161,30.2425,805000,70.1265,161,295.01
-4644.95556640625,981.89,162,30.158,810000,69.2362,162,366.34
-4680.5732421875,880.23,163,30.0593,815000,69.8209,163,342.69
-4866.9052734375,707.33,164,30.1222,820000,73.4304,164,246.66
-4908.421875,965.83,165,30.6957,825000,71.9309,165,315.9
-4914.0771484375,868.96,166,30.2778,830000,70.2774,166,269.45
-4978.32861328125,770.85,167,30.5131,835000,71.9385,167,351.38
-5147.86474609375,920.37,168,30.2742,840000,72.1348,168,302.83
-5106.755859375,1042.62,169,30.0935,845000,69.8939,169,342.05
-5180.85009765625,973.66,170,29.7198,850000,70.9217,170,316.8
-5233.966796875,945.91,171,30.4267,855000,71.1858,171,324.55
-5282.6572265625,849.28,172,30.1975,860000,70.3149,172,270.49
