Itration,Running Forward KL,Real Sto Return,Running Env Steps,Running Update Time,Reward Loss,Running Reverse KL,Real Det Return
0,49.727,395.59,0,0,813.8079833984375,15.7835,460.21
1,49.5543,397.48,5000,1,736.742431640625,13.1062,279.16
2,49.8803,193.9,10000,2,759.8524169921875,13.2467,373.85
3,48.7383,427.02,15000,3,718.2931518554688,12.7008,368.98
4,49.1684,333.15,20000,4,752.763916015625,15.2135,313.63
5,48.9386,428.04,25000,5,672.7431030273438,15.3713,444.56
6,49.7899,352.38,30000,6,682.9869384765625,17.4347,310.24
7,49.5595,361.89,35000,7,707.4290161132812,14.6368,439.73
8,49.1059,412.04,40000,8,607.829345703125,15.3677,466.0
9,48.8468,467.57,45000,9,413.2265625,14.8166,502.77
10,50.726,489.99,50000,10,151.173095703125,19.979,312.17
11,50.0989,429.99,55000,11,330.65521240234375,14.1091,304.32
12,47.9774,1014.61,60000,12,319.01995849609375,20.0973,1964.07
13,48.472,905.11,65000,13,214.40155029296875,21.1089,1627.36
14,47.8414,717.96,70000,14,187.08018493652344,24.2287,1015.38
15,47.8334,814.11,75000,15,24.47357940673828,16.1092,742.7
16,47.1755,1095.26,80000,16,187.52508544921875,19.2908,910.21
17,46.7068,1206.58,85000,17,106.59567260742188,17.218,1599.73
18,47.9129,1087.9,90000,18,18.28898811340332,17.5489,1290.37
19,47.1061,1059.14,95000,19,-40.28274154663086,15.8885,948.12
20,47.9905,1022.44,100000,20,-27.5347843170166,22.9915,1246.53
21,46.6028,935.48,105000,21,-499.169189453125,19.331,819.99
22,46.0093,1169.34,110000,22,-276.63079833984375,23.295,1031.03
23,46.7341,1243.86,115000,23,-325.13128662109375,38.9583,1518.77
24,47.164,902.55,120000,24,-397.3624572753906,32.9032,823.03
25,46.9525,1213.83,125000,25,-442.7894287109375,25.2853,1409.26
26,46.8056,1207.47,130000,26,-516.0875854492188,25.9317,1475.49
27,47.4068,1256.79,135000,27,-523.928955078125,32.557,1752.03
28,46.3926,1335.5,140000,28,-653.998779296875,26.3474,1592.68
29,46.0278,1428.4,145000,29,-683.4219970703125,24.9873,1832.15
30,46.5237,1442.93,150000,30,-747.1859130859375,21.4676,1387.22
31,46.2685,1398.38,155000,31,-960.2772827148438,19.6851,1608.77
32,46.1847,1262.36,160000,32,-828.0535888671875,32.9912,1373.54
33,45.9125,1045.22,165000,33,-757.1549072265625,25.5385,1213.82
34,46.2491,1166.97,170000,34,-717.1786499023438,17.6973,1322.78
35,46.9561,1143.49,175000,35,-637.4989624023438,30.3245,1453.56
36,45.7088,1333.94,180000,36,-889.7982177734375,21.6611,1938.19
37,45.9743,1389.4,185000,37,-940.9548950195312,16.1037,1425.93
38,46.2524,1503.97,190000,38,-1038.5284423828125,23.7161,2700.3
39,46.6989,1439.84,195000,39,-1194.3341064453125,27.0113,1608.52
40,46.1233,1531.53,200000,40,-1074.9981689453125,25.8339,1927.5
41,46.593,1336.57,205000,41,-1255.83935546875,25.28,1104.85
42,47.6057,1405.29,210000,42,-1365.1689453125,30.7233,840.98
43,46.4627,1459.44,215000,43,-1097.9166259765625,18.4086,1853.16
44,46.9098,1165.36,220000,44,-1292.6136474609375,14.4517,1481.8
45,45.9196,1533.62,225000,45,-1303.2850341796875,14.9645,2347.73
46,46.0238,1407.78,230000,46,-1448.992431640625,14.7969,1709.82
47,45.8528,1367.2,235000,47,-1258.4796142578125,18.5604,2439.73
48,45.5154,1449.98,240000,48,-1606.2457275390625,15.3001,1852.01
49,45.5966,1590.51,245000,49,-1575.0340576171875,15.9523,1351.7
50,46.4165,1519.6,250000,50,-1465.5865478515625,18.2072,1304.66
51,46.2521,1544.06,255000,51,-1627.87060546875,15.6003,1554.75
52,45.7666,1030.9,260000,52,-1758.749267578125,15.1155,1447.26
53,45.2382,2402.47,265000,53,-1661.1650390625,14.5866,3237.29
54,45.6836,2166.44,270000,54,-1642.462890625,19.9049,3341.88
55,45.7786,2229.91,275000,55,-1899.4501953125,15.2348,1882.25
56,45.6133,1620.79,280000,56,-1799.597900390625,16.5987,2220.6
57,45.4528,1521.86,285000,57,-1859.1025390625,17.1363,1981.65
58,46.5235,2021.19,290000,58,-1876.351318359375,19.3925,3069.47
59,45.7837,1633.98,295000,59,-2100.93896484375,16.5312,2398.73
60,45.5324,2587.73,300000,60,-2030.5008544921875,17.1764,2800.34
61,45.5938,2124.41,305000,61,-2054.282470703125,16.8525,3240.51
62,46.1233,2424.66,310000,62,-2210.108642578125,24.0643,1206.47
63,44.911,1455.43,315000,63,-2564.78466796875,16.4374,2482.27
64,45.1915,1911.78,320000,64,-2413.81005859375,14.4871,2919.3
65,45.5314,1995.9,325000,65,-2290.69677734375,15.8898,3261.27
66,45.3233,1940.49,330000,66,-2312.581787109375,16.003,2752.27
67,45.1641,1964.71,335000,67,-2616.159423828125,15.6958,2838.75
68,45.8065,2087.54,340000,68,-2532.900390625,17.4774,3589.21
69,44.9186,2164.86,345000,69,-2498.342041015625,16.9503,3349.9
70,46.1486,2325.01,350000,70,-2486.8447265625,18.1409,3522.17
71,45.9299,2794.52,355000,71,-2389.897705078125,18.0466,3414.87
72,45.4058,3121.76,360000,72,-2260.028076171875,18.6265,3233.61
73,46.3279,2952.07,365000,73,-2277.8046875,21.0828,3057.35
74,45.6685,2449.87,370000,74,-2361.797607421875,19.4546,3300.29
75,45.939,2307.36,375000,75,-2585.5,20.0063,3554.12
76,45.7865,2273.95,380000,76,-2527.31005859375,20.0537,3583.39
77,45.6378,2581.35,385000,77,-2789.517578125,25.549,3549.73
78,45.3289,2598.19,390000,78,-2741.57275390625,17.0292,2967.99
79,46.3739,3033.62,395000,79,-2530.508056640625,23.8182,3460.19
80,45.8014,1966.23,400000,80,-2884.5263671875,17.9779,2636.41
81,45.495,3220.84,405000,81,-2567.93310546875,21.5752,3447.61
82,45.4233,2378.36,410000,82,-2753.61328125,19.9795,2795.57
83,45.4707,2779.79,415000,83,-3038.69580078125,18.1267,3441.25
84,45.0081,1989.93,420000,84,-3105.965576171875,15.2955,2165.14
85,45.1055,1796.42,425000,85,-3125.469482421875,16.6336,2870.79
86,45.3663,1754.56,430000,86,-3232.74560546875,17.7415,2999.95
87,46.0138,3388.54,435000,87,-3162.83056640625,17.4012,3502.56
88,45.4648,2427.96,440000,88,-3017.497802734375,17.2625,3366.57
89,45.4336,2251.82,445000,89,-3085.058837890625,20.2091,3169.66
90,45.4995,2766.79,450000,90,-3177.737060546875,15.8025,3631.27
91,45.7686,2831.92,455000,91,-3268.14013671875,17.4063,2966.38
92,45.5709,2415.54,460000,92,-3542.355712890625,14.8968,3546.59
93,45.4635,3003.67,465000,93,-3208.762451171875,20.3073,1035.77
94,45.6036,1770.83,470000,94,-3406.6953125,17.8425,851.96
95,45.3445,2042.21,475000,95,-3388.87548828125,24.0034,3582.15
96,45.3684,2886.68,480000,96,-3268.177734375,18.4991,3311.72
97,45.7277,2405.42,485000,97,-3445.06103515625,21.1091,3705.04
98,45.5855,3120.21,490000,98,-3416.080322265625,18.1347,3520.65
99,46.0275,3255.28,495000,99,-3480.24462890625,20.3261,3303.3
100,45.9711,3033.52,500000,100,-3480.375244140625,19.2806,3356.56
101,45.4093,3027.63,505000,101,-3449.007080078125,19.6563,3480.03
102,45.8262,2208.66,510000,102,-3909.12744140625,20.5566,2843.18
103,44.9451,2436.24,515000,103,-3694.6650390625,20.119,3668.9
104,45.1347,2387.3,520000,104,-3833.408935546875,16.6345,3392.78
105,45.7533,2377.16,525000,105,-3805.649658203125,20.3766,3505.84
106,45.3365,2813.01,530000,106,-3833.56298828125,17.9247,1869.87
107,44.9658,2988.17,535000,107,-3850.077392578125,18.1753,3605.09
108,45.2354,2331.83,540000,108,-4004.923583984375,18.5683,3434.03
109,45.3544,1912.99,545000,109,-4098.525390625,15.9833,2332.56
110,45.7031,1938.6,550000,110,-4408.72802734375,17.4671,2525.53
111,45.9856,3368.63,555000,111,-3920.51220703125,20.7094,3610.91
112,45.5547,2759.34,560000,112,-4484.08740234375,19.2171,3779.11
113,45.661,2930.21,565000,113,-4159.46728515625,22.2805,3714.84
114,45.368,3246.42,570000,114,-4188.69140625,19.3115,2943.82
115,45.5958,2010.62,575000,115,-4463.017578125,17.0126,3313.11
116,45.8349,2660.3,580000,116,-4318.07958984375,17.5713,2025.64
117,45.8114,1298.16,585000,117,-4441.16845703125,20.0204,2987.15
118,45.4093,1637.54,590000,118,-4570.03955078125,18.5211,1271.63
119,50.4847,183.21,595000,119,-4241.275390625,52.8141,28.86
120,50.1513,390.36,600000,120,-4262.04345703125,54.4084,412.89
121,45.7744,1764.7,605000,121,-4628.8291015625,19.3058,1768.99
122,46.0725,2092.07,610000,122,-4862.47900390625,19.8988,2989.09
123,46.1698,2497.3,615000,123,-4691.27490234375,22.5737,1591.97
124,46.0472,3195.93,620000,124,-4784.171875,21.2008,3307.04
125,45.5646,2337.62,625000,125,-5198.44482421875,18.2858,2750.71
126,45.6803,3100.15,630000,126,-4629.7841796875,19.403,3135.6
127,45.2563,3458.26,635000,127,-4910.06005859375,17.3978,3247.53
128,45.03,2675.51,640000,128,-4744.80419921875,17.596,3842.03
129,44.6784,2785.61,645000,129,-5295.16796875,16.0512,2714.85
130,45.3865,2709.11,650000,130,-5218.84326171875,18.2408,2828.02
131,46.0658,3285.54,655000,131,-5002.625,20.1858,3461.71
