Real Sto Return,Running Reverse KL,Running Update Time,Real Det Return,Reward Loss,Itration,Running Env Steps,Running Forward KL
-43.89,26.9073,0,348.56,-42.080562591552734,0,0,73.5723
-23.1,27.0618,1,371.89,-51.2398681640625,1,5000,71.8476
16.47,27.0142,2,391.75,-70.15118408203125,2,10000,72.3045
4.04,26.4124,3,492.05,-86.08590698242188,3,15000,70.6826
42.57,27.3926,4,451.05,-89.83966827392578,4,20000,72.7227
93.56,28.9637,5,486.06,-111.28409576416016,5,25000,71.9518
127.83,28.4045,6,578.19,-119.37783813476562,6,30000,68.8511
139.78,28.854,7,893.24,-135.16598510742188,7,35000,68.1024
180.9,28.831,8,536.93,-148.53285217285156,8,40000,67.1063
133.16,28.7262,9,744.29,-158.8647003173828,9,45000,68.4675
204.29,29.1111,10,759.96,-176.52462768554688,10,50000,67.475
183.19,29.8412,11,851.36,-187.70066833496094,11,55000,69.0293
219.51,29.565,12,760.16,-197.96749877929688,12,60000,69.1004
276.35,28.4221,13,1037.44,-212.54100036621094,13,65000,65.2273
371.67,29.7285,14,757.58,-229.41612243652344,14,70000,69.0089
224.2,25.7554,15,951.3,-227.05465698242188,15,75000,61.0162
239.8,27.1442,16,1090.82,-242.4722137451172,16,80000,64.6972
252.83,28.4666,17,1045.01,-262.26544189453125,17,85000,66.2158
251.04,28.8389,18,730.99,-274.965087890625,18,90000,66.5142
352.42,26.9084,19,1016.63,-278.67425537109375,19,95000,62.9498
