Real Det Return,Itration,Real Sto Return,Running Forward KL,Running Reverse KL
458.02,0,-117.42,74.1994,25.4274
465.5,1,-73.09,75.7573,25.7243
471.74,2,-39.83,73.6032,26.1709
445.56,3,-40.64,75.0474,28.0766
578.56,4,9.07,73.6604,28.0586
590.45,5,16.6,73.5502,29.3623
617.2,6,67.6,73.1919,28.7708
620.84,7,69.76,72.0457,29.6806
630.66,8,101.85,73.2018,30.4467
784.39,9,80.56,72.5031,30.7049
691.41,10,114.35,72.6178,30.7508
793.93,11,139.62,72.1214,32.8638
825.53,12,113.71,72.4003,31.8558
819.16,13,157.03,71.6615,32.247
861.06,14,134.27,72.784,31.3993
649.57,15,136.23,72.2749,31.6311
770.39,16,184.14,71.4509,30.802
855.15,17,188.88,70.1731,31.0371
810.55,18,174.28,70.7399,31.9144
503.41,19,171.65,71.2349,31.7769
866.4,20,159.67,71.4886,31.3742
935.06,21,186.76,72.8031,31.5175
809.41,22,189.6,72.2134,31.5591
872.82,23,119.9,73.6316,32.1263
718.15,24,164.01,72.8542,31.7488
813.13,25,140.69,73.126,31.281
729.92,26,181.74,74.8629,32.025
844.67,27,174.34,74.1116,31.6968
841.2,28,186.1,73.9723,31.8448
829.23,29,173.56,74.0952,31.247
810.28,30,218.9,75.2551,31.8468
829.77,31,165.66,70.9952,30.993
890.45,32,166.26,73.0719,31.4874
903.97,33,206.06,71.9978,31.4404
628.27,34,122.46,75.6621,31.5367
661.69,35,156.89,74.4359,31.6765
684.04,36,172.41,72.8528,31.996
871.49,37,184.26,74.6154,32.0854
804.1,38,179.86,75.4876,31.618
712.85,39,179.2,75.9521,32.3067
736.99,40,191.33,75.7841,33.0127
633.53,41,176.13,74.7951,32.097
639.88,42,140.73,75.3433,31.9944
913.53,43,179.2,76.9028,31.611
864.08,44,193.49,75.483,32.2732
847.35,45,216.33,75.8649,32.1957
731.31,46,191.01,74.5731,31.8571
889.07,47,206.85,74.7432,31.8731
739.33,48,188.62,76.3408,31.8055
740.4,49,249.22,74.5081,32.0693
836.13,50,242.2,74.0382,32.4734
787.77,51,143.64,74.4234,31.0965
625.26,52,160.59,76.2665,32.1485
784.21,53,235.65,74.0569,31.5069
843.41,54,217.02,74.603,31.6701
654.82,55,183.92,74.9196,31.8968
777.73,56,248.28,74.5451,31.9511
744.17,57,257.37,72.9277,31.1898
737.12,58,196.49,74.8352,31.9377
877.04,59,196.65,75.605,31.592
839.06,60,268.78,74.7118,31.6115
881.82,61,224.87,74.8049,32.0157
688.37,62,185.86,74.1825,31.6983
828.35,63,218.75,75.6965,32.3311
700.29,64,223.25,75.7307,31.2512
798.32,65,231.33,75.8849,31.3921
544.67,66,253.96,75.7476,31.5551
779.44,67,278.21,75.8375,31.9089
746.68,68,199.72,75.3398,31.6858
829.9,69,219.16,75.2837,32.2567
825.06,70,236.41,74.3107,31.8834
799.63,71,232.26,73.9077,31.626
747.19,72,205.89,73.0962,31.3953
966.73,73,271.99,75.9267,32.1622
891.75,74,235.61,76.2164,31.4913
939.72,75,279.59,74.2268,31.9273
934.33,76,288.84,74.6228,31.5271
749.4,77,264.26,76.1212,31.8382
884.8,78,230.94,74.7024,31.6329
724.8,79,230.08,75.1485,31.4433
800.07,80,254.68,73.205,31.5916
989.3,81,254.84,75.5164,31.3765
866.0,82,232.53,74.5201,31.9778
741.12,83,239.76,74.8572,31.4837
939.98,84,262.72,75.557,31.8214
931.09,85,288.71,75.3785,32.3816
840.44,86,245.19,74.5391,31.2447
801.21,87,269.76,75.4666,30.975
885.98,88,257.76,75.2464,31.5338
798.62,89,213.3,75.612,31.6014
846.48,90,234.43,75.2785,31.1851
895.6,91,291.17,74.0387,31.4112
847.99,92,301.48,75.1367,31.609
802.29,93,247.66,75.3557,31.3065
809.9,94,294.33,75.3303,31.4898
881.81,95,275.02,75.9669,31.9487
788.44,96,285.2,76.0111,31.5929
892.21,97,225.19,75.925,31.7294
904.27,98,252.68,74.182,31.5746
895.15,99,236.39,76.2729,31.8414
788.53,100,251.66,74.1802,31.2864
932.46,101,252.06,74.7922,31.1982
834.9,102,243.29,75.6292,31.8147
883.45,103,272.62,75.1183,31.8493
898.92,104,256.79,74.84,31.3224
846.41,105,253.22,74.7272,31.2294
746.57,106,207.38,75.0506,31.4361
841.11,107,208.95,75.9273,31.4988
817.35,108,238.41,74.4037,31.3545
