Running Reverse KL,Real Sto Return,Running Forward KL,Running Update Time,Running Env Steps,Reward Loss,Real Det Return,Itration
25.3015,-47.51,75.2446,0,0,94.03392028808594,449.82,0
27.0509,-5.95,74.6111,1,5000,20.372562408447266,570.46,1
27.7418,-11.07,73.5408,2,10000,-55.526580810546875,690.52,2
28.1541,41.93,72.2445,3,15000,-131.45420837402344,639.22,3
30.6263,63.51,72.1231,4,20000,-193.8445587158203,677.59,4
32.1013,125.36,73.3422,5,25000,-260.7935791015625,568.41,5
31.3385,113.19,74.4861,6,30000,-340.13189697265625,753.42,6
33.973,119.95,72.7886,7,35000,-407.1202087402344,575.87,7
30.9158,124.62,71.4691,8,40000,-466.75909423828125,581.41,8
31.4769,178.51,70.6516,9,45000,-542.6719360351562,802.49,9
32.037,215.14,71.7802,10,50000,-596.1783447265625,992.58,10
29.4285,294.35,66.6959,11,55000,-629.9993896484375,999.04,11
30.4548,220.87,68.6838,12,60000,-705.2884521484375,784.19,12
30.5204,245.03,69.0491,13,65000,-769.5577392578125,577.1,13
28.7096,189.22,65.5039,14,70000,-793.5849609375,880.76,14
29.2684,234.11,67.1632,15,75000,-862.4959106445312,749.4,15
30.1219,298.61,67.2314,16,80000,-949.353759765625,798.46,16
28.5511,421.91,64.3287,17,85000,-973.344970703125,1112.98,17
29.5458,265.7,67.0788,18,90000,-1055.4029541015625,936.17,18
29.1229,362.17,67.8427,19,95000,-1114.92626953125,1160.28,19
27.8847,394.94,65.1696,20,100000,-1128.2034912109375,890.71,20
27.6772,429.52,63.7413,21,105000,-1177.873779296875,1104.99,21
29.1274,455.6,66.3355,22,110000,-1292.9830322265625,1013.1,22
29.1143,516.25,67.6567,23,115000,-1365.29443359375,1029.74,23
28.5454,440.66,65.7361,24,120000,-1409.1978759765625,1271.64,24
26.1118,406.77,62.5997,25,125000,-1398.782958984375,861.64,25
29.4665,478.04,67.8831,26,130000,-1558.4788818359375,1006.78,26
27.6072,350.87,65.1927,27,135000,-1557.5958251953125,976.83,27
26.5675,621.74,61.4751,28,140000,-1539.297119140625,1165.71,28
27.2747,495.61,62.833,29,145000,-1636.0625,966.56,29
28.098,403.37,63.343,30,150000,-1732.0118408203125,1274.98,30
25.8927,789.9,60.9231,31,155000,-1644.2071533203125,1274.74,31
25.437,594.26,61.644,32,160000,-1749.261474609375,1417.95,32
25.4956,996.03,57.8464,33,165000,-1632.1639404296875,1906.17,33
26.5055,724.38,61.1601,34,170000,-1838.9722900390625,1373.48,34
25.3489,825.12,60.2372,35,175000,-1872.8968505859375,1299.81,35
25.9345,1079.67,61.3538,36,180000,-1851.327392578125,1702.17,36
25.2516,1162.52,58.3286,37,185000,-1868.3538818359375,1735.51,37
26.2194,729.9,60.5223,38,190000,-2123.39892578125,1783.03,38
25.7416,1021.4,56.5049,39,195000,-1771.048583984375,2041.3,39
24.3556,925.29,56.7862,40,200000,-2014.3629150390625,1989.26,40
26.4592,1238.87,60.8593,41,205000,-2223.946533203125,1746.96,41
26.5708,1573.06,56.9109,42,210000,-1862.97900390625,2170.88,42
33.4433,1585.43,58.8388,43,215000,-1797.32080078125,2463.67,43
25.7166,836.1,58.9211,44,220000,-2160.29345703125,1938.63,44
27.4095,958.0,60.5222,45,225000,-2130.1708984375,1789.29,45
25.9094,400.14,61.7633,46,230000,-2395.33544921875,674.19,46
26.491,763.48,57.9094,47,235000,-2225.840576171875,2268.36,47
