Real Sto Return,Itration,Running Forward KL,Running Reverse KL,Real Det Return
-168.12,0,158.3614,11.3543,-82.5
-68.91,1,157.9324,10.8534,68.62
50.6,2,157.8848,11.1408,-33.14
193.38,3,157.5989,11.0408,36.65
244.66,4,157.4984,11.0676,531.58
371.13,5,157.5959,11.6827,714.02
412.54,6,157.5622,11.8557,820.31
486.31,7,157.6327,12.1847,850.77
537.09,8,157.5952,12.3139,640.81
657.35,9,157.4979,12.5253,1037.98
725.11,10,157.3689,12.6807,991.9
784.85,11,157.4819,13.2589,1206.85
904.31,12,157.4285,13.3357,1150.03
975.54,13,157.3718,14.0432,1440.98
1014.38,14,157.1595,14.4176,1511.36
1108.96,15,157.3313,14.6201,1528.88
1150.88,16,157.2726,14.6859,1632.36
1214.45,17,157.42,15.126,1642.78
1241.16,18,157.0832,15.0058,1604.51
1284.61,19,157.4695,15.007,1712.34
1324.95,20,157.2535,15.236,1746.97
1394.64,21,157.1194,15.1074,1822.6
1434.97,22,157.1054,15.1531,1708.16
1441.72,23,157.3344,15.4441,1743.39
1482.8,24,157.1708,15.3818,1812.57
1457.24,25,157.2803,15.1938,1891.58
1504.19,26,156.9974,15.2274,1818.06
1485.86,27,157.0912,15.3989,1888.95
