Real Sto Return,Itration,Real Det Return,Running Forward KL,Running Reverse KL
308.84,0,327.05,49.4799,13.2423
387.5,1,415.66,49.0554,20.0044
415.2,2,401.27,50.3404,35.8071
296.09,3,298.08,49.9869,29.8509
340.41,4,586.01,49.4136,38.7085
463.27,5,509.03,48.9826,13.7273
492.28,6,559.44,48.941,13.4605
450.93,7,425.25,48.4541,24.2693
535.86,8,558.8,47.9581,13.042
520.55,9,526.76,48.7268,15.5078
513.07,10,570.15,48.4373,16.8971
565.61,11,890.68,48.1672,13.7425
708.8,12,648.46,47.1738,24.3411
739.39,13,680.65,47.1929,15.4264
752.71,14,694.18,47.6104,24.1831
1267.22,15,2276.03,46.3834,15.8533
829.86,16,1181.34,47.2596,15.073
1257.78,17,1362.9,45.3973,13.4563
1737.31,18,1805.3,45.4933,14.9141
1358.93,19,1595.93,45.4518,14.6606
1257.1,20,972.4,46.0798,13.217
1527.51,21,1233.51,45.3,13.3571
1827.09,22,2263.86,45.0293,12.1987
1823.44,23,1796.27,45.1965,12.5218
2231.03,24,2812.33,44.2179,13.3186
1951.71,25,455.64,44.4219,13.1945
3088.89,26,3187.99,44.9414,16.2742
3153.98,27,3112.32,45.0853,17.2123
3310.4,28,3251.49,44.2598,16.3251
3314.24,29,3315.82,44.1243,16.2959
2750.06,30,3186.93,43.9534,14.4601
3514.49,31,3666.46,43.5749,16.2278
3604.18,32,3761.36,43.2864,16.739
3222.71,33,3446.87,43.2878,15.6854
3574.0,34,3650.3,43.3426,16.2261
3404.94,35,3433.38,43.9107,15.3572
3215.76,36,3196.3,43.5212,14.7412
3466.18,37,3585.61,43.1822,14.8719
3624.49,38,3605.73,42.8261,15.3992
3624.3,39,3668.69,42.8645,15.6463
3465.21,40,3622.12,42.7867,17.137
3544.34,41,3551.0,43.4066,16.0491
3407.87,42,3501.3,43.7381,15.3236
3686.92,43,3778.54,43.2652,18.631
3677.93,44,3718.16,43.3148,16.5635
3728.11,45,3779.51,42.5191,16.1386
3705.07,46,3831.96,42.8421,15.6808
3737.21,47,3746.76,42.6677,16.2591
3866.92,48,3960.77,42.623,17.9596
3839.47,49,3854.59,42.548,16.6294
3769.96,50,3884.21,41.8466,14.5684
3774.45,51,3460.88,42.2521,14.716
3810.58,52,3975.08,42.4328,15.5537
3941.66,53,4012.22,41.24,15.7717
3823.41,54,3933.92,41.2899,15.3933
3902.69,55,3912.59,41.5104,15.7752
3933.67,56,3945.1,41.2865,15.8675
3938.65,57,4064.65,41.6472,15.7293
3930.2,58,4037.63,42.3006,17.3933
3726.65,59,4029.8,41.7818,15.1294
4010.69,60,4094.83,40.3089,13.8355
4022.86,61,3992.9,40.5965,16.1536
4005.15,62,4017.96,41.0355,14.4683
3962.03,63,4003.52,41.1921,14.8349
4026.43,64,4139.36,40.9269,15.3222
4027.35,65,4032.36,40.7255,15.2335
4080.35,66,4157.29,40.8443,16.1871
3988.46,67,4089.82,40.5881,13.6044
3975.46,68,4076.32,41.4252,14.1188
4121.76,69,4150.41,40.2177,14.758
4082.29,70,4175.46,40.1818,14.7628
4004.1,71,3999.58,41.289,14.9603
4076.34,72,4187.84,40.2835,14.1777
4025.77,73,4112.72,40.8103,14.5614
4100.89,74,4188.8,40.1112,14.3698
4007.51,75,4148.92,40.938,14.6401
4131.21,76,4227.66,40.4941,14.9911
4103.01,77,4228.69,39.6032,13.4539
4204.71,78,4328.62,39.2782,13.3438
4206.34,79,4311.49,39.5868,15.127
4120.84,80,4227.26,40.4778,15.6589
4112.5,81,4256.55,39.8687,14.2048
4213.92,82,4317.35,39.9778,15.0682
4177.82,83,4228.77,39.4774,14.2254
4197.89,84,4311.54,39.2097,14.8122
4197.66,85,4354.72,39.9248,15.2081
4186.84,86,4358.43,39.3884,13.8235
4214.99,87,4315.48,39.4899,14.149
4002.79,88,4293.01,40.0247,14.5614
4213.51,89,4264.75,38.9105,13.0608
4318.69,90,4504.69,39.219,14.603
4181.6,91,4385.82,38.888,12.6344
4346.94,92,4505.05,39.4263,14.3573
4301.1,93,4411.14,39.4303,15.7715
4352.72,94,4487.48,39.035,14.6745
4342.99,95,4580.44,38.057,13.1202
4308.12,96,4428.56,39.4952,14.355
4353.45,97,4417.46,38.6672,14.0759
4119.9,98,4455.03,39.6534,14.1918
4162.91,99,4535.14,38.2142,13.2795
4294.13,100,4504.73,39.2613,14.2615
4308.7,101,4526.85,39.2651,14.2136
4356.27,102,4503.55,39.6,14.9127
4404.54,103,4576.36,38.5083,13.4797
4247.76,104,4622.03,38.3121,13.2644
4148.76,105,4468.32,39.1169,14.8898
4190.75,106,4515.78,38.2253,13.897
4418.74,107,4621.54,38.0835,13.3128
4247.51,108,4636.42,38.1163,13.8003
4356.95,109,4593.86,38.1981,13.2194
4376.82,110,4590.0,38.3346,12.8
4284.53,111,4652.1,37.3709,13.0871
4337.59,112,4489.57,38.363,13.7983
4535.15,113,4717.34,37.3678,13.818
4429.15,114,4578.08,38.8437,14.9409
4540.47,115,4647.38,37.705,13.8447
4481.25,116,4620.92,38.2662,15.4668
4595.95,117,4733.27,36.7022,13.4504
4411.01,118,4620.95,37.839,12.8418
4601.29,119,4767.98,36.8993,13.8875
4463.86,120,4731.55,37.4118,12.8116
4604.03,121,4728.57,36.5467,13.1894
4488.83,122,4724.35,37.184,13.2181
4576.92,123,4734.21,37.0638,14.0616
4596.31,124,4703.08,36.9141,13.1669
4366.2,125,4778.38,36.7548,13.5888
4602.63,126,4709.24,36.0953,13.7193
4595.14,127,4730.91,36.9821,13.4146
4195.35,128,4730.81,36.2348,12.8739
4534.15,129,4687.82,37.2265,13.4201
4518.01,130,4718.77,37.5369,12.9537
4243.8,131,4685.21,37.9975,13.8724
4649.72,132,4748.46,36.7066,13.8691
4304.46,133,4691.15,37.7142,13.2821
4488.35,134,4686.82,37.1888,12.7362
4221.96,135,4867.27,36.5275,14.2122
3929.27,136,4726.15,36.8856,11.9466
4378.53,137,4805.45,36.1299,12.4116
4581.9,138,4717.12,36.5649,13.7531
4585.31,139,4830.34,36.8058,13.3956
4557.3,140,4768.89,36.3161,12.1395
4644.61,141,4759.84,35.8717,12.3619
4559.02,142,4749.78,36.0584,12.8082
4666.08,143,4890.26,35.7132,12.6873
4585.74,144,4795.79,35.8683,11.8157
1468.76,145,102.09,39.621,18.3559
4604.01,146,4822.44,35.9892,12.6069
4639.19,147,4835.69,35.3665,12.3512
4683.05,148,4833.69,36.3022,13.7796
4627.65,149,4806.77,36.2033,12.4387
4623.94,150,4768.19,36.2179,13.3013
4663.2,151,4866.08,35.5034,12.6169
4679.77,152,4796.38,34.8956,12.7488
4658.77,153,4807.8,35.628,13.1974
4622.62,154,4830.1,35.9529,11.9914
4466.88,155,4815.1,35.3661,12.1541
4600.13,156,4752.84,35.8897,12.8885
4632.81,157,4737.92,35.6629,13.2808
4732.68,158,4839.46,34.5031,11.3061
4582.6,159,4775.02,35.8524,12.651
4689.45,160,4806.52,36.198,13.1679
4693.08,161,4839.04,35.0009,12.1259
4721.61,162,4823.92,35.866,13.9521
4596.91,163,4761.22,35.8331,12.4797
4710.43,164,4874.83,35.4282,12.9059
4639.49,165,4779.28,34.6079,12.4857
4581.96,166,4725.46,36.2306,12.4708
4613.42,167,4756.69,36.664,12.6827
4720.52,168,4847.62,35.0971,12.3197
4619.56,169,4739.03,36.2076,13.6235
4596.35,170,4845.29,34.8899,12.2598
4703.53,171,4836.03,35.1367,12.6318
4580.33,172,4758.13,36.1541,12.4034
4733.91,173,4847.46,34.7322,12.0184
4682.64,174,4800.85,35.6182,12.7298
4631.7,175,4790.57,35.9113,11.9577
4718.04,176,4851.26,35.5059,11.6897
4665.75,177,4843.05,35.6834,12.3046
4712.35,178,4830.47,35.0752,12.8852
4783.43,179,4882.07,34.3924,11.7091
4715.8,180,4836.75,34.5126,11.9825
4639.25,181,4831.95,35.7723,12.8076
4708.51,182,4856.18,35.2637,12.2756
4688.76,183,4828.35,35.2501,12.7293
4719.52,184,4856.87,34.8371,11.6363
4697.21,185,4857.51,35.1906,11.9943
4748.58,186,4897.14,35.3996,12.9067
4740.86,187,4830.54,35.0436,12.8516
4688.16,188,4901.38,35.4645,12.6129
4672.16,189,4881.07,34.4547,12.6469
4624.25,190,4718.72,35.4138,12.3312
4743.02,191,4888.15,36.0161,13.2814
4586.63,192,4685.53,35.7055,11.5172
4639.81,193,4751.14,35.9649,11.9028
4639.3,194,4822.88,35.5889,12.8189
4691.95,195,4783.05,35.4121,12.5212
4740.25,196,4882.18,34.6938,11.3466
4659.12,197,4837.49,35.7606,12.2504
4787.53,198,4846.86,34.1308,12.9816
4725.12,199,4891.03,34.4476,12.6122
4680.72,200,4675.28,34.8794,11.7479
4747.57,201,4852.84,34.3361,11.7495
4724.65,202,4814.42,34.4164,11.9338
4712.91,203,4797.71,34.6698,11.8242
4713.33,204,4888.38,34.8858,11.9529
4711.95,205,4855.27,34.4059,11.8653
4697.87,206,4804.59,34.239,11.6594
4736.51,207,4820.07,34.2725,12.0958
4722.19,208,4766.4,34.4219,11.7914
4718.26,209,4834.81,34.4862,11.6046
4734.1,210,4867.45,34.5573,12.3342
4746.96,211,4753.9,34.1888,11.789
4759.07,212,4873.23,34.2733,12.2474
4643.45,213,4869.95,34.39,11.5299
4744.94,214,4849.53,34.5014,11.7965
4732.28,215,4867.78,34.3984,12.1673
4724.19,216,5013.08,33.9646,11.9093
4779.18,217,4953.98,34.3659,11.8849
4669.94,218,4958.55,34.4274,11.6822
4769.34,219,4941.33,34.0114,12.0098
4795.66,220,5004.58,34.4154,11.6427
4842.13,221,5065.37,33.492,12.0468
4832.87,222,5017.3,33.8222,11.5492
4400.64,223,4939.7,33.9042,11.5468
4790.74,224,5006.33,34.3015,11.4107
4788.98,225,5016.49,33.7093,11.6313
4688.64,226,4901.2,34.5617,17.358
4748.79,227,5079.81,34.5342,11.369
4841.56,228,5069.17,33.5235,13.0422
4803.14,229,5010.55,34.372,14.6155
4844.38,230,5026.02,33.8118,11.7237
4847.17,231,5059.9,33.8162,11.67
4615.72,232,4298.58,32.9371,11.3335
4889.73,233,5120.13,33.4288,11.5824
4915.41,234,5178.65,33.3819,11.4007
4884.37,235,5057.78,33.38,12.3095
4942.17,236,5087.63,33.0973,11.4606
4936.05,237,5172.51,33.1883,11.5257
4821.58,238,5041.67,32.9482,11.5778
4920.15,239,5128.88,33.3685,11.7882
4911.39,240,5096.01,32.9682,12.454
4894.19,241,5066.73,33.0811,11.7508
4778.79,242,5088.48,33.6241,11.4989
4916.0,243,5081.8,32.943,11.6617
4879.89,244,5090.57,33.2979,11.4862
4432.66,245,4939.2,33.7207,12.2749
4856.89,246,5040.41,33.7038,11.6051
4918.72,247,5131.81,33.2086,13.3571
4844.61,248,5059.69,33.9594,12.0485
4854.69,249,5078.29,33.4591,11.6005
4546.96,250,5070.64,33.8179,11.3136
4929.91,251,5133.3,33.2125,11.7351
4592.02,252,5093.21,33.607,11.5905
4886.62,253,5023.4,34.1106,11.9178
4873.35,254,4991.65,35.038,11.7788
4651.97,255,5028.15,33.4164,11.544
4861.08,256,4948.32,33.7753,11.7082
4798.14,257,4964.49,34.7263,12.4933
4834.24,258,5057.98,34.9822,11.821
4767.3,259,4999.19,34.2068,12.326
4789.64,260,5035.99,34.5518,11.8735
4660.37,261,5024.5,33.4673,12.1376
4734.72,262,4980.25,34.5503,12.1321
4894.65,263,5099.68,33.4558,12.0223
4788.02,264,5034.0,34.3067,12.4897
4860.15,265,5060.11,33.968,11.3408
4485.04,266,4967.11,34.5689,11.84
4888.33,267,5102.48,34.1145,11.726
4794.42,268,5132.59,34.3044,13.5918
4591.78,269,4905.78,34.6445,11.1778
4802.29,270,5038.01,34.6094,11.9293
4858.41,271,4994.51,34.4588,12.335
4974.29,272,5154.67,34.2221,12.6069
4990.91,273,5224.93,33.1516,12.6226
4621.54,274,5175.36,33.6894,12.7214
4987.86,275,5207.84,33.6867,12.1964
4745.3,276,5240.25,34.5651,12.7889
4736.11,277,5205.9,33.0173,12.5867
5040.56,278,5287.29,32.4776,12.1445
4984.3,279,5167.22,33.4818,11.3529
4924.85,280,5134.48,34.1978,12.1291
4738.42,281,5103.58,33.361,11.8415
4860.72,282,5050.62,33.89,11.6513
4925.39,283,4992.08,33.4438,11.8641
4897.24,284,4970.52,32.8765,11.7863
4899.0,285,5066.9,33.2339,11.5609
-5.04,286,-8.43,52.6227,15.9686
328.86,287,867.03,52.6157,44.9784
437.53,288,461.32,52.0683,54.2284
307.35,289,291.87,51.4587,46.8586
314.38,290,341.93,50.5946,30.3436
575.2,291,668.93,48.8486,62.976
376.82,292,358.2,48.5276,75.3205
3717.09,293,3822.53,41.1585,23.1563
3518.73,294,4046.1,40.178,15.6702
2643.48,295,3551.41,39.6207,30.1998
2910.13,296,3887.08,38.7776,14.1157
3696.72,297,4105.59,38.9819,13.5761
4200.03,298,4336.11,38.0708,13.6841
4098.18,299,4299.64,39.2453,15.0066
3970.59,300,4404.58,37.1608,13.3485
3985.57,301,4496.33,35.7459,14.9926
3079.09,302,3581.36,36.3135,13.053
3969.45,303,2990.11,36.2463,14.0923
4599.01,304,4313.72,35.0368,12.2882
4531.98,305,4781.07,34.7418,12.1807
4695.67,306,4770.77,34.4715,13.7313
4764.66,307,4832.56,33.4366,12.1823
4715.42,308,4787.05,33.5914,12.6725
4735.74,309,4735.93,33.7786,12.2459
4812.75,310,4781.81,33.8339,12.1219
4752.93,311,4777.25,34.0554,12.5671
4744.34,312,4859.13,34.8962,12.3551
4714.36,313,4893.12,34.7123,11.6234
4759.36,314,4924.07,34.4612,11.8569
4747.72,315,4884.47,35.0388,11.9118
4706.11,316,4816.29,35.262,12.2766
4704.15,317,4858.72,35.3883,12.4259
4747.93,318,4870.76,34.618,12.123
4700.49,319,4862.21,34.857,12.6123
