Running Update Time,Real Det Return,Running Reverse KL,Running Forward KL,Real Sto Return,Reward Loss,Itration,Running Env Steps
0,310.53,12.3719,49.6132,327.59,-316.76416015625,0,0
1,505.86,13.9125,50.0402,462.27,-553.6646728515625,1,5000
2,117.05,15.0314,50.7008,213.33,-707.20556640625,2,10000
3,136.62,15.6045,49.7295,374.79,-795.1903076171875,3,15000
4,416.44,15.4644,49.938,384.09,-1168.2122802734375,4,20000
5,408.77,14.1811,49.0091,414.16,-1417.993408203125,5,25000
6,458.37,14.1054,49.4811,440.73,-1400.53759765625,6,30000
7,481.25,14.0108,48.4908,439.93,-1518.51123046875,7,35000
8,526.77,13.9004,49.1705,398.8,-1573.3336181640625,8,40000
9,599.81,14.2439,48.4882,461.88,-1714.009033203125,9,45000
10,482.93,16.1938,48.4553,431.61,-1378.7449951171875,10,50000
11,544.43,13.62,47.5879,597.7,-988.5558471679688,11,55000
12,740.95,14.4502,47.4008,706.49,-1262.9420166015625,12,60000
13,718.99,14.1809,47.0392,712.21,-950.3560180664062,13,65000
14,2225.93,14.55,45.9129,1432.2,-700.2481079101562,14,70000
15,1074.0,52.2117,47.2248,1281.67,-384.4029541015625,15,75000
16,855.95,33.2202,44.6153,1735.62,-404.9561767578125,16,80000
17,2123.59,15.8237,45.5339,2041.5,-698.2766723632812,17,85000
18,2645.83,15.2987,44.3258,2096.04,-515.3298950195312,18,90000
19,2557.4,18.3627,44.4788,2105.32,-610.8198852539062,19,95000
20,2855.22,15.53,43.6604,2795.72,-575.6716918945312,20,100000
21,3258.3,16.471,44.1448,2746.08,-703.9421997070312,21,105000
22,2915.27,13.9265,43.4402,2505.07,-763.3849487304688,22,110000
23,2634.6,14.9558,43.7097,2425.43,-798.7279663085938,23,115000
24,1099.21,17.3107,44.0306,1918.18,-1087.4364013671875,24,120000
25,2770.68,15.6472,44.5716,2161.11,-1038.7445068359375,25,125000
26,1820.41,23.8665,44.3078,1648.46,-838.2808227539062,26,130000
27,3048.99,17.1811,43.8942,2439.57,-1111.35595703125,27,135000
28,2705.34,17.5685,44.3021,2650.23,-1087.23291015625,28,140000
29,3001.44,13.5907,42.9698,2710.17,-1179.259765625,29,145000
30,2826.51,13.5277,43.1552,2811.77,-1141.7333984375,30,150000
31,3359.71,13.4515,42.468,2911.28,-1039.6292724609375,31,155000
32,2850.07,12.191,41.7504,2768.49,-1179.203369140625,32,160000
33,3410.87,14.2504,43.0335,3032.8,-1067.5992431640625,33,165000
34,2913.07,17.0244,42.3012,3154.89,-1137.5216064453125,34,170000
35,3479.14,12.1339,42.0385,3322.0,-1149.9432373046875,35,175000
36,3471.03,13.9598,42.0079,3086.58,-1362.9449462890625,36,180000
37,3621.45,12.1979,41.8727,2851.28,-1361.0496826171875,37,185000
38,3473.77,13.8964,42.4511,3459.79,-1159.2218017578125,38,190000
39,3393.92,13.436,42.2553,3385.15,-1288.203125,39,195000
40,3636.49,12.1917,40.5904,3438.79,-1229.9638671875,40,200000
41,3604.6,13.7834,40.5875,3634.88,-1043.6866455078125,41,205000
