Real Sto Return,Real Det Return,Running Forward KL,Running Reverse KL,Itration
-82.55,268.01,73.3578,25.4789,0
-77.53,335.21,74.729,26.2951,1
-96.2,444.13,74.458,27.4963,2
-70.24,444.98,74.7305,27.9264,3
-26.52,448.67,74.0338,27.7585,4
-9.08,525.83,74.3687,28.5404,5
48.42,677.09,73.0783,28.4708,6
54.39,609.73,71.3918,29.7436,7
54.52,560.19,74.092,29.7796,8
80.02,731.82,73.6731,30.7371,9
110.35,723.79,71.1468,30.4194,10
146.13,846.8,73.3324,31.2011,11
246.83,950.56,72.1654,32.1966,12
221.72,1071.4,70.5269,31.3689,13
132.46,737.11,71.5417,30.8051,14
217.83,481.74,69.7484,30.0553,15
221.89,624.88,69.9867,30.8177,16
206.58,1020.35,72.3807,32.5587,17
