Running Reverse KL,Reward Loss,Running Update Time,Running Forward KL,Running Env Steps,Itration,Real Det Return,Real Sto Return
27.306,316.39581298828125,0,34.3121,0,0,212.62,208.46
22.1696,199.7083282470703,1,30.8905,5000,1,121.26,274.91
22.5029,155.8218994140625,2,30.3149,10000,2,279.67,288.65
27.2993,84.11627960205078,3,29.4089,15000,3,380.91,374.81
26.8044,11.043107986450195,4,27.7196,20000,4,382.36,380.05
28.5804,125.22013092041016,5,27.5799,25000,5,365.23,366.32
19.17,-99.51172637939453,6,26.2107,30000,6,490.11,491.46
23.89,24.493972778320312,7,26.4218,35000,7,456.62,493.1
15.6664,-46.8610725402832,8,26.9318,40000,8,402.96,335.39
14.8109,47.10969161987305,9,26.9026,45000,9,577.24,587.03
15.2831,-60.98190689086914,10,26.3514,50000,10,648.04,638.01
13.4022,49.05890655517578,11,26.2313,55000,11,545.89,582.41
19.8428,-40.11570739746094,12,25.7974,60000,12,784.05,785.0
13.8003,-18.89482879638672,13,23.7384,65000,13,419.9,456.22
18.3006,-259.5768737792969,14,25.8441,70000,14,1006.11,861.79
65.532,-403.3172607421875,15,28.7723,75000,15,267.85,266.49
13.8755,-212.48007202148438,16,23.3465,80000,16,1509.34,1396.85
35.5858,-121.35803985595703,17,23.1063,85000,17,1020.58,904.03
23.1753,-22.358808517456055,18,25.9476,90000,18,748.11,704.67
20.7789,-213.10255432128906,19,24.0498,95000,19,857.59,780.71
60.244,-106.81417083740234,20,24.6665,100000,20,1093.33,1013.89
14.1376,-117.1699447631836,21,23.7315,105000,21,1057.3,994.64
14.69,-154.9500274658203,22,23.215,110000,22,3070.69,2203.83
19.004,-178.4566650390625,23,23.5545,115000,23,1355.99,1364.85
15.3034,-225.6412811279297,24,23.0496,120000,24,1298.65,1545.08
15.372,-278.0672607421875,25,23.0211,125000,25,1211.11,1384.75
23.047,-330.6793212890625,26,23.6812,130000,26,1161.35,1370.28
11.4762,-226.5297393798828,27,20.5034,135000,27,3069.57,2604.05
11.916,-236.90689086914062,28,21.206,140000,28,2858.17,2961.85
11.6527,-203.89332580566406,29,20.3598,145000,29,3323.38,2929.03
13.4349,-162.25486755371094,30,22.3855,150000,30,3243.33,3136.18
14.4176,-148.37437438964844,31,21.7442,155000,31,3435.1,3141.18
14.7441,-461.59088134765625,32,23.7617,160000,32,1850.55,1664.11
14.4785,-180.05438232421875,33,21.137,165000,33,3290.43,3325.95
14.3359,-347.28436279296875,34,23.4954,170000,34,3465.98,2447.21
10.9705,-281.2134704589844,35,19.1282,175000,35,3246.25,2706.58
13.511,-241.27499389648438,36,21.2062,180000,36,3366.38,3293.11
13.2251,-214.23141479492188,37,20.2342,185000,37,3349.94,3300.26
13.5504,-242.4117431640625,38,21.8321,190000,38,3459.17,3352.16
13.7987,-479.0338439941406,39,22.6872,195000,39,3519.73,2292.09
14.9639,-522.9215087890625,40,24.475,200000,40,3443.67,1712.21
11.8734,-270.2722473144531,41,20.2651,205000,41,2998.19,3064.81
13.1618,-243.69041442871094,42,20.0581,210000,42,3342.7,3363.38
19.0332,-430.32598876953125,43,21.6495,215000,43,2223.38,1968.11
13.7823,-255.2818145751953,44,20.3319,220000,44,3406.69,3290.37
16.2164,-366.3379821777344,45,21.4428,225000,45,3487.9,2060.52
13.3733,-293.4327697753906,46,20.2244,230000,46,3445.6,3344.89
20.0084,-506.4893493652344,47,21.3158,235000,47,3519.62,1844.92
14.524,-345.4266357421875,48,20.6924,240000,48,3419.16,3406.73
14.105,-366.3605041503906,49,21.4618,245000,49,3342.07,3305.09
12.6275,-344.0407409667969,50,19.3365,250000,50,3288.91,3266.99
13.6657,-431.8374938964844,51,22.1807,255000,51,3465.6,3463.06
13.6212,-287.3598327636719,52,19.4396,260000,52,3469.95,3431.53
14.4331,-419.7085876464844,53,21.9747,265000,53,3443.28,3415.33
12.0775,-517.5017700195312,54,21.336,270000,54,3575.77,2635.59
12.3191,-320.7842102050781,55,19.8267,275000,55,3385.65,3386.7
14.4818,-465.43035888671875,56,22.6473,280000,56,3502.33,3466.48
13.7937,-429.8501892089844,57,19.8717,285000,57,3413.85,3391.27
13.4219,-407.6654968261719,58,20.071,290000,58,3431.66,3319.9
13.6023,-514.6856689453125,59,21.166,295000,59,3560.15,2822.89
13.6603,-443.36376953125,60,20.3325,300000,60,3471.6,3453.68
13.8503,-470.4426574707031,61,21.3216,305000,61,3511.23,3439.74
14.9284,-460.05572509765625,62,21.9997,310000,62,3488.57,3489.76
18.3183,-707.7230834960938,63,22.5455,315000,63,3501.6,3121.95
13.3493,-548.571044921875,64,22.2204,320000,64,3511.42,3388.38
13.5235,-415.09130859375,65,20.761,325000,65,3582.21,3461.44
10.8237,-684.7244262695312,66,20.8527,330000,66,3574.53,2528.75
14.584,-591.1760864257812,67,21.2081,335000,67,3603.3,2318.11
11.9576,-506.1856384277344,68,19.406,340000,68,3505.8,3449.46
12.5528,-733.7482299804688,69,22.0143,345000,69,3493.39,2083.83
12.3064,-765.279541015625,70,20.4214,350000,70,3588.91,2001.71
11.702,-547.052490234375,71,19.2062,355000,71,3494.27,3324.43
11.9798,-486.7157287597656,72,19.5947,360000,72,3480.82,3459.17
13.5496,-911.6488037109375,73,21.121,365000,73,3039.15,1936.2
13.8405,-675.6472778320312,74,21.3044,370000,74,3507.01,3416.58
12.2181,-667.6155395507812,75,20.8142,375000,75,3557.22,3080.96
