Running Forward KL,Running Reverse KL,Real Det Return,Running Env Steps,Real Sto Return,Reward Loss,Itration,Running Update Time
49.86,13.5247,300.09,0,288.89,-128.16738891601562,0,0
50.132,21.2848,273.92,5000,293.49,-50.37712478637695,1,1
50.2062,15.5968,448.64,10000,424.58,-171.34713745117188,2,2
50.0862,13.8605,458.18,15000,333.66,-272.4508972167969,3,3
49.1604,12.8665,372.06,20000,360.91,-285.349365234375,4,4
49.6222,13.0898,473.19,25000,339.09,-309.7934265136719,5,5
48.5413,13.4768,677.26,30000,481.85,-264.2183837890625,6,6
49.3123,16.1423,439.96,35000,493.13,-178.18695068359375,7,7
49.0437,14.5917,742.72,40000,541.29,-239.78079223632812,8,8
49.2207,14.6783,523.2,45000,469.03,-278.24774169921875,9,9
48.5516,15.2713,668.91,50000,575.76,-225.28126525878906,10,10
47.7599,22.8176,832.95,55000,640.17,-108.2778091430664,11,11
47.5252,19.1632,845.52,60000,699.47,-181.98631286621094,12,12
47.5539,17.3127,900.46,65000,710.83,-172.7539825439453,13,13
46.9296,14.8527,793.46,70000,663.59,-308.9285888671875,14,14
46.8551,14.4456,853.07,75000,728.64,-356.9551696777344,15,15
46.3831,14.1641,1029.83,80000,768.79,-382.4597473144531,16,16
47.1487,26.7551,1016.15,85000,826.04,-212.81784057617188,17,17
47.289,13.7899,1283.14,90000,821.42,-302.11346435546875,18,18
46.9352,13.4705,1018.56,95000,886.98,-359.2734375,19,19
46.9399,14.4399,1036.36,100000,948.0,-342.88134765625,20,20
47.1649,16.8715,892.87,105000,743.45,-281.6614074707031,21,21
46.5001,14.5398,1060.38,110000,819.37,-360.03790283203125,22,22
46.4589,13.3444,987.82,115000,756.57,-393.6466369628906,23,23
47.3322,19.0066,1127.84,120000,923.41,-269.7276916503906,24,24
47.6001,15.7619,1059.77,125000,917.69,-421.24639892578125,25,25
46.5391,13.6243,933.64,130000,783.78,-402.9347839355469,26,26
46.6271,14.1102,785.22,135000,860.98,-394.3218078613281,27,27
47.2863,13.3337,1035.17,140000,827.03,-440.63909912109375,28,28
46.8774,17.9329,737.2,145000,794.81,-263.3834228515625,29,29
46.7593,13.8697,803.35,150000,825.55,-339.8144226074219,30,30
47.8188,15.4853,727.05,155000,755.62,-342.1292724609375,31,31
47.3373,20.3837,747.33,160000,739.07,-288.3881530761719,32,32
47.9173,16.2845,768.14,165000,785.39,-333.9124755859375,33,33
46.379,24.4322,755.22,170000,939.12,-270.4257507324219,34,34
47.0592,17.1583,1022.34,175000,999.86,-328.8748474121094,35,35
45.7323,24.7931,1396.31,180000,1294.77,-261.2505187988281,36,36
