Running Reverse KL,Real Det Return,Itration,Running Forward KL,Real Sto Return
306.9069,356.18,0,455.0593,389.32
290.6925,268.38,1,463.7167,302.96
273.0768,396.09,2,446.607,353.1
277.1465,481.02,3,418.7138,402.47
268.2313,419.84,4,420.3689,420.89
259.4671,394.21,5,426.0541,391.88
271.6835,504.84,6,424.8899,433.83
274.885,424.17,7,429.7281,395.2
268.8651,473.19,8,411.947,441.88
270.6464,496.08,9,413.8105,481.62
281.152,533.33,10,424.1513,513.94
274.3826,565.03,11,421.7283,473.09
275.7849,572.47,12,402.3578,473.59
265.0644,533.99,13,412.4499,455.39
260.2235,629.76,14,402.725,577.48
269.2746,443.82,15,402.6292,532.72
265.1712,564.75,16,401.5919,534.96
268.2104,611.37,17,389.7824,580.4
262.4004,462.65,18,405.4379,638.01
253.6753,709.49,19,398.1605,572.84
255.0972,623.65,20,388.4739,575.85
292.3714,490.46,21,393.4553,599.88
247.7283,704.82,22,381.6409,713.94
235.5873,774.95,23,391.7301,608.37
224.4337,770.16,24,388.0207,858.25
234.2226,760.67,25,389.3565,781.88
230.0702,899.61,26,392.0688,882.1
228.8016,732.57,27,385.0919,928.03
239.6326,823.29,28,368.2273,1203.54
229.9797,792.06,29,368.8262,1242.84
214.1383,976.9,30,363.7163,1673.67
224.4996,923.37,31,346.4234,1266.21
228.8867,1047.29,32,355.2495,1324.21
266.6658,1017.58,33,351.7582,1764.91
251.0674,839.61,34,358.8093,1651.15
245.7462,1062.12,35,342.9099,1936.31
237.6349,1196.03,36,345.2962,1271.07
225.3186,1016.22,37,349.4976,1590.9
185.6584,1504.22,38,330.5309,2198.05
192.7341,1261.53,39,350.273,1980.47
211.9757,1242.36,40,332.765,1945.24
188.7187,1303.09,41,322.3092,1931.31
239.994,1312.48,42,324.7142,2293.31
192.3222,2041.57,43,323.5359,2272.68
285.4516,837.24,44,349.2407,1309.67
234.0296,1267.04,45,332.4657,3027.96
185.6033,1979.91,46,312.807,3092.55
166.1679,3183.17,47,343.8283,2329.68
167.2682,1222.62,48,351.3225,2739.99
130.9832,2708.48,49,314.524,3408.32
142.0607,1159.58,50,328.0249,3088.39
