Running Update Time,Running Forward KL,Reward Loss,Itration,Running Reverse KL,Running Env Steps,Real Sto Return,Real Det Return
0,38.0509,49.259254455566406,0,19.7039,0,309.66,315.77
1,38.7509,28.761268615722656,1,22.0951,5000,318.1,309.45
2,38.2577,19.10272979736328,2,23.2342,10000,284.31,279.47
3,38.1523,19.77682113647461,3,20.0808,15000,364.48,394.54
4,37.9733,-2.969674825668335,4,21.1814,20000,319.11,325.45
5,38.4533,-24.479507446289062,5,24.5774,25000,339.2,344.84
6,38.1056,-49.96347427368164,6,30.7257,30000,351.92,361.69
7,36.8988,-21.348346710205078,7,33.7788,35000,332.24,346.35
8,37.114,-48.077308654785156,8,23.1849,40000,330.51,331.35
9,37.3743,-61.74502182006836,9,22.4832,45000,338.34,355.28
10,37.1708,-46.70686340332031,10,23.7937,50000,310.76,275.0
11,36.6178,-51.11054992675781,11,20.8178,55000,362.97,371.76
12,35.8866,-46.74489974975586,12,36.8534,60000,372.21,385.15
13,35.6558,-78.11316680908203,13,21.7324,65000,385.08,394.91
14,34.9884,-28.213716506958008,14,57.8366,70000,411.99,421.07
15,35.661,-48.27531433105469,15,41.7437,75000,403.04,408.21
16,35.6038,-70.80747985839844,16,33.2593,80000,414.08,422.39
17,35.5943,-66.85700225830078,17,53.2947,85000,402.72,413.57
18,35.4445,-40.722835540771484,18,88.3479,90000,412.24,417.11
19,35.1309,-64.85896301269531,19,90.037,95000,420.18,426.2
20,35.4365,-88.81861114501953,20,56.1586,100000,425.56,433.44
21,35.5452,-92.4637222290039,21,80.8579,105000,425.85,444.76
22,35.6797,-113.99861907958984,22,40.0021,110000,422.15,436.5
23,34.7547,-75.590087890625,23,90.0927,115000,435.52,441.48
24,35.0652,-128.3158416748047,24,41.325,120000,418.18,423.16
25,34.5116,-142.52947998046875,25,38.0325,125000,439.93,450.1
26,34.5365,-166.35232543945312,26,30.9482,130000,429.9,440.36
27,33.6186,-142.04258728027344,27,34.4428,135000,449.68,466.25
28,34.828,-164.53367614746094,28,46.7302,140000,427.63,437.66
29,33.2769,-194.42593383789062,29,51.1881,145000,471.95,494.95
30,33.1839,-213.80499267578125,30,47.7729,150000,453.28,463.22
31,32.959,-200.2168426513672,31,46.9151,155000,456.87,469.04
32,32.6879,-229.04098510742188,32,59.0892,160000,465.64,477.47
33,33.1095,-238.80209350585938,33,19.4745,165000,475.17,479.98
34,32.5401,-289.84539794921875,34,40.4429,170000,481.78,493.01
35,32.2271,-305.1117858886719,35,73.3852,175000,487.04,506.68
36,31.3941,-220.50506591796875,36,25.2486,180000,489.85,503.61
37,31.9436,-258.71343994140625,37,48.8071,185000,502.28,525.85
38,31.2625,-244.0079803466797,38,23.1784,190000,536.44,553.81
39,31.6734,-305.13763427734375,39,39.6329,195000,532.63,550.26
40,31.5402,-323.67364501953125,40,73.6203,200000,545.26,558.97
41,31.5065,-247.4783477783203,41,25.7082,205000,712.0,729.67
42,32.584,-189.97740173339844,42,17.7699,210000,717.22,822.19
43,31.3378,-241.59532165527344,43,44.7468,215000,180.75,178.01
44,32.7905,-244.5614013671875,44,89.4307,220000,801.31,865.49
45,30.0097,-158.1557159423828,45,13.9084,225000,693.42,675.81
46,30.6556,-247.9875946044922,46,38.1656,230000,897.06,815.73
47,32.1349,-250.87049865722656,47,31.4543,235000,837.83,812.14
48,29.9846,-148.43310546875,48,18.744,240000,1978.43,2418.91
49,31.5676,-240.1892547607422,49,52.314,245000,1306.2,2386.08
50,29.1273,-137.0688934326172,50,16.4655,250000,2324.43,3019.7
51,30.9038,-273.51513671875,51,36.7831,255000,1061.76,1259.42
52,29.8522,-259.542724609375,52,38.5699,260000,1147.61,1249.96
53,28.2435,-68.92771911621094,53,14.1736,265000,3081.07,3186.53
54,29.0979,-246.7356719970703,54,47.7266,270000,1250.06,1563.38
55,27.4742,-117.98564910888672,55,22.8278,275000,2812.4,3324.2
56,29.1534,-309.1211853027344,56,65.6941,280000,1132.01,1075.38
57,29.057,-211.20762634277344,57,19.6065,285000,1329.09,1452.57
58,29.9258,-134.73899841308594,58,12.6007,290000,2123.92,2563.68
59,29.9572,-318.00421142578125,59,20.0699,295000,1277.62,1343.89
60,28.8421,-42.1328239440918,60,15.4763,300000,3162.62,3341.82
61,30.1499,-172.9756317138672,61,13.2491,305000,2546.87,3436.09
62,30.4498,-67.21101379394531,62,18.6785,310000,3159.28,3467.2
63,29.1911,-57.44466018676758,63,16.4923,315000,3179.85,3150.21
64,29.9404,-69.44231414794922,64,16.7911,320000,3085.21,3084.53
65,28.6116,-76.70785522460938,65,14.2793,325000,3099.42,3405.95
66,29.2307,-57.23586654663086,66,16.1731,330000,3359.19,3420.18
67,28.9874,-270.0690002441406,67,13.8544,335000,1378.8,1990.42
68,28.8705,-256.1405334472656,68,13.5214,340000,1656.81,2001.2
69,28.3279,-208.6553497314453,69,15.5976,345000,1892.1,3003.71
70,28.9083,-243.83514404296875,70,19.8788,350000,1577.84,2748.28
71,31.2394,-46.713829040527344,71,17.2106,355000,3440.97,3502.42
