Running Forward KL,Running Env Steps,Itration,Real Det Return,Real Sto Return,Running Reverse KL,Running Update Time,Reward Loss
74.9778,0,0,375.91,-59.16,27.1366,0,52.42464065551758
74.2921,5000,1,662.22,-93.72,25.3121,1,-12.303021430969238
73.707,10000,2,374.66,-16.68,25.5903,2,-79.76896667480469
71.9179,15000,3,477.53,-15.41,26.0309,3,-155.29788208007812
73.4281,20000,4,310.88,21.56,27.2272,4,-241.4210968017578
73.6683,25000,5,553.28,21.14,27.8528,5,-296.40087890625
72.6793,30000,6,599.08,78.54,27.7655,6,-374.8160095214844
71.6047,35000,7,837.48,84.41,28.8504,7,-450.66607666015625
71.4381,40000,8,595.13,124.03,29.2365,8,-499.28912353515625
72.1851,45000,9,607.1,82.65,29.5906,9,-599.3782958984375
69.0604,50000,10,675.96,127.91,29.1729,10,-631.8095703125
71.9325,55000,11,596.13,131.45,29.3213,11,-692.0309448242188
67.7962,60000,12,703.44,178.37,28.3434,12,-731.7271118164062
70.1782,65000,13,491.96,193.8,29.2511,13,-847.9618530273438
67.5988,70000,14,665.3,164.31,29.4902,14,-894.2310791015625
71.1962,75000,15,854.22,214.79,29.8596,15,-985.8021850585938
65.4959,80000,16,672.08,250.49,28.4782,16,-969.6415405273438
67.6603,85000,17,898.6,224.05,28.6809,17,-1063.259765625
64.9549,90000,18,659.85,237.62,27.9214,18,-1109.5260009765625
65.4079,95000,19,647.18,209.78,27.7463,19,-1180.5753173828125
60.6273,100000,20,824.33,302.05,26.8859,20,-1162.5535888671875
64.5224,105000,21,905.69,249.54,27.57,21,-1294.7430419921875
63.474,110000,22,743.61,278.09,27.5509,22,-1347.07958984375
67.9785,115000,23,451.07,160.5,29.7427,23,-1478.09130859375
64.3747,120000,24,798.56,337.43,27.8718,24,-1482.2291259765625
65.6139,125000,25,946.85,342.97,28.4823,25,-1554.573486328125
63.3091,130000,26,765.43,236.83,26.2772,26,-1545.685302734375
67.6391,135000,27,599.58,264.31,28.8593,27,-1715.852783203125
62.1119,140000,28,573.78,181.19,26.3425,28,-1686.2486572265625
67.2759,145000,29,824.46,370.0,28.2953,29,-1834.9219970703125
65.9277,150000,30,606.43,223.83,27.8525,30,-1880.6466064453125
59.3009,155000,31,864.48,429.4,24.9848,31,-1760.07470703125
58.8239,160000,32,866.88,445.63,24.5101,32,-1808.2020263671875
56.3656,165000,33,1423.64,569.0,24.2571,33,-1802.5745849609375
61.2941,170000,34,1198.45,578.18,26.1383,34,-2044.8328857421875
59.4615,175000,35,1087.05,447.41,25.2704,35,-1981.31103515625
58.7939,180000,36,712.7,410.21,25.0452,36,-2029.594482421875
55.9983,185000,37,1673.92,793.4,24.0083,37,-1903.539306640625
54.5163,190000,38,1768.53,1029.38,22.9378,38,-1874.9454345703125
53.0642,195000,39,2140.76,787.48,22.5256,39,-1796.5665283203125
57.6979,200000,40,1249.17,932.7,23.9943,40,-2182.632568359375
53.7535,205000,41,1857.66,1437.06,21.9728,41,-1977.048095703125
