Reward Loss,Itration,Running Forward KL,Running Env Steps,Running Reverse KL,Real Sto Return,Real Det Return,Running Update Time
160.34967041015625,0,49.6955,0,12.4679,444.99,411.48,0
111.8003158569336,1,48.8993,5000,12.7698,334.29,355.89,1
159.64413452148438,2,48.7473,10000,14.3089,375.12,56.14,2
123.99360656738281,3,49.0547,15000,13.2655,378.8,407.54,3
107.83484649658203,4,49.0448,20000,14.5274,436.98,442.97,4
69.02603912353516,5,48.8876,25000,14.7434,463.8,524.53,5
31.238317489624023,6,48.3025,30000,16.1671,471.6,502.98,6
69.11222839355469,7,48.4882,35000,13.4623,457.81,530.81,7
69.40585327148438,8,47.3945,40000,13.1147,582.46,484.17,8
86.84008026123047,9,47.4806,45000,12.0706,620.99,677.2,9
99.91275024414062,10,47.111,50000,15.3716,666.03,660.5,10
38.614078521728516,11,47.4699,55000,13.7264,851.97,1994.81,11
20.566165924072266,12,47.1518,60000,14.0316,815.82,1449.72,12
38.720802307128906,13,47.0653,65000,14.6338,931.41,866.2,13
23.215696334838867,14,46.3119,70000,16.2233,932.49,997.84,14
10.517538070678711,15,46.4433,75000,14.1166,869.68,733.79,15
-5.468964576721191,16,47.0056,80000,20.6254,868.54,941.45,16
-12.189403533935547,17,46.9535,85000,17.7098,1078.21,987.67,17
-55.161773681640625,18,46.5796,90000,25.4426,965.82,820.12,18
-37.73130416870117,19,46.9869,95000,19.6199,872.45,852.07,19
-91.03407287597656,20,46.6942,100000,19.1206,1177.63,1299.23,20
-45.11886978149414,21,46.3694,105000,13.8019,991.46,1033.03,21
-89.40424346923828,22,46.4159,110000,15.8004,1147.43,1568.01,22
-71.47102355957031,23,45.8963,115000,19.8672,1157.78,1555.88,23
-100.08609008789062,24,46.3132,120000,19.0733,1466.04,1221.54,24
-97.13471221923828,25,46.2891,125000,15.6712,1305.45,1047.72,25
-112.71040344238281,26,46.5364,130000,13.6056,1217.63,1328.74,26
-151.79592895507812,27,46.3736,135000,21.9609,1235.73,1072.14,27
-140.07212829589844,28,46.0425,140000,14.496,1257.57,1249.75,28
-193.08792114257812,29,46.4533,145000,27.1288,1291.66,1462.82,29
-163.5328826904297,30,45.6228,150000,19.3753,1663.33,1462.43,30
-188.7005157470703,31,45.97,155000,21.1832,1385.52,1751.9,31
-199.9700164794922,32,46.0858,160000,22.4789,1166.56,1477.31,32
