Real Det Return,Running Env Steps,Reward Loss,Running Update Time,Running Forward KL,Real Sto Return,Running Reverse KL,Itration
251.99,0,236.8876495361328,0,31.0191,243.01,25.0534,0
302.8,5000,280.131591796875,1,30.8882,304.34,44.1589,1
355.92,10000,200.421630859375,2,29.342,354.81,52.9333,2
388.46,15000,136.25137329101562,3,29.5577,348.64,45.6662,3
195.83,20000,83.46219635009766,4,29.9616,287.99,41.3446,4
501.6,25000,53.415443420410156,5,28.2075,417.7,42.2035,5
872.81,30000,86.91011810302734,6,27.0093,728.06,45.429,6
576.24,35000,90.9457778930664,7,27.7976,657.6,39.2174,7
666.91,40000,-40.13520431518555,8,27.1769,624.67,40.9358,8
883.46,45000,158.35813903808594,9,25.9175,904.64,31.0132,9
1243.84,50000,-109.03826141357422,10,25.9897,1057.99,29.9421,10
1181.25,55000,-102.53318786621094,11,26.0611,815.15,26.1192,11
992.56,60000,-46.61268615722656,12,25.1547,952.97,19.4075,12
2927.49,65000,-106.83847045898438,13,25.3951,1507.58,20.0196,13
778.96,70000,-215.1891632080078,14,27.1442,725.02,28.0178,14
1087.01,75000,-238.3602294921875,15,25.8703,965.2,29.4727,15
1472.69,80000,-175.3739776611328,16,25.2376,1326.86,21.3116,16
1648.99,85000,-207.37855529785156,17,24.9719,1606.79,19.742,17
2895.94,90000,-65.08351135253906,18,25.6686,2938.78,16.5583,18
3061.13,95000,-83.63442993164062,19,24.0758,2703.99,15.1837,19
3040.78,100000,-70.69833374023438,20,22.64,3012.9,13.1345,20
3113.65,105000,-124.2607650756836,21,23.1634,2838.01,14.8803,21
3153.22,110000,-221.95716857910156,22,24.7285,2225.3,20.2666,22
3000.74,115000,-118.85127258300781,23,23.0104,2960.8,13.6241,23
1444.34,120000,-322.84539794921875,24,23.7136,1657.95,24.0284,24
3055.16,125000,-91.048095703125,25,22.8375,3073.67,14.3136,25
3143.58,130000,-265.8106384277344,26,24.1289,1907.96,21.7736,26
3129.05,135000,-270.39794921875,27,23.9394,1846.41,20.6692,27
2929.0,140000,-420.44580078125,28,24.7721,1590.77,20.3645,28
3168.94,145000,-243.18679809570312,29,24.1058,2397.42,20.794,29
1498.1,150000,-614.3101806640625,30,26.0048,1113.52,34.9918,30
3139.3,155000,-443.3106689453125,31,24.0679,1604.07,23.8166,31
3072.7,160000,-188.45510864257812,32,23.3195,2932.79,15.7188,32
3172.1,165000,-415.92578125,33,22.5412,2187.47,19.5525,33
2709.97,170000,-284.5867614746094,34,23.4928,2335.32,17.3763,34
3137.38,175000,-196.02142333984375,35,22.6602,3079.93,14.3283,35
3126.51,180000,-239.10240173339844,36,23.5329,3012.3,16.0143,36
3140.38,185000,-229.7049560546875,37,22.9886,2975.43,14.5937,37
3126.53,190000,-298.375244140625,38,23.1795,3046.98,15.3824,38
3144.54,195000,-319.584716796875,39,23.7348,2330.0,16.802,39
3150.88,200000,-231.3384552001953,40,22.917,3135.72,14.8715,40
3177.39,205000,-327.1736755371094,41,23.9895,2548.04,14.9308,41
3183.37,210000,-207.494140625,42,23.6406,2748.26,14.7768,42
3119.42,215000,-268.51409912109375,43,22.7146,3100.73,14.5405,43
3154.77,220000,-288.229736328125,44,23.3462,2796.49,14.5843,44
3165.59,225000,-287.1285095214844,45,22.9033,2943.17,13.4491,45
3175.21,230000,-424.5650939941406,46,22.1117,2772.52,13.0741,46
3141.16,235000,-274.0765075683594,47,23.1781,3139.86,15.7566,47
3187.4,240000,-419.9365539550781,48,23.0022,3075.66,14.7233,48
3155.18,245000,-242.37802124023438,49,21.4357,2407.66,12.5012,49
3187.42,250000,-305.5240173339844,50,22.6985,3170.92,14.5408,50
3197.77,255000,-329.9415283203125,51,21.3048,3161.08,13.1127,51
3133.77,260000,-469.128173828125,52,22.2284,3123.14,13.0472,52
3242.18,265000,-583.236083984375,53,22.5842,2911.87,13.5759,53
3209.11,270000,-358.1511535644531,54,22.1121,2926.04,12.9841,54
3203.2,275000,-428.23675537109375,55,21.9655,2887.34,13.3013,55
