Real Det Return,Running Reverse KL,Itration,Running Update Time,Reward Loss,Real Sto Return,Running Env Steps,Running Forward KL
717.59,25.9843,0,0,37.44650650024414,-52.83,0,75.2277
399.96,26.6065,1,1,-75.03106689453125,-56.71,5000,76.1929
629.87,26.3559,2,2,-128.1973876953125,-41.08,10000,75.0289
553.42,28.3022,3,3,-204.51251220703125,20.52,15000,74.5494
715.63,29.5499,4,4,-262.5619812011719,31.26,20000,73.0589
795.11,29.2313,5,5,-328.70916748046875,85.26,25000,72.4273
729.17,31.4962,6,6,-396.7718505859375,70.41,30000,71.4143
772.43,30.4208,7,7,-483.98846435546875,87.31,35000,73.8165
632.13,31.0551,8,8,-552.01220703125,137.82,40000,71.7991
779.93,30.5684,9,9,-587.7803955078125,117.06,45000,69.7033
771.51,30.6223,10,10,-677.0693969726562,129.95,50000,73.0979
618.89,31.6881,11,11,-757.2921142578125,89.77,55000,73.8759
735.23,30.7839,12,12,-813.9922485351562,164.44,60000,72.5156
481.2,31.354,13,13,-867.7710571289062,126.07,65000,74.51
679.93,31.7792,14,14,-975.7577514648438,155.69,70000,74.2041
655.36,31.8258,15,15,-1010.420166015625,131.06,75000,75.596
674.81,31.6227,16,16,-1104.1829833984375,148.4,80000,75.4831
841.37,31.2629,17,17,-1133.2459716796875,200.02,85000,74.6996
774.19,31.6804,18,18,-1224.74267578125,180.36,90000,74.7776
776.82,31.0667,19,19,-1271.7568359375,188.51,95000,74.6502
627.68,31.3476,20,20,-1336.8126220703125,183.47,100000,74.9197
644.7,31.2329,21,21,-1395.835693359375,189.63,105000,74.7965
770.7,31.4989,22,22,-1502.466064453125,230.6,110000,74.2108
738.31,31.2882,23,23,-1525.76611328125,216.31,115000,72.719
780.64,31.1128,24,24,-1587.9920654296875,212.15,120000,73.8525
675.56,31.0259,25,25,-1646.0667724609375,145.27,125000,75.0523
892.61,31.0265,26,26,-1722.9356689453125,263.36,130000,72.2856
724.99,31.3635,27,27,-1826.387451171875,182.66,135000,74.0499
713.25,31.8013,28,28,-1895.505859375,202.58,140000,74.0081
727.27,31.7713,29,29,-1945.7939453125,213.37,145000,75.8492
818.77,31.6028,30,30,-2012.323974609375,255.42,150000,75.7071
691.08,31.641,31,31,-2101.6044921875,260.6,155000,75.1172
820.26,31.3455,32,32,-2187.064697265625,240.64,160000,73.9788
785.58,31.4896,33,33,-2217.780029296875,226.72,165000,74.9908
874.19,31.6137,34,34,-2272.296630859375,263.1,170000,75.7198
865.9,31.0042,35,35,-2346.972412109375,206.71,175000,75.5173
780.7,31.1626,36,36,-2423.844970703125,198.77,180000,74.8978
954.35,31.4464,37,37,-2498.85302734375,248.81,185000,75.1803
883.82,31.4481,38,38,-2578.247314453125,232.98,190000,74.4417
903.41,31.527,39,39,-2681.78662109375,269.87,195000,74.9939
886.88,30.565,40,40,-2710.467041015625,279.13,200000,73.6846
783.76,30.8302,41,41,-2800.828857421875,232.29,205000,74.4261
981.27,31.3195,42,42,-2906.369140625,294.4,210000,75.4292
745.26,31.5209,43,43,-2981.044677734375,216.79,215000,75.1
936.88,31.017,44,44,-3024.71142578125,277.07,220000,76.1671
825.07,31.4703,45,45,-3092.439697265625,261.17,225000,74.5951
693.58,31.1345,46,46,-3167.97021484375,242.35,230000,73.991
728.56,31.2973,47,47,-3250.150634765625,212.92,235000,74.2442
804.15,30.9566,48,48,-3311.994140625,279.1,240000,74.5588
842.57,30.3661,49,49,-3389.46142578125,256.86,245000,71.9865
991.5,30.5549,50,50,-3473.345458984375,272.72,250000,73.6419
789.19,31.0261,51,51,-3529.509765625,237.45,255000,74.6875
