Running Forward KL,Running Reverse KL,Running Env Steps,Real Sto Return,Running Update Time,Itration,Real Det Return,Reward Loss
158.6256,11.56,0,-240.03,0,0,-40.46,446.0025634765625
158.2474,12.0148,5000,-12.63,1,1,193.92,360.40777587890625
158.1272,11.6929,10000,173.62,2,2,476.8,334.8095397949219
158.2297,12.3196,15000,213.57,3,3,676.02,348.7477722167969
157.8869,11.9299,20000,331.51,4,4,793.64,323.2613220214844
157.3865,11.6374,25000,674.9,5,5,1318.51,261.5320129394531
157.0688,11.8654,30000,995.29,6,6,2030.88,232.04522705078125
156.565,13.8748,35000,1941.29,7,7,2808.73,166.71212768554688
155.5043,14.0761,40000,2420.63,8,8,3059.88,133.7742156982422
155.2054,15.5585,45000,3167.94,9,9,3540.25,72.51459503173828
153.9439,14.7169,50000,3760.5,10,10,4403.31,63.64756774902344
152.8814,15.4119,55000,4367.43,11,11,5132.07,30.064403533935547
152.2151,16.7214,60000,4418.33,12,12,5301.12,21.13145637512207
152.4828,16.1366,65000,4735.07,13,13,5441.51,0.0629425048828125
151.9706,15.8352,70000,5536.85,14,14,5971.59,-12.546420097351074
151.6856,16.6172,75000,5793.01,15,15,6403.16,-47.81925582885742
151.7467,15.1923,80000,5617.6,16,16,6273.63,-95.00151824951172
151.2395,15.1146,85000,6174.74,17,17,6449.94,-136.58511352539062
150.2575,16.7814,90000,6302.32,18,18,7264.76,-122.15697479248047
150.7413,16.7428,95000,7119.15,19,19,7557.15,-168.06370544433594
150.3306,17.0896,100000,6882.27,20,20,7376.37,-206.68380737304688
150.2099,17.3301,105000,6409.65,21,21,7261.1,-203.8369140625
150.4309,17.6183,110000,7241.66,22,22,7748.03,-235.0458526611328
149.9647,16.9896,115000,7187.34,23,23,7981.2,-234.3199920654297
149.4463,16.9569,120000,7318.55,24,24,8464.94,-266.7554016113281
149.6432,16.0715,125000,7523.5,25,25,8500.36,-329.951171875
149.4886,18.0798,130000,7793.36,26,26,8294.26,-340.66455078125
150.0184,18.332,135000,8021.77,27,27,8589.17,-341.2322998046875
149.2228,18.3893,140000,8148.68,28,28,8864.12,-350.5166320800781
149.8006,18.5429,145000,7911.27,29,29,8395.19,-386.2650451660156
