Running Reverse KL,Real Sto Return,Running Update Time,Running Forward KL,Reward Loss,Real Det Return,Running Env Steps,Itration
18.3716,141.02,0,31.4873,280.02532958984375,102.54,0,0
26.2629,230.76,1,29.7585,470.7780456542969,256.41,5000,1
14.6239,366.18,2,29.0239,253.5911407470703,371.52,10000,2
35.2624,321.0,3,30.2944,284.12567138671875,330.47,15000,3
19.5545,300.05,4,29.7275,189.73728942871094,325.85,20000,4
28.7376,353.74,5,30.0906,190.71392822265625,356.59,25000,5
17.2171,356.42,6,29.254,126.7304916381836,403.15,30000,6
22.1237,381.47,7,28.9633,77.0434341430664,393.12,35000,7
46.0261,482.5,8,28.1016,67.74513244628906,374.06,40000,8
25.0819,383.94,9,30.4617,-35.966758728027344,393.73,45000,9
22.054,470.05,10,28.2895,-75.31546020507812,628.07,50000,10
20.597,617.26,11,26.2467,-105.79075622558594,642.07,55000,11
24.3507,688.55,12,26.4878,-179.00674438476562,669.11,60000,12
18.2132,746.91,13,25.5456,-130.26783752441406,512.23,65000,13
15.2111,1280.34,14,25.346,-45.41905975341797,1087.23,70000,14
15.591,1030.88,15,26.7859,-135.8477783203125,1039.78,75000,15
15.9358,2326.97,16,25.832,-55.88031768798828,2486.29,80000,16
48.9746,14.54,17,36.2032,-465.3946838378906,14.31,85000,17
19.0931,1120.81,18,25.9888,-311.6363220214844,1322.09,90000,18
19.7434,1167.53,19,26.4918,-349.50494384765625,1023.1,95000,19
15.1852,2217.03,20,23.6091,-180.9146270751953,2251.42,100000,20
31.832,1505.34,21,24.7425,-227.36622619628906,1622.08,105000,21
13.5528,2269.33,22,24.206,-254.9357147216797,2004.12,110000,22
14.2194,1649.97,23,23.3945,-279.3099670410156,905.76,115000,23
21.7752,2125.45,24,22.0961,-257.2730712890625,2606.41,120000,24
15.8681,2752.99,25,25.0682,-158.76280212402344,3012.14,125000,25
15.1862,2481.2,26,23.3196,-242.9478759765625,2132.13,130000,26
16.3859,2261.58,27,23.7636,-310.2119445800781,1916.71,135000,27
27.4912,2367.12,28,23.5634,-359.5322265625,2907.33,140000,28
14.1189,2576.43,29,23.5045,-195.9953155517578,3024.33,145000,29
18.3199,1889.1,30,23.6583,-332.2159118652344,2041.72,150000,30
15.3187,2436.37,31,22.8026,-313.9218444824219,3106.62,155000,31
17.163,2135.16,32,23.2963,-395.4944763183594,2754.84,160000,32
16.5774,2135.41,33,23.7535,-397.1864318847656,2097.44,165000,33
20.0571,2454.9,34,23.1304,-549.4304809570312,1893.28,170000,34
14.637,2769.88,35,23.4545,-336.7989501953125,1536.49,175000,35
16.915,1988.85,36,23.4774,-477.29913330078125,1822.93,180000,36
17.6375,2409.25,37,23.2021,-420.8359069824219,1899.57,185000,37
16.9614,2504.18,38,23.5171,-341.96826171875,3173.93,190000,38
13.8883,2652.09,39,22.2358,-387.3404235839844,1839.48,195000,39
15.4593,2707.15,40,23.0692,-424.578369140625,2740.08,200000,40
14.0486,2812.83,41,23.1707,-283.8841552734375,3190.3,205000,41
17.062,2783.51,42,22.7431,-457.6974182128906,3213.53,210000,42
13.498,2800.14,43,21.5539,-466.40582275390625,3191.56,215000,43
25.6606,2763.68,44,22.4043,-721.4229736328125,3200.38,220000,44
13.7168,2560.19,45,21.8683,-500.226318359375,3130.11,225000,45
13.9696,3046.73,46,22.938,-391.92169189453125,3129.1,230000,46
14.7543,2919.38,47,23.7799,-411.8558654785156,3150.57,235000,47
12.0162,2565.58,48,21.2865,-408.0513916015625,3188.21,240000,48
13.2325,2731.14,49,22.6002,-467.963134765625,3164.49,245000,49
12.8618,2383.26,50,22.024,-526.4195556640625,2478.44,250000,50
