Reward Loss,Running Env Steps,Running Reverse KL,Running Forward KL,Itration,Real Det Return,Real Sto Return,Running Update Time
418.1788024902344,0,25.9307,75.1683,0,553.11,-70.69,0
389.77618408203125,5000,26.0921,74.9708,1,590.8,-52.5,1
273.61175537109375,10000,26.8012,74.2828,2,664.72,-52.27,2
188.858642578125,15000,28.9982,75.0771,3,647.63,4.74,3
95.96781921386719,20000,29.467,73.7257,4,681.6,17.64,4
61.10533142089844,25000,30.8078,74.364,5,843.42,73.66,5
-56.795833587646484,30000,30.5741,71.2833,6,667.77,79.35,6
-105.91168975830078,35000,30.4078,69.4161,7,769.39,138.59,7
-189.15243530273438,40000,30.6431,69.1031,8,786.09,120.99,8
-274.0729675292969,45000,30.4561,71.0055,9,620.38,171.08,9
-345.4399719238281,50000,30.5669,69.5287,10,869.33,145.04,10
-389.7872009277344,55000,30.2431,66.6781,11,922.7,237.09,11
-483.8987731933594,60000,31.3894,69.0436,12,881.09,289.67,12
-531.2282104492188,65000,29.9533,67.3597,13,730.43,96.5,13
-604.8538818359375,70000,30.4022,68.8299,14,982.7,291.15,14
-712.9989013671875,75000,31.2364,68.8532,15,687.5,175.45,15
-758.2264404296875,80000,30.6529,70.1182,16,633.46,194.39,16
-820.3421630859375,85000,30.173,69.0177,17,624.57,222.14,17
-899.6694946289062,90000,29.7714,67.6619,18,852.83,224.61,18
-951.5758666992188,95000,30.7818,67.9637,19,925.45,210.43,19
-1045.5439453125,100000,31.0392,68.7186,20,1003.88,263.03,20
-1092.69091796875,105000,30.0154,67.6543,21,817.58,160.26,21
-1182.32080078125,110000,30.0726,69.263,22,930.8,225.33,22
-1247.416748046875,115000,31.1205,70.0277,23,891.59,251.34,23
-1335.828857421875,120000,30.8314,69.4027,24,845.99,242.06,24
-1422.3892822265625,125000,30.9415,72.2283,25,575.31,156.25,25
-1509.4420166015625,130000,31.7684,72.1286,26,985.04,223.58,26
-1564.4454345703125,135000,31.4649,71.351,27,800.09,214.5,27
