Itration,Running Reverse KL,Running Update Time,Reward Loss,Real Sto Return,Running Env Steps,Running Forward KL,Real Det Return
0,25.1344,0,63.00617599487305,184.63,0,34.0003,183.56
1,23.4323,1,60.09437942504883,232.21,5000,33.5583,233.66
2,19.6014,2,35.886940002441406,229.76,10000,31.0313,227.75
3,20.3271,3,22.211118698120117,281.68,15000,31.7854,291.38
4,18.6527,4,-57.16653060913086,282.75,20000,30.7897,287.02
5,19.3554,5,-74.92948913574219,312.28,25000,31.048,315.63
6,17.3152,6,-67.90145111083984,311.1,30000,29.9664,312.88
7,15.2292,7,-58.97343063354492,323.12,35000,29.5021,321.16
8,143.1271,8,-28.09898567199707,13.56,40000,39.761,14.34
9,48.6036,9,-28.863723754882812,8.21,45000,37.4285,8.22
10,28.671,10,-90.60774230957031,1005.73,50000,39.8548,1005.45
11,23.6335,11,-89.74989318847656,97.04,55000,35.479,78.0
12,26.9798,12,-94.25114440917969,981.56,60000,29.8211,780.56
13,15.6861,13,-30.638385772705078,332.77,65000,29.3999,341.29
14,28.1051,14,-124.4061508178711,999.94,70000,37.9734,1001.97
15,22.3709,15,-122.01177215576172,996.05,75000,37.2492,993.81
16,14.8081,16,-99.630126953125,524.62,80000,31.2179,493.2
17,18.9312,17,-92.42487335205078,298.69,85000,29.8188,298.62
18,23.387,18,-96.91010284423828,300.79,90000,31.5443,299.95
19,38.2362,19,-137.34356689453125,339.19,95000,31.9871,343.76
20,26.1215,20,-97.92636108398438,358.36,100000,29.491,364.98
21,25.6619,21,-170.6092071533203,969.13,105000,33.2539,981.61
22,31.2195,22,-189.56634521484375,988.86,110000,38.422,989.55
23,15.6415,23,-86.54153442382812,376.38,115000,29.61,382.41
24,22.926,24,-91.81036376953125,389.3,120000,30.5505,396.26
25,19.1995,25,-78.12435150146484,399.94,125000,29.8255,403.9
26,32.2225,26,-80.12691497802734,410.13,130000,29.39,410.1
27,16.8495,27,-129.61404418945312,405.74,135000,30.348,408.5
28,35.9467,28,-131.45066833496094,422.41,140000,27.6224,439.54
29,47.6331,29,-81.51388549804688,438.41,145000,28.2546,461.07
30,43.8368,30,-163.15553283691406,431.21,150000,29.2959,437.27
31,31.1559,31,-184.30963134765625,433.89,155000,28.9992,439.78
32,18.357,32,-192.9445037841797,440.39,160000,27.9971,456.9
33,14.7704,33,-178.9500274658203,462.84,165000,26.3374,487.13
34,16.2102,34,-192.81930541992188,464.26,170000,26.5692,493.94
35,14.713,35,-146.4060516357422,525.82,175000,25.2373,548.21
36,19.0543,36,-184.58322143554688,590.44,180000,27.031,597.48
37,20.6205,37,-201.3369598388672,558.52,185000,27.6724,569.72
38,24.7309,38,-206.19268798828125,605.69,190000,27.3259,600.37
39,15.485,39,-191.7854766845703,748.08,195000,26.1097,663.94
40,15.8354,40,-191.8298797607422,839.95,200000,25.9246,781.72
41,14.9387,41,-199.04769897460938,1010.87,205000,25.2478,879.16
42,18.2066,42,-223.77687072753906,712.98,210000,25.8949,688.02
43,30.1558,43,-183.59373474121094,785.1,215000,26.6944,825.01
44,22.488,44,-200.38421630859375,822.21,220000,27.4065,820.4
45,23.7707,45,-172.75875854492188,1451.71,225000,24.7544,1757.46
46,18.0779,46,-162.87046813964844,1424.16,230000,24.2334,1883.06
47,14.9075,47,-117.30204772949219,2071.44,235000,23.8417,1518.2
48,22.2414,48,-163.59141540527344,1736.87,240000,24.2897,1547.57
49,18.151,49,-111.24742126464844,2104.61,245000,24.0474,2937.96
50,13.3111,50,-88.30828857421875,2339.4,250000,23.7964,2705.96
51,22.886,51,-56.92142105102539,2622.36,255000,24.3766,2903.38
52,63.122,52,-139.11785888671875,1978.9,260000,25.7938,2748.22
53,52.0968,53,-180.4305877685547,1934.98,265000,24.0624,2277.59
54,36.9041,54,-90.60232543945312,2584.04,270000,22.6109,3122.35
55,16.9142,55,-61.85564422607422,2564.42,275000,22.2573,2495.06
56,13.7338,56,-54.508670806884766,3188.28,280000,22.2524,3178.23
57,14.1166,57,-48.25532531738281,3071.93,285000,22.0132,3063.51
58,13.5413,58,-52.86836624145508,3010.98,290000,22.0967,3010.26
59,13.9455,59,-38.22311782836914,3037.35,295000,21.8171,3176.49
60,13.6316,60,-125.90644073486328,2101.56,300000,22.981,2834.76
61,13.407,61,-95.51325225830078,2827.42,305000,23.5998,3245.51
62,12.4008,62,-121.12381744384766,2752.93,310000,22.715,3143.01
63,17.6329,63,-114.76957702636719,2832.86,315000,23.1398,2652.76
64,15.1674,64,-93.93632507324219,2749.74,320000,22.9037,2952.11
65,15.4424,65,-145.26686096191406,2808.1,325000,23.811,1929.0
66,36.2583,66,-305.6735534667969,1392.51,330000,25.4753,2707.96
67,19.2476,67,-210.66925048828125,1958.43,335000,23.8548,3122.23
68,23.0942,68,-179.25347900390625,2255.75,340000,22.5643,2986.78
69,13.4077,69,-58.135807037353516,3015.4,345000,22.4474,3190.8
70,13.7681,70,-85.9913558959961,3059.98,350000,23.2286,3173.49
71,13.531,71,-74.5455322265625,3032.22,355000,22.5527,3102.0
72,47.5798,72,-283.9211120605469,1319.74,360000,24.0578,1946.52
73,13.0158,73,-120.59554290771484,1893.61,365000,22.0248,1335.53
74,20.1494,74,-195.8260498046875,2833.05,370000,22.911,3247.53
75,16.9294,75,-133.87496948242188,1653.33,375000,22.5765,1133.43
76,36.7222,76,-190.77670288085938,1992.71,380000,23.0449,2101.85
77,15.778,77,-117.90882110595703,2036.79,385000,21.7402,3274.08
78,13.3348,78,-94.49118041992188,3077.13,390000,21.6485,3159.99
79,38.7302,79,-258.6397705078125,2063.63,395000,22.1271,3297.1
80,17.9742,80,-139.9871368408203,2175.34,400000,21.7124,1520.52
81,13.8602,81,-64.58016967773438,3278.52,405000,22.0205,3278.66
82,22.7292,82,-153.73068237304688,2103.0,410000,22.0208,3383.0
83,23.2099,83,-245.24160766601562,2555.21,415000,22.4204,3342.61
84,30.3209,84,-206.1128692626953,2258.85,420000,22.0293,1023.7
85,14.4901,85,-96.69709014892578,2922.43,425000,21.3764,3294.29
86,24.0524,86,-274.64996337890625,1896.56,430000,22.8823,3411.95
87,19.629,87,-240.83151245117188,1504.31,435000,23.4377,3388.42
88,11.5394,88,-41.96617126464844,3033.15,440000,20.3793,3340.37
89,14.761,89,-171.51585388183594,2109.52,445000,21.818,3147.23
90,14.6841,90,-213.4419708251953,2206.66,450000,23.1286,3404.65
91,20.8939,91,-242.64727783203125,2195.22,455000,21.9944,3434.47
92,15.4167,92,-288.9007263183594,2105.48,460000,23.8875,3397.92
