Running Env Steps,Running Reverse KL,Itration,Real Det Return,Reward Loss,Running Update Time,Running Forward KL,Real Sto Return
0,14.4637,0,303.04,869.4739990234375,0,49.5803,366.63
5000,11.729,1,361.62,743.7048950195312,1,49.5627,358.19
10000,12.4739,2,322.04,688.7664794921875,2,49.2808,380.64
15000,20.0029,3,359.12,837.0862426757812,3,49.996,351.4
20000,11.6937,4,368.23,469.26483154296875,4,49.2404,387.28
25000,10.8591,5,338.42,402.8165283203125,5,48.5775,337.32
30000,11.3993,6,466.67,532.552734375,6,48.9009,393.58
35000,12.2417,7,467.52,251.02296447753906,7,48.3708,474.46
40000,13.4705,8,679.16,358.7279968261719,8,47.0226,534.12
45000,22.7038,9,867.79,385.5312805175781,9,47.8308,777.7
50000,18.4436,10,1556.51,166.9463653564453,10,47.4561,1042.16
55000,32.6749,11,950.37,281.6697082519531,11,47.8631,822.69
60000,23.3774,12,1111.51,237.06146240234375,12,47.7415,869.92
65000,28.4285,13,1550.28,207.3287811279297,13,47.9358,1168.8
70000,32.0633,14,1098.31,63.19022750854492,14,47.4206,891.88
75000,22.2032,15,1096.87,-95.26239013671875,15,46.8902,1016.87
80000,21.2357,16,804.45,-105.02599334716797,16,48.1375,818.89
85000,17.9709,17,796.84,-335.7198791503906,17,46.8204,838.28
90000,14.6215,18,829.31,-384.1151123046875,18,46.7694,912.91
95000,14.498,19,1028.23,-423.8135070800781,19,46.6036,901.28
100000,18.1755,20,1151.3,-589.7634887695312,20,46.6715,967.76
105000,23.2092,21,1257.62,-550.4820556640625,21,47.7541,1006.03
110000,16.7104,22,1357.84,-531.0195922851562,22,47.428,1202.49
115000,15.3241,23,1624.79,-495.8218078613281,23,47.3212,1176.62
120000,18.1392,24,1025.59,-686.0322265625,24,46.9778,1014.46
125000,17.7352,25,852.75,-689.7924194335938,25,47.3961,920.48
130000,15.5438,26,2574.68,-661.1139526367188,26,46.3256,1719.21
135000,14.9491,27,1122.2,-836.3851318359375,27,47.2787,991.67
140000,14.6711,28,1352.5,-885.557373046875,28,46.9336,1047.04
145000,28.3022,29,1582.25,-931.501953125,29,47.2808,1180.51
150000,29.3271,30,1368.67,-850.402099609375,30,47.539,1074.11
155000,15.9588,31,1122.55,-916.4116821289062,31,46.9008,1089.88
160000,16.6643,32,1481.13,-949.4071655273438,32,46.9736,1230.76
165000,16.8972,33,1350.9,-1109.3602294921875,33,46.8018,1102.62
170000,19.5225,34,1340.71,-1014.917236328125,34,46.962,1277.77
175000,18.7618,35,1272.18,-1220.26708984375,35,46.6842,1203.69
180000,23.2956,36,1402.11,-1114.485595703125,36,47.3123,1327.51
185000,24.236,37,1439.62,-1243.61181640625,37,47.6681,1241.5
190000,17.9768,38,1521.86,-1316.0321044921875,38,47.1858,1088.67
195000,18.8401,39,1165.25,-1304.2725830078125,39,47.011,977.92
200000,19.2194,40,1411.66,-1524.765869140625,40,47.4016,946.12
205000,20.0063,41,1491.2,-1475.7003173828125,41,46.6518,1112.41
210000,20.4167,42,2037.89,-1503.0626220703125,42,46.564,1354.91
215000,17.3619,43,1865.49,-1517.9439697265625,43,47.2909,1234.0
220000,18.5158,44,1472.99,-1569.0633544921875,44,47.2505,1259.83
225000,17.0975,45,2584.53,-1556.5224609375,45,46.8503,1736.83
230000,17.1481,46,2392.58,-1742.5377197265625,46,46.8081,1548.14
235000,17.5445,47,1538.37,-1807.1571044921875,47,47.3488,1145.17
240000,17.3825,48,1526.08,-1995.7750244140625,48,47.4677,1444.49
245000,19.4433,49,1870.55,-1894.507568359375,49,47.3241,1475.55
250000,18.6781,50,1779.32,-1882.3126220703125,50,46.7563,1469.93
255000,21.9393,51,2847.14,-1924.022216796875,51,46.7259,1486.92
260000,18.1681,52,1808.46,-2010.6767578125,52,46.6949,1473.77
265000,18.8448,53,2706.89,-1781.255126953125,53,46.3706,2215.82
270000,19.7384,54,2497.36,-1921.1912841796875,54,46.9812,1587.21
275000,35.8613,55,2462.63,-2109.42822265625,55,46.3283,1482.87
280000,22.4106,56,2553.42,-1977.42626953125,56,46.1044,1824.67
285000,21.8845,57,1421.42,-2119.02490234375,57,47.3702,1424.71
290000,43.2566,58,2021.89,-2369.3876953125,58,47.1501,1557.07
295000,23.2171,59,1957.39,-2251.946044921875,59,46.6959,1478.08
300000,20.5452,60,1938.63,-2416.864013671875,60,46.7948,1423.38
305000,20.8937,61,2340.85,-2201.7939453125,61,46.401,1713.92
310000,17.8883,62,2737.57,-2254.98193359375,62,46.633,1776.8
315000,20.027,63,2313.71,-2470.126220703125,63,46.4426,1716.21
320000,20.7742,64,2206.48,-2304.08984375,64,46.1018,1921.74
325000,26.9894,65,1941.56,-2689.07666015625,65,46.2916,1485.89
330000,21.7733,66,1956.97,-2755.072021484375,66,46.3858,1626.37
335000,21.648,67,1998.56,-2468.5810546875,67,46.2964,1497.13
340000,19.4272,68,1925.63,-2520.485107421875,68,46.4632,1864.99
345000,22.527,69,1500.63,-2987.465087890625,69,47.0532,1223.77
350000,20.1884,70,2652.02,-2552.99267578125,70,46.1197,1895.24
355000,27.1513,71,2144.09,-2874.110107421875,71,46.2278,1804.25
360000,30.2667,72,2591.96,-2970.32861328125,72,46.3911,1955.54
365000,25.2952,73,1942.6,-3115.074951171875,73,46.5001,1451.73
