Real Det Return,Itration,Running Reverse KL,Running Forward KL,Real Sto Return
182.96,0,25.6019,38.7253,189.31
256.6,1,34.0636,39.7465,244.09
241.34,2,26.798,39.9314,237.56
271.18,3,26.0205,37.4336,255.51
348.88,4,17.7909,37.5616,339.49
376.87,5,26.0786,34.0993,453.8
310.74,6,29.4485,37.6925,330.04
554.56,7,26.1403,33.7119,537.43
476.09,8,22.1942,30.9248,516.41
602.49,9,31.4578,31.9774,561.84
771.02,10,35.7588,32.0746,718.39
866.03,11,38.4645,30.8108,904.08
570.92,12,38.2569,32.4692,518.16
697.31,13,40.3484,31.7334,696.28
824.24,14,47.8083,31.615,777.78
889.31,15,31.925,29.8595,814.83
236.46,16,29.7332,30.4451,397.18
2909.97,17,20.7716,28.9503,2268.44
1049.13,18,34.5162,28.7386,1163.48
1173.38,19,38.3792,29.6122,1096.12
1328.95,20,38.8027,28.4139,1082.17
702.93,21,39.1625,29.0918,723.65
883.98,22,38.9016,30.5182,903.48
847.76,23,29.8218,28.2278,1574.1
1291.35,24,37.3392,29.3055,1022.56
826.45,25,36.1103,30.1057,1120.19
1626.42,26,29.5041,28.7678,1332.38
973.07,27,32.9392,28.8771,1181.7
2124.97,28,27.3935,28.3839,1448.3
1076.63,29,28.6397,28.836,1070.2
3090.52,30,24.9635,29.5373,1189.42
1459.65,31,19.2306,27.6708,1642.96
2582.92,32,16.6879,28.6982,1805.12
964.07,33,22.8828,28.9102,1338.05
1471.41,34,13.0214,26.8464,1958.73
2944.31,35,18.1814,28.3658,1586.08
2477.96,36,15.9748,28.1866,1860.75
2471.84,37,18.2386,29.0636,1584.55
1003.92,38,17.6484,29.4401,1111.36
1965.96,39,12.2804,27.5118,1947.65
2942.11,40,13.4378,28.7284,2226.68
1792.37,41,19.2641,28.0411,1383.82
1119.1,42,20.7681,28.9952,1015.87
1378.96,43,20.2388,28.3342,1407.16
2266.21,44,25.6596,27.3296,1220.31
1018.87,45,26.7619,28.3239,1131.98
3349.15,46,19.7935,27.4109,1104.92
3297.59,47,14.0962,25.6121,2885.95
1184.71,48,25.1737,29.2856,976.18
3298.26,49,12.2354,24.7597,2653.55
735.84,50,22.1071,28.7839,958.13
1499.9,51,20.9536,26.9582,1204.22
1294.32,52,12.8593,25.6947,1707.29
3240.37,53,14.8577,26.386,2553.82
3324.14,54,12.2559,24.5379,3204.7
3351.53,55,13.0347,26.6213,2886.23
3232.08,56,19.0706,27.886,1151.56
3305.92,57,15.0521,26.0063,1849.15
2498.17,58,13.4115,26.7867,1992.74
1789.06,59,15.5794,27.7636,1825.8
3176.04,60,12.4234,25.4008,2740.51
3391.2,61,11.8478,25.0402,3041.53
3339.15,62,12.1924,25.7122,3284.06
779.16,63,13.905,26.4446,847.53
3336.07,64,12.7394,25.482,3176.44
