Itration,Running Forward KL,Running Reverse KL,Real Det Return,Real Sto Return
0,38.2685,30.3212,152.32,177.94
1,35.8187,45.8927,309.02,279.52
2,37.3547,30.4881,296.08,300.61
3,37.1732,35.4911,283.62,294.21
4,37.9576,33.7484,273.37,260.77
5,37.3925,28.713,235.04,247.76
6,40.3325,55.5318,399.69,397.69
7,39.053,28.3475,322.84,319.53
8,38.2729,33.574,247.34,244.09
9,40.8266,33.6287,1057.42,1004.54
10,42.8354,33.6758,19.59,19.75
11,39.1272,47.9918,286.19,259.56
12,39.0327,25.8819,1052.01,877.63
13,37.6288,23.0722,506.32,808.3
14,45.8553,33.1042,1006.34,1007.16
15,44.2984,41.3681,989.44,988.99
16,45.7097,48.9775,992.05,992.13
17,44.9204,47.3538,390.63,352.45
18,37.863,56.9207,412.41,400.97
19,43.5137,42.3077,64.81,66.68
20,43.3155,48.4583,980.76,980.53
21,43.039,36.2593,989.01,987.62
22,38.4988,24.587,1430.04,1274.7
23,39.2086,25.1306,708.42,675.64
