Itration,Running Update Time,Real Sto Return,Running Forward KL,Running Env Steps,Reward Loss,Running Reverse KL,Real Det Return
0,0,182.55,33.716,0,263.30645751953125,18.6547,175.84
1,1,264.82,30.3205,5000,230.4084014892578,14.0753,282.44
2,2,433.76,28.4781,10000,0.4345156252384186,18.9865,456.87
3,3,305.56,28.8939,15000,222.3188018798828,16.7756,299.29
4,4,350.57,28.7365,20000,-20.68570327758789,49.658,310.85
5,5,488.12,27.5325,25000,-77.9068603515625,53.8357,522.18
6,6,360.0,28.1117,30000,-112.67436218261719,49.5103,336.92
7,7,541.47,26.3929,35000,-129.605224609375,41.924,626.36
8,8,1004.87,25.4174,40000,148.28871154785156,65.3267,958.09
9,9,1169.19,25.6934,45000,47.906612396240234,14.1873,1388.35
10,10,926.12,26.2607,50000,7.891089916229248,12.7706,1113.26
11,11,1638.98,27.734,55000,-40.03987121582031,14.3806,2060.32
12,12,701.96,26.1995,60000,-13.757888793945312,19.6874,680.45
13,13,874.81,26.6855,65000,-29.874723434448242,38.5676,873.62
14,14,2919.89,25.7106,70000,-140.3307342529297,14.8952,2746.02
15,15,1999.07,24.9047,75000,-181.74559020996094,23.3351,2593.91
16,16,1105.52,24.9166,80000,-274.0830383300781,29.6334,1123.7
17,17,2589.48,24.2315,85000,-177.77650451660156,14.2308,2799.24
18,18,933.56,25.5994,90000,-398.5417785644531,25.6019,1206.22
19,19,1994.97,25.9823,95000,-425.6637268066406,19.067,1527.68
20,20,1186.47,25.0613,100000,-414.7704162597656,22.4397,2956.51
21,21,1800.09,23.9799,105000,-375.55963134765625,16.0849,3203.23
22,22,1843.84,24.5548,110000,-337.2770080566406,14.2533,1154.27
23,23,1727.17,25.4433,115000,-268.5321044921875,14.0293,1767.93
24,24,1142.97,24.4865,120000,-506.4041442871094,18.9642,1184.98
25,25,1362.37,25.1528,125000,-475.8868103027344,16.8885,1901.61
26,26,1287.71,24.5569,130000,-286.1177978515625,12.247,2535.8
27,27,1589.72,24.7307,135000,-389.8985900878906,20.8721,967.48
28,28,1786.61,24.0892,140000,-368.86297607421875,27.2682,1262.2
29,29,1437.18,25.9751,145000,-650.833984375,18.9135,1749.62
30,30,1289.62,25.5838,150000,-404.14825439453125,22.4155,1194.06
31,31,1885.18,23.0259,155000,-357.68896484375,15.0157,3057.05
32,32,2391.41,23.5249,160000,-360.0509948730469,13.2443,3093.46
33,33,1318.59,23.4167,165000,-412.69989013671875,65.7789,3093.54
34,34,1004.28,25.0621,170000,-719.4957275390625,54.1405,902.54
35,35,1086.18,23.9024,175000,-636.6566162109375,16.776,2264.88
36,36,1439.19,24.691,180000,-486.6915588378906,15.6889,1172.72
37,37,2364.07,22.9203,185000,-405.3163146972656,11.279,3001.73
38,38,1274.07,23.0497,190000,-535.4025268554688,15.1809,3169.04
39,39,3052.88,23.6331,195000,-374.29632568359375,12.7579,3073.36
40,40,3007.24,23.1339,200000,-368.04852294921875,12.0669,2890.05
41,41,2659.09,23.0459,205000,-442.6821594238281,19.6587,3262.72
42,42,1399.31,24.731,210000,-659.0017700195312,12.1737,2254.35
