Running Update Time,Running Env Steps,Real Sto Return,Reward Loss,Real Det Return,Itration,Running Reverse KL,Running Forward KL
0,0,232.14,334.37298583984375,242.45,0,23.3021,31.5271
1,5000,249.81,322.6297302246094,272.77,1,33.8235,30.6715
2,10000,297.9,281.7325744628906,312.56,2,38.9154,32.07
3,15000,319.57,186.3311004638672,301.13,3,35.9233,31.4608
4,20000,323.81,38.669227600097656,316.83,4,38.6276,31.537
5,25000,294.66,-41.033512115478516,294.65,5,41.8991,31.8544
6,30000,607.27,-136.967529296875,501.93,6,20.7784,31.5308
7,35000,1044.91,-239.5869903564453,1043.98,7,34.5386,35.8185
8,40000,335.58,-200.66453552246094,544.6,8,26.8523,31.6469
9,45000,929.76,-415.4947509765625,998.1,9,17.9173,35.3986
10,50000,80.99,-290.0848693847656,75.53,10,28.1198,31.7087
11,55000,79.04,80.76406860351562,106.92,11,59.1007,32.0018
12,60000,95.57,-610.4024658203125,98.47,12,41.4454,37.3236
13,65000,1035.12,-499.0280456542969,1036.02,13,32.6827,37.9296
14,70000,999.15,-698.9810791015625,994.42,14,24.6837,37.956
15,75000,435.88,-440.4698181152344,437.96,15,20.0672,32.4861
16,80000,135.79,-596.840087890625,120.61,16,46.8591,30.6564
17,85000,248.89,-820.48583984375,206.99,17,55.2648,33.9264
18,90000,941.84,-830.3670043945312,980.98,18,31.1161,37.8057
19,95000,304.65,-791.1749877929688,313.16,19,89.7984,31.4211
20,100000,1053.26,-722.1409912109375,1053.21,20,34.3327,34.726
21,105000,1008.77,-940.7384033203125,1008.56,21,40.6812,39.9615
22,110000,1005.76,-1019.771728515625,991.59,22,35.5052,37.1164
23,115000,1001.26,-1096.9345703125,1001.21,23,38.8947,37.802
24,120000,1012.21,-999.4957275390625,1012.69,24,35.7587,37.7387
25,125000,150.07,-809.19970703125,100.37,25,32.9826,31.188
26,130000,898.02,-1096.3582763671875,1001.0,26,22.5901,36.7557
27,135000,28.5,-1233.6845703125,25.41,27,178.0349,36.121
28,140000,1037.47,-1099.4139404296875,1037.26,28,30.7192,37.1384
29,145000,1041.01,-1189.9136962890625,1040.54,29,33.2922,38.4724
30,150000,1012.53,-1366.8892822265625,1012.02,30,28.1199,38.7906
31,155000,1006.69,-1436.4222412109375,1005.81,31,35.5208,36.4291
32,160000,328.96,-1298.8302001953125,329.27,32,57.1686,34.6083
33,165000,321.18,-1368.6947021484375,323.81,33,42.7956,35.0283
34,170000,390.01,-1319.6754150390625,435.14,34,35.6019,34.9053
35,175000,153.53,-912.486328125,127.13,35,24.4703,33.0327
36,180000,996.75,-1633.7208251953125,993.26,36,25.8678,38.0759
37,185000,309.36,-1275.8134765625,312.31,37,37.875,33.1413
38,190000,144.99,-1451.01708984375,127.22,38,30.8249,31.438
39,195000,1055.86,-1644.603515625,1054.53,39,31.8034,38.5222
40,200000,441.42,-1468.468994140625,446.94,40,47.5682,34.6428
41,205000,661.78,-1318.1658935546875,672.19,41,19.9204,33.6141
42,210000,714.12,-1491.30908203125,730.23,42,18.4538,33.0294
