Real Det Return,Itration,Real Sto Return,Running Forward KL,Running Reverse KL
-48.41,0,-219.9,158.5899,11.873
-50.86,1,-130.9,158.7128,12.3098
7.55,2,16.53,158.3892,12.1151
568.71,3,101.42,158.0201,11.8776
889.94,4,295.86,158.1032,12.7639
958.69,5,452.88,158.1186,13.5515
1165.94,6,708.22,158.2794,14.8888
1072.49,7,753.6,158.2918,14.861
1209.84,8,830.49,157.9475,15.1898
1208.65,9,821.47,158.1645,14.8494
1388.45,10,1020.14,158.1379,15.8606
1369.81,11,956.42,158.1604,15.6259
1606.8,12,1139.26,157.9992,16.2045
1594.41,13,1178.62,157.8709,16.6015
1511.06,14,1129.82,158.2084,16.256
1686.29,15,1265.14,158.1232,16.9145
1666.1,16,1215.46,158.0393,16.0734
1690.77,17,1321.26,158.1301,16.7294
1661.31,18,1311.58,158.0026,16.1402
1623.81,19,1328.54,158.2653,16.4264
1738.17,20,1353.9,158.1087,16.5559
1719.6,21,1390.46,158.0262,16.444
1680.67,22,1392.28,158.0604,16.4641
1770.96,23,1452.5,157.9497,16.6691
1827.41,24,1465.48,157.9344,16.5556
1846.44,25,1407.75,157.8252,16.7744
1862.23,26,1515.38,157.8,16.7528
1812.92,27,1475.73,157.7485,16.3338
1850.46,28,1556.27,157.6861,16.5608
