Itration,Reward Loss,Running Forward KL,Running Update Time,Running Reverse KL,Real Det Return,Running Env Steps,Real Sto Return
0,351.8662414550781,32.2215,0,28.4762,207.58,0,201.18
1,232.92428588867188,31.3706,1,27.5761,290.29,5000,285.67
2,185.42005920410156,30.925,2,31.9204,233.41,10000,244.14
3,122.68971252441406,30.3156,3,31.2177,318.69,15000,311.26
4,63.325279235839844,30.719,4,26.9341,312.27,20000,319.87
5,-43.086666107177734,29.631,5,39.3115,338.37,25000,332.57
6,-127.10401916503906,37.5485,6,85.6475,-1.11,30000,-0.83
7,-72.00651550292969,30.411,7,32.9773,329.3,35000,364.79
8,-68.45767974853516,28.8285,8,19.6591,510.4,40000,625.15
9,-145.86924743652344,30.3138,9,20.8116,237.23,45000,270.59
10,-97.5719985961914,28.6238,10,31.8249,391.33,50000,435.32
11,-197.32809448242188,28.331,11,71.8883,14.89,55000,49.84
12,-122.5822525024414,26.7983,12,28.552,1539.77,60000,1205.94
13,118.4744873046875,27.7472,13,72.3716,741.85,65000,805.4
14,-43.28367614746094,25.833,14,13.8344,734.07,70000,891.47
15,-110.34574890136719,28.0191,15,14.7853,1964.26,75000,1659.98
16,-105.92081451416016,25.5108,16,39.4475,2032.71,80000,1834.62
17,-154.8523712158203,26.6623,17,11.7198,1926.49,85000,1726.83
18,59.04478073120117,23.0527,18,51.1537,2794.53,90000,1994.22
19,-125.06208801269531,22.8117,19,50.6823,2906.61,95000,2215.43
20,52.8563117980957,22.5855,20,59.9849,415.68,100000,430.83
21,-104.27623748779297,24.9462,21,136.2109,1435.26,105000,1044.85
22,136.79127502441406,25.1173,22,129.2173,747.85,110000,891.2
23,-334.74371337890625,23.7435,23,70.8122,1041.93,115000,697.06
24,-401.8439025878906,25.727,24,138.3546,988.18,120000,967.08
25,-253.88037109375,24.33,25,60.0199,866.51,125000,1036.48
26,-368.1190490722656,24.8275,26,107.0083,1192.01,130000,1215.54
27,-374.799072265625,23.5183,27,79.3053,1447.6,135000,1191.73
28,-118.86380004882812,23.0683,28,34.8549,1920.65,140000,1376.14
29,-205.74761962890625,22.7287,29,39.1104,1526.35,145000,1415.32
30,-150.74893188476562,21.7056,30,18.1133,1836.38,150000,1533.9
31,-244.6808624267578,22.9884,31,68.1349,2146.65,155000,1548.3
32,-192.48199462890625,23.4076,32,28.064,2756.76,160000,1840.53
33,-173.2493896484375,22.8966,33,40.3448,2007.25,165000,1979.81
34,-533.1156005859375,23.0904,34,48.7052,2283.96,170000,1540.33
35,-408.9698486328125,22.1943,35,67.8707,1710.32,175000,1250.72
36,-415.59423828125,22.2605,36,52.9839,2136.59,180000,1391.39
37,-500.2226867675781,21.3514,37,49.2181,2198.98,185000,1846.31
38,-753.7017211914062,24.6079,38,88.7743,1092.41,190000,1048.47
39,-798.8809814453125,23.3383,39,103.3124,1293.9,195000,1267.85
40,-752.2896728515625,22.3174,40,61.4093,1070.71,200000,866.64
41,-723.3201293945312,21.5855,41,71.9847,1665.96,205000,1583.94
42,-686.1696166992188,22.6828,42,72.1061,1262.62,210000,1345.62
43,-773.209228515625,23.2726,43,45.5345,1217.11,215000,1569.88
44,-681.4105224609375,21.8709,44,61.1524,1481.01,220000,1532.43
45,-900.3063354492188,21.9093,45,72.5274,105.31,225000,1354.6
46,-216.03187561035156,20.4564,46,14.9716,3246.7,230000,2467.23
47,-765.7072143554688,21.3619,47,66.955,1498.16,235000,2145.26
48,-182.98715209960938,19.8096,48,19.6425,3278.87,240000,2822.03
49,-294.5848083496094,20.4546,49,22.175,3354.93,245000,2706.32
50,-166.46522521972656,19.5144,50,12.8365,3315.15,250000,3231.98
51,-180.29737854003906,19.8865,51,13.4856,3334.02,255000,3337.96
52,-394.17987060546875,19.9849,52,23.6371,3427.92,260000,2872.73
53,-290.4172668457031,19.0809,53,22.9386,3380.86,265000,3270.51
54,-130.5482940673828,20.2013,54,12.7796,3343.96,270000,2947.97
55,-189.7605438232422,18.9954,55,19.4912,3366.71,275000,2956.49
56,-208.4322967529297,19.6177,56,12.6255,3360.74,280000,3348.58
57,-263.8515625,20.191,57,20.4798,3437.9,285000,2848.42
58,-374.46832275390625,19.3717,58,19.3215,3427.12,290000,2441.81
59,-655.8760375976562,20.0002,59,24.0265,3462.74,295000,2894.9
60,-627.1493530273438,20.6832,60,38.2775,3432.96,300000,1951.22
61,-244.06271362304688,18.7296,61,12.0081,3408.16,305000,3379.68
62,-771.7779541015625,21.0458,62,42.3056,19.09,310000,2542.12
63,-758.7681274414062,21.8166,63,20.4594,1339.73,315000,1717.96
64,-1333.653564453125,24.6287,64,86.1323,2533.34,320000,1295.76
65,-1438.097900390625,22.6459,65,96.7438,3068.1,325000,1281.62
66,-921.6840209960938,20.8565,66,23.3178,3448.25,330000,2446.04
67,-550.1878051757812,20.0193,67,26.6202,3446.55,335000,3015.9
68,-644.7665405273438,19.7643,68,27.2329,3426.64,340000,2413.76
69,-666.9862060546875,19.9465,69,17.1343,3448.67,345000,2561.44
70,-619.2713623046875,19.8568,70,34.8568,3445.96,350000,2287.84
71,-1308.970703125,21.5606,71,59.9176,3210.52,355000,2297.32
72,-624.7069702148438,19.6341,72,25.1849,3422.53,360000,2912.18
73,-1006.4483032226562,20.7177,73,48.0857,3252.22,365000,2129.42
74,-392.6335144042969,18.9532,74,13.6029,1530.93,370000,869.09
75,-600.0736694335938,19.8661,75,14.2023,3419.71,375000,2448.82
76,-917.6778564453125,20.9069,76,48.8103,3437.77,380000,2195.05
77,-1615.239501953125,22.4595,77,56.8663,3436.54,385000,1949.6
78,-1846.48388671875,23.6365,78,94.4722,2893.24,390000,1815.17
79,-818.322998046875,20.7136,79,27.8435,3438.4,395000,1944.75
80,-925.0621337890625,21.0118,80,37.1437,3476.68,400000,2630.53
81,-2137.42822265625,24.6263,81,95.7117,1440.65,405000,1219.91
82,-1649.7064208984375,22.2236,82,57.3964,3515.03,410000,2023.45
83,-1156.0172119140625,21.5039,83,32.2929,2621.73,415000,1687.61
84,-2358.9365234375,23.5641,84,100.1471,2685.26,420000,766.15
85,-1239.7940673828125,20.6568,85,37.8521,3360.54,425000,796.89
86,-2154.613525390625,23.8816,86,70.4289,51.84,430000,1031.86
87,-1495.3634033203125,21.5008,87,27.7884,3386.62,435000,1621.83
88,-2377.888427734375,24.0992,88,75.7656,1202.01,440000,1313.7
89,-1959.91162109375,23.1535,89,69.4962,2889.6,445000,1468.47
90,-2600.266357421875,24.518,90,114.1284,1999.57,450000,1071.53
