Real Det Return,Running Forward KL,Itration,Reward Loss,Real Sto Return,Running Reverse KL,Running Update Time,Running Env Steps
213.49,38.7176,0,-87.15877532958984,207.54,19.2251,0,0
252.56,36.2601,1,-75.11698913574219,264.08,18.4648,1,5000
315.19,34.9858,2,12.420058250427246,292.52,15.8199,2,10000
481.39,32.8862,3,30.47195053100586,408.89,14.5508,3,15000
567.14,32.393,4,63.48298645019531,530.26,15.3902,4,20000
615.46,30.7225,5,8.721693992614746,718.76,16.4677,5,25000
658.98,32.677,6,-7.531613349914551,676.86,14.7101,6,30000
319.62,33.4642,7,-73.48409271240234,520.73,16.9434,7,35000
809.23,32.4807,8,-77.51640319824219,768.94,25.6831,8,40000
1100.92,32.2129,9,-97.15335083007812,900.59,18.7529,9,45000
843.67,32.5473,10,-90.75920104980469,788.02,26.9635,10,50000
820.36,32.42,11,-110.22612762451172,730.54,19.0043,11,55000
1949.67,31.0309,12,-69.61527252197266,835.57,14.3039,12,60000
840.05,32.7545,13,-151.7452850341797,866.8,47.7938,13,65000
1220.89,31.5899,14,-107.78255462646484,1094.4,15.7632,14,70000
1186.26,31.6215,15,-78.37581634521484,1281.31,18.0727,15,75000
1437.98,30.8357,16,-91.65249633789062,1149.32,19.022,16,80000
1787.95,30.9527,17,-75.04649353027344,1778.34,14.3207,17,85000
1310.8,30.8336,18,-113.55718994140625,1761.25,22.563,18,90000
1842.97,30.4365,19,-106.18054962158203,1545.56,25.4772,19,95000
3293.16,30.5043,20,-91.74004364013672,2281.08,46.425,20,100000
3115.33,29.1798,21,-116.99873352050781,1926.83,24.9877,21,105000
3006.56,30.0597,22,-15.862464904785156,2748.36,15.8041,22,110000
2004.1,31.1674,23,-141.5938720703125,1479.96,27.4699,23,115000
2757.14,29.4351,24,-21.467388153076172,2905.13,13.6497,24,120000
2991.47,28.7177,25,-51.74020004272461,2889.06,13.2872,25,125000
429.87,30.9972,26,-111.27446746826172,545.66,13.7809,26,130000
3269.11,29.694,27,-62.81745529174805,2096.83,14.4856,27,135000
3147.56,27.6002,28,-12.65987777709961,3041.09,13.9574,28,140000
2621.82,29.4043,29,-55.887550354003906,2869.74,14.5844,29,145000
3092.17,29.9736,30,-2.620220184326172,2893.18,15.3681,30,150000
2742.7,29.2914,31,-19.89075469970703,2529.19,13.5413,31,155000
3281.32,29.0264,32,-37.73927688598633,2583.78,13.5986,32,160000
2444.67,30.0344,33,-104.54621887207031,1903.11,13.5529,33,165000
3328.97,29.3625,34,-75.42070770263672,2438.04,12.4932,34,170000
3350.54,28.8622,35,-85.34950256347656,2157.46,12.5628,35,175000
3112.29,29.301,36,-21.33730125427246,3206.79,15.6531,36,180000
3201.34,27.5753,37,-4.50211763381958,3290.68,14.5659,37,185000
