Running Forward KL,Running Reverse KL,Itration,Running Update Time,Real Det Return,Real Sto Return,Running Env Steps,Reward Loss
17.3085,10.6542,77,77,3414.06,3388.14,385000,-264.5452575683594
17.1878,10.5222,78,78,3444.21,3385.61,390000,-247.3126983642578
17.0938,10.0409,79,79,3398.14,3364.57,395000,-275.90264892578125
16.0466,9.4917,80,80,3426.64,3396.25,400000,-255.03231811523438
16.7426,10.4709,81,81,3430.46,3399.68,405000,-277.4764099121094
16.7452,10.4105,82,82,3446.81,3353.26,410000,-249.9717559814453
17.1694,10.4061,83,83,3406.73,3369.99,415000,-294.690673828125
17.7249,10.544,84,84,3437.23,3363.6,420000,-274.837646484375
17.2581,10.3749,85,85,3441.3,3302.03,425000,-279.11248779296875
17.0043,10.2361,86,86,3418.53,3383.55,430000,-296.77294921875
17.3449,10.6159,87,87,3442.38,3410.51,435000,-278.0487060546875
17.2277,10.6977,88,88,3450.83,3424.43,440000,-261.0702209472656
17.0624,10.9521,89,89,3425.11,3391.04,445000,-268.5301818847656
17.0199,10.2167,90,90,3435.29,3389.33,450000,-289.77862548828125
17.7028,12.8588,91,91,3464.18,3369.42,455000,-350.79620361328125
16.9763,10.5882,92,92,3452.86,3424.39,460000,-277.0594787597656
16.8616,12.9371,93,93,3462.31,3399.76,465000,-264.3034362792969
17.5213,10.9909,94,94,3417.3,3386.86,470000,-303.87506103515625
17.2362,10.7825,95,95,3445.58,3420.06,475000,-328.2604675292969
16.7439,10.394,96,96,3414.83,3387.35,480000,-308.3470458984375
17.5517,10.7466,97,97,3437.86,3377.14,485000,-330.2965087890625
16.8464,9.9724,98,98,3436.45,3403.27,490000,-322.21990966796875
16.6436,10.4369,99,99,3404.44,3380.24,495000,-325.5493469238281
17.1897,10.2602,100,100,3437.73,3395.4,500000,-358.7469177246094
17.3324,10.6078,101,101,3420.61,3392.62,505000,-356.3366394042969
16.8645,10.6746,102,102,3444.49,3411.38,510000,-341.9018249511719
17.1442,11.5152,103,103,3468.39,3325.91,515000,-337.7689208984375
16.9945,10.7867,104,104,3472.78,3429.5,520000,-328.90478515625
16.5346,10.1127,105,105,3409.39,3379.13,525000,-364.7138366699219
17.5979,10.2036,106,106,3422.98,3407.59,530000,-373.08740234375
16.522,10.1901,107,107,3432.79,3398.34,535000,-337.16943359375
17.4076,11.0107,108,108,3419.9,3265.1,540000,-415.1062316894531
17.3474,10.7648,109,109,3419.49,3386.75,545000,-394.381103515625
17.3187,10.2521,110,110,3450.48,3396.55,550000,-388.3362731933594
17.4898,10.649,111,111,3458.61,3426.39,555000,-380.9371032714844
17.4891,11.1263,112,112,3406.8,3388.75,560000,-430.1927490234375
17.3769,11.4687,113,113,3421.01,3353.68,565000,-449.04486083984375
17.0531,10.8076,114,114,3434.42,3320.59,570000,-413.2483825683594
17.5182,10.5159,115,115,3443.93,3409.33,575000,-401.6868896484375
16.8156,10.8421,116,116,3464.4,3443.5,580000,-370.567626953125
17.7574,10.2175,117,117,3442.6,3239.72,585000,-425.4560546875
16.8649,10.3099,118,118,3428.91,3400.39,590000,-401.5059814453125
16.9312,10.1057,119,119,3415.65,3362.71,595000,-411.7768249511719
17.4813,10.721,120,120,3415.99,3381.41,600000,-467.84991455078125
17.0186,9.9937,121,121,3444.3,3404.84,605000,-429.40740966796875
17.0498,10.2919,122,122,3448.26,3298.31,610000,-437.5979309082031
17.0378,10.1826,123,123,3427.19,3404.36,615000,-429.1504211425781
17.4151,11.0149,124,124,3445.68,3318.43,620000,-412.96490478515625
17.1201,9.9486,125,125,3462.82,3161.07,625000,-505.07861328125
17.4497,10.3884,126,126,3437.0,2795.9,630000,-458.08367919921875
17.7377,11.1049,127,127,3443.9,3413.49,635000,-477.0677490234375
16.9271,10.2696,128,128,3422.16,3345.19,640000,-469.2486877441406
17.0224,10.3128,129,129,3426.69,3400.38,645000,-463.6220703125
17.2174,10.3282,130,130,3447.05,3336.51,650000,-457.2466735839844
16.43,10.1687,131,131,3445.17,3416.07,655000,-466.8797607421875
16.989,10.2895,132,132,3441.7,3423.03,660000,-491.2511901855469
17.2369,10.3513,133,133,3433.25,3364.7,665000,-521.128173828125
17.0111,10.5977,134,134,3453.36,3119.59,670000,-507.11773681640625
16.9699,10.4484,135,135,3452.24,3415.15,675000,-512.887939453125
17.3392,11.0594,136,136,3430.55,3069.7,680000,-575.240966796875
16.9045,10.375,137,137,3442.96,3395.78,685000,-493.3504638671875
17.4429,10.6439,138,138,3429.04,3332.41,690000,-513.4692993164062
