Real Det Return,Running Forward KL,Itration,Real Sto Return,Running Reverse KL
333.04,460.175,0,372.57,262.382
308.08,417.5443,1,329.91,287.7223
328.69,421.0399,2,368.96,257.4759
409.1,407.0674,3,396.3,253.8426
344.73,419.7348,4,372.98,246.4982
368.28,418.4927,5,374.75,250.3526
455.46,395.3963,6,390.02,258.7031
426.02,410.1084,7,461.05,234.1133
513.45,401.3769,8,393.13,248.4998
476.66,400.4911,9,464.51,226.8317
419.02,406.4272,10,428.84,239.2859
390.12,407.9737,11,494.68,246.1219
453.56,392.8657,12,486.96,260.0919
438.36,401.1563,13,511.82,262.2714
477.54,404.6888,14,526.65,270.1432
496.65,404.2715,15,488.56,267.3145
599.2,419.2987,16,558.68,258.18
485.12,395.1171,17,611.4,262.1879
621.21,371.8866,18,587.72,268.1203
673.67,381.3391,19,659.61,260.7343
619.94,390.3371,20,661.0,246.2919
505.49,385.4487,21,751.8,248.5524
684.39,372.6132,22,770.95,237.1693
466.79,385.5308,23,602.86,249.4081
628.36,379.6416,24,792.11,237.246
481.81,359.1146,25,858.94,218.5902
769.28,349.8842,26,808.84,233.3701
767.94,358.2621,27,672.79,259.6005
562.9,383.4556,28,786.3,225.0964
594.8,351.165,29,861.4,224.6056
731.02,357.2923,30,618.24,226.2917
612.84,377.4376,31,924.25,236.9666
737.5,362.0577,32,906.65,229.6547
511.29,353.1155,33,1096.31,217.7253
585.12,378.7046,34,701.16,241.0951
835.93,384.0122,35,963.18,223.0242
521.72,336.8779,36,982.62,205.2911
507.03,338.838,37,1092.6,203.3193
581.22,350.8038,38,1003.06,204.6435
964.91,358.1398,39,1223.5,202.2028
1252.43,339.0147,40,1264.08,202.5306
680.27,371.8831,41,942.68,217.975
748.99,326.5293,42,1308.54,189.0431
878.77,346.9442,43,1701.72,202.2663
483.05,369.3919,44,917.46,224.2227
776.47,348.4035,45,1094.31,206.411
989.43,369.3665,46,1140.77,225.2312
949.61,365.2472,47,1166.7,201.0729
659.87,344.8306,48,1215.34,208.196
699.47,364.9522,49,1163.97,211.108
1020.32,377.3076,50,1056.79,238.1588
768.21,340.1978,51,1556.44,207.8777
961.03,344.9553,52,1276.76,192.63
1136.84,340.4299,53,1258.95,208.065
1218.5,348.6273,54,1004.37,203.2954
692.01,329.6849,55,1521.83,174.9618
1122.99,319.8,56,1706.18,163.0545
811.9,353.0484,57,1256.23,234.2983
1066.18,322.9205,58,1512.86,185.6389
1062.75,315.1435,59,2149.9,165.9314
2438.19,333.2702,60,1594.35,172.3499
950.45,330.646,61,1884.58,191.1913
1457.57,314.1693,62,1456.35,157.1811
850.16,306.2978,63,1581.16,157.8984
2225.97,316.1593,64,2384.86,153.5589
2205.48,315.4624,65,2569.68,166.5074
2480.19,309.5373,66,2677.19,140.5905
3948.05,311.8353,67,3520.56,161.5224
3095.97,302.9425,68,2383.34,131.2235
3139.16,335.7903,69,1724.03,173.608
3860.46,301.3358,70,3086.46,136.6664
2221.9,311.3681,71,1854.14,181.379
4279.06,293.398,72,3238.14,116.0974
2824.14,338.1674,73,2533.64,194.4003
1798.51,333.6475,74,2023.22,183.0171
4429.41,333.6549,75,1803.06,190.0707
3604.43,303.795,76,3352.99,126.93
1330.94,326.7229,77,1765.57,222.1928
3516.5,329.6124,78,1982.09,216.2375
5010.68,295.149,79,3612.02,132.123
3006.33,306.0251,80,3311.57,148.538
4757.04,299.6707,81,2935.68,130.0936
4213.99,294.8028,82,4066.73,124.652
4967.38,313.0562,83,3161.45,146.6535
4893.07,295.5816,84,3747.3,159.4146
4440.82,311.5628,85,3367.86,139.9907
4384.68,295.0374,86,3831.2,124.2892
2814.26,301.6728,87,3353.85,129.2153
3787.08,312.0028,88,2753.38,150.5357
2603.76,314.9235,89,2500.13,143.7466
5069.2,298.4811,90,4439.05,109.0396
3259.91,300.2397,91,3349.78,123.5254
3616.3,306.8941,92,3045.32,136.703
4441.79,304.0934,93,4182.31,132.0469
5059.23,299.2014,94,3954.62,111.2268
4576.93,296.4591,95,4301.68,116.9254
3664.32,326.9748,96,3686.13,164.7441
4301.37,303.4681,97,3573.53,146.9683
3699.53,304.5279,98,4070.3,136.0107
3883.03,307.8629,99,3885.44,121.9326
4590.8,294.9425,100,4522.07,112.7726
4774.22,287.4979,101,4100.18,111.8179
4489.71,307.5335,102,4406.47,143.4287
4237.3,295.9418,103,4370.4,103.0904
4632.06,302.9846,104,4502.76,128.62
5200.82,282.335,105,4895.96,98.1162
5136.77,290.3335,106,4409.31,113.2644
4797.81,289.9598,107,3560.01,105.9204
4854.39,284.0381,108,4788.21,104.8234
4663.81,295.8775,109,4196.88,108.6321
4694.37,294.2252,110,4077.45,111.9878
4615.12,288.1308,111,4479.13,95.9192
4329.04,300.8681,112,4443.92,116.5393
4744.95,284.5529,113,4897.51,96.5901
3746.15,296.2269,114,4311.57,109.8845
4811.65,308.1746,115,3170.98,138.1173
4490.51,320.8133,116,2953.7,160.1509
3754.92,312.5369,117,3709.69,170.3601
4857.8,297.5864,118,3689.2,127.9274
4983.28,309.1795,119,3674.78,157.6323
4760.67,307.6684,120,3652.83,117.6825
4785.95,298.4004,121,2789.86,147.761
5134.13,299.249,122,4444.98,108.5848
3906.49,298.1583,123,4451.33,118.6334
3979.37,315.4092,124,3777.6,151.7164
5208.57,286.412,125,3761.27,107.3174
5212.15,298.3368,126,3734.81,120.682
3693.71,302.6492,127,4059.97,141.9987
3946.94,296.3607,128,4214.26,107.5814
4596.9,293.0382,129,4711.88,108.5612
5141.8,293.1796,130,3628.86,122.2999
4736.57,293.8596,131,4285.84,106.5721
5181.29,289.7876,132,4917.23,91.1896
