Running Reverse KL,Real Det Return,Real Sto Return,Itration,Running Forward KL
13.3379,314.57,304.6,0,50.0077
17.4072,257.17,293.51,1,49.4742
24.0838,376.29,387.25,2,50.2787
15.7173,428.62,379.59,3,49.4393
17.9358,420.17,374.28,4,49.4555
34.8467,372.79,441.83,5,49.4754
19.9097,442.05,460.66,6,49.1144
21.5339,391.18,384.35,7,49.811
18.9042,609.19,540.73,8,49.0769
30.6196,500.71,494.93,9,48.9897
19.3268,1825.5,639.22,10,48.7178
14.5445,671.32,583.06,11,48.6056
14.6698,1642.01,1153.81,12,48.1907
19.6189,1331.49,1096.77,13,47.4436
18.3611,2502.67,1530.97,14,47.5906
15.194,2266.56,1692.58,15,47.4702
19.4089,2038.53,1141.4,16,47.9028
21.0396,2705.83,1499.84,17,47.0612
23.1242,1845.17,1305.74,18,47.6724
27.1591,1089.79,1387.52,19,47.6801
16.0019,2442.92,1872.03,20,46.3374
15.3571,2684.82,2278.39,21,46.4753
16.5779,1860.67,2102.29,22,46.7188
16.3653,2716.62,2727.01,23,46.283
16.7171,2956.55,3031.0,24,46.2992
20.3824,3114.44,3113.51,25,46.9044
16.9457,3122.14,3123.14,26,45.9454
19.058,3397.99,2869.47,27,45.6119
19.4689,3227.34,3302.59,28,46.5498
18.7605,3352.75,3150.76,29,45.6691
19.8843,3263.09,3275.72,30,46.1613
19.6016,3378.01,3416.51,31,45.8639
16.466,3339.17,3291.26,32,44.8292
19.1214,3589.57,3438.55,33,45.6477
17.7991,3502.82,3447.07,34,45.1148
19.5331,3479.77,3427.23,35,45.5377
18.7687,3305.71,2750.34,36,44.9733
20.335,3461.02,3496.39,37,45.6779
19.4688,3487.82,3360.88,38,45.6102
22.3967,3687.08,3707.14,39,46.0843
19.0696,3589.55,3560.25,40,44.463
19.5152,3621.14,3599.35,41,44.6343
20.8788,3585.7,3629.04,42,45.5161
16.2137,3548.13,3552.22,43,43.2688
16.6954,3495.2,3481.09,44,44.196
18.5931,3789.68,3736.33,45,44.2941
17.3175,3787.2,3736.85,46,44.0874
20.0496,3791.06,3765.51,47,44.5772
16.7389,3787.69,3749.1,48,43.0645
19.396,3749.73,3741.88,49,44.9283
18.6896,3698.16,3702.89,50,44.1008
19.3793,3834.92,3834.47,51,44.2315
19.5806,3750.13,3749.63,52,44.5335
16.1474,3761.86,3750.67,53,42.7416
17.0469,3870.03,3820.5,54,42.4065
16.9402,3962.8,3910.72,55,41.391
36.068,4028.94,2255.5,56,44.4639
29.1056,720.17,666.5,57,47.7096
20.4777,3116.78,2664.39,58,44.2519
20.6511,3639.47,3648.34,59,44.9706
20.1775,3722.34,3703.33,60,44.9704
20.0822,3851.58,3846.82,61,45.0347
18.801,3918.0,3883.18,62,43.3724
17.5351,3853.24,3785.83,63,43.0545
16.9631,3944.7,3854.57,64,43.0206
16.5913,3981.36,3777.54,65,42.6627
15.6412,3969.03,3907.81,66,42.1756
16.0175,4069.43,3977.26,67,42.4098
17.5931,4041.71,3999.96,68,43.0351
16.3047,4107.57,4044.31,69,41.9433
16.1478,4059.94,3867.8,70,43.0934
17.32,4104.8,4036.88,71,43.5274
16.6402,3734.7,3740.89,72,43.6606
16.8561,4032.56,4020.11,73,42.2343
17.6734,4170.19,4113.4,74,42.0732
17.083,4180.74,4130.81,75,41.3923
18.461,4010.81,4007.03,76,43.5048
17.3444,4140.13,4129.29,77,42.322
16.0837,4138.4,4050.86,78,42.5037
15.8033,4092.97,4046.5,79,41.9254
17.732,4166.94,4142.01,80,42.4354
16.7512,4248.33,4166.98,81,42.4739
15.01,4183.29,4101.69,82,41.8044
16.5528,4280.02,4238.53,83,41.7762
16.7999,4335.11,4055.26,84,42.7136
15.4928,4263.68,4205.99,85,41.9252
16.56,4332.13,4281.62,86,40.9513
16.3712,4234.83,4214.91,87,41.5616
14.6116,4149.96,4135.62,88,41.024
16.1994,4441.27,3770.52,89,41.0424
15.8403,4093.67,4069.63,90,40.9144
14.989,3924.92,3917.46,91,41.0114
16.1087,3975.96,4016.15,92,42.5185
16.5463,4237.88,4169.92,93,41.8198
14.7649,4417.15,4088.3,94,41.5686
16.6924,4407.33,4297.52,95,40.7739
15.6803,4368.27,4307.05,96,41.4046
17.1309,4425.45,4388.85,97,41.6033
18.1685,4410.84,4405.49,98,42.1804
16.3625,4323.28,4242.65,99,42.2949
14.7456,4220.48,4196.89,100,40.0973
15.3755,4394.12,4099.64,101,41.1317
17.6038,4333.74,4325.3,102,41.9712
14.3027,4425.41,4372.58,103,40.0482
15.9614,4369.19,4319.57,104,41.1649
15.1856,4319.28,4255.17,105,40.6265
15.0074,4352.0,4306.94,106,40.5382
16.8741,4382.73,4293.7,107,41.9964
14.4856,4275.79,4247.82,108,40.9464
14.2383,4315.26,4261.75,109,40.771
13.9362,4248.64,4190.43,110,40.7601
