Real Det Return,Running Update Time,Real Sto Return,Running Forward KL,Running Env Steps,Running Reverse KL,Itration,Reward Loss
-14.65,0,-184.29,158.5703,0,11.5152,0,-297.045166015625
-117.26,1,-125.63,158.6964,5000,13.4531,1,-361.2914733886719
205.24,2,101.48,158.3379,10000,12.2464,2,-421.78570556640625
471.65,3,264.37,158.3475,15000,13.4239,3,-578.2447509765625
519.75,4,452.02,158.1435,20000,13.6517,4,-658.1559448242188
853.42,5,528.19,158.1092,25000,14.0924,5,-710.2484741210938
370.87,6,622.42,157.9657,30000,13.4087,6,-704.2705078125
-300.7,7,450.4,157.9565,35000,13.8999,7,-734.8762817382812
-40.13,8,208.78,158.1001,40000,13.9976,8,-688.1915893554688
1121.32,9,863.48,157.7378,45000,15.0426,9,-824.7005004882812
1322.55,10,909.11,158.0973,50000,15.8593,10,-886.3304443359375
1374.31,11,940.61,157.7253,55000,15.8423,11,-899.89208984375
1221.59,12,1051.73,157.9278,60000,15.1132,12,-982.241943359375
1233.75,13,1058.89,157.8676,65000,15.6852,13,-997.2867431640625
1275.5,14,1150.62,157.9152,70000,15.6943,14,-1025.6737060546875
1171.81,15,1179.82,157.8699,75000,16.0853,15,-1073.464599609375
1494.47,16,1219.12,157.7333,80000,16.2908,16,-1112.08349609375
1600.61,17,1251.12,157.7908,85000,16.4406,17,-1149.7772216796875
1636.04,18,1152.16,157.9179,90000,16.554,18,-1187.0277099609375
1645.05,19,1270.98,157.7084,95000,16.0367,19,-1198.909912109375
1774.33,20,1371.65,157.7251,100000,16.2207,20,-1243.818115234375
1816.44,21,1408.87,157.854,105000,16.6244,21,-1307.5843505859375
1808.74,22,1415.95,157.542,110000,16.1756,22,-1335.8692626953125
1697.56,23,1414.34,157.7593,115000,16.3439,23,-1383.828125
1813.65,24,1432.33,157.6994,120000,16.2527,24,-1399.4862060546875
1890.78,25,1511.97,157.6865,125000,16.661,25,-1474.4471435546875
1838.19,26,1503.98,157.4949,130000,15.7351,26,-1493.037109375
1898.54,27,1533.14,157.5453,135000,16.2609,27,-1508.7000732421875
1861.23,28,1537.99,157.3344,140000,16.0665,28,-1558.6182861328125
1940.61,29,1563.85,157.4707,145000,16.3721,29,-1603.26318359375
1913.13,30,1570.45,157.3617,150000,16.0376,30,-1650.4757080078125
2008.62,31,1599.29,157.6458,155000,16.4699,31,-1680.7598876953125
1919.67,32,1583.98,157.695,160000,16.7931,32,-1736.9195556640625
2012.03,33,1602.26,157.28,165000,16.1829,33,-1737.8546142578125
1931.61,34,1584.51,157.6678,170000,16.3742,34,-1782.856689453125
2034.37,35,1638.59,157.1725,175000,16.2941,35,-1836.856689453125
2037.48,36,1660.58,157.3072,180000,16.6473,36,-1858.6317138671875
2015.31,37,1658.98,157.4122,185000,16.8258,37,-1906.1683349609375
1995.65,38,1649.5,157.2467,190000,15.9817,38,-1938.264892578125
2055.73,39,1659.84,157.4541,195000,16.4384,39,-2001.8477783203125
1937.69,40,1633.56,157.3011,200000,16.0488,40,-2023.1671142578125
2001.67,41,1664.47,157.1736,205000,16.198,41,-2042.5281982421875
2053.14,42,1700.92,157.2409,210000,16.5717,42,-2117.842041015625
2030.21,43,1663.64,157.3896,215000,16.2361,43,-2154.657958984375
2008.31,44,1631.17,157.3116,220000,16.1709,44,-2200.64453125
