Running Reverse KL,Running Env Steps,Itration,Real Sto Return,Running Update Time,Reward Loss,Real Det Return,Running Forward KL
38.6286,400000,80,1029.01,80,-3927.343994140625,1030.0,38.8657
55.4558,405000,81,1006.72,81,-3996.62939453125,1006.69,39.6291
60.5864,410000,82,1000.13,82,-4107.7470703125,1000.22,40.2592
48.8295,415000,83,1002.61,83,-4152.64990234375,1002.49,39.2434
53.9646,420000,84,329.68,84,-4160.30126953125,329.99,37.8665
55.4814,425000,85,32.83,85,-4332.197265625,32.83,36.4555
56.2864,430000,86,991.78,86,-4287.4453125,991.8,41.2342
58.6536,435000,87,1006.12,87,-4403.12451171875,1006.0,40.9297
56.3862,440000,88,937.33,88,-4163.59716796875,766.84,36.6782
49.1421,445000,89,1009.16,89,-4547.314453125,1009.07,37.2364
50.5654,450000,90,359.3,90,-4554.8056640625,462.6,37.5
54.7187,455000,91,1022.5,91,-4690.0341796875,1022.46,35.8463
62.6776,460000,92,724.0,92,-4563.580078125,1023.19,34.9645
42.418,465000,93,1015.7,93,-4746.0126953125,1015.19,36.9924
57.1371,470000,94,1000.86,94,-4864.12939453125,1000.69,38.7245
58.85,475000,95,998.85,95,-4886.95654296875,999.01,40.4551
60.1354,480000,96,1005.15,96,-4954.11865234375,1004.91,40.7196
60.1395,485000,97,1007.55,97,-5049.3623046875,1007.57,39.7372
49.6908,490000,98,187.41,98,-5125.22412109375,192.24,38.4414
40.1943,495000,99,390.34,99,-4017.401611328125,422.89,34.6446
48.693,500000,100,1016.07,100,-5232.3603515625,1016.27,37.7818
55.3309,505000,101,1009.6,101,-5184.10888671875,1008.87,37.9645
56.2228,510000,102,997.28,102,-5322.3642578125,997.53,40.6523
58.5676,515000,103,995.18,103,-5376.5390625,995.12,38.8516
57.4827,520000,104,997.44,104,-5453.48291015625,997.38,39.3813
46.8243,525000,105,1009.44,105,-5550.6767578125,1009.29,37.5612
53.8713,530000,106,1019.62,106,-5634.04150390625,1019.98,36.2556
48.1165,535000,107,68.67,107,-3728.22265625,70.13,33.0417
56.334,540000,108,879.05,108,-5696.6259765625,986.39,39.7724
56.1667,545000,109,1019.29,109,-5715.33642578125,1019.2,36.6867
42.8532,550000,110,1021.24,110,-5718.96923828125,1020.77,39.0893
51.7757,555000,111,1016.17,111,-5943.53271484375,1016.28,37.8998
55.0783,560000,112,972.91,112,-5929.60546875,988.48,38.5772
37.2618,565000,113,110.87,113,-4275.03759765625,111.51,31.8323
77.4247,570000,114,82.12,114,-5372.9462890625,82.1,33.1878
68.6729,575000,115,76.21,115,-5036.384765625,76.15,32.7804
52.6904,580000,116,1006.63,116,-6204.64892578125,1006.72,37.3853
54.7221,585000,117,1023.36,117,-6364.33837890625,1023.69,37.4299
41.7173,590000,118,148.23,118,-6003.01318359375,50.86,35.2943
45.9019,595000,119,1011.87,119,-6228.369140625,1011.58,37.1633
46.1256,600000,120,1003.28,120,-6399.958984375,1003.12,38.911
113.1966,605000,121,405.46,121,-6567.220703125,477.47,36.915
61.5164,610000,122,1002.69,122,-6588.81689453125,1002.95,39.4698
178.7658,615000,123,29.12,123,-6488.1650390625,28.68,37.7453
58.5995,620000,124,996.59,124,-6703.10791015625,996.95,40.1667
56.4238,625000,125,984.81,125,-6759.70556640625,985.19,40.8781
57.9847,630000,126,983.21,126,-6854.88623046875,983.52,39.7091
63.5922,635000,127,974.32,127,-6985.2548828125,974.61,40.332
60.8383,640000,128,1001.07,128,-7029.31591796875,998.46,40.4917
