Reward Loss,Real Det Return,Real Sto Return,Running Reverse KL,Running Forward KL,Running Env Steps,Running Update Time,Itration
15.67391300201416,226.91,-98.83,25.6594,75.2417,0,0,0
3.2451748847961426,254.01,-91.13,25.3518,74.3959,5000,1,1
-22.551223754882812,289.09,-94.2,27.1211,74.7714,10000,2,2
-35.93301010131836,534.68,-31.97,27.2114,73.5547,15000,3,3
-56.01523208618164,451.99,-6.3,27.3843,72.7201,20000,4,4
-80.74063110351562,411.11,22.4,28.5578,74.4621,25000,5,5
-95.40380859375,518.96,67.33,30.2708,72.7081,30000,6,6
-108.73135375976562,597.88,57.1,31.4326,73.6906,35000,7,7
-120.29566192626953,524.27,89.88,30.6521,72.3363,40000,8,8
-140.7281036376953,660.54,89.79,31.275,73.0087,45000,9,9
-151.81822204589844,723.25,104.02,31.6098,71.7069,50000,10,10
-161.62515258789062,668.78,92.11,30.9149,71.9903,55000,11,11
-181.8178253173828,546.16,147.37,30.805,71.4469,60000,12,12
-196.88433837890625,694.01,96.2,31.8082,71.8137,65000,13,13
-203.96987915039062,810.18,151.62,31.2386,72.5721,70000,14,14
-227.68873596191406,473.92,128.6,31.5207,73.9584,75000,15,15
-235.4704132080078,752.53,154.55,31.3347,72.2548,80000,16,16
-252.82192993164062,877.86,162.66,31.7549,72.878,85000,17,17
-264.96612548828125,796.85,183.56,31.8161,73.1781,90000,18,18
-270.692138671875,664.71,156.97,29.8047,70.2952,95000,19,19
-298.0027770996094,779.01,164.84,32.3144,71.9374,100000,20,20
-312.5333251953125,717.9,197.83,31.6306,72.2727,105000,21,21
-326.4345703125,501.12,119.18,31.1328,73.9631,110000,22,22
-333.23138427734375,672.56,153.83,31.1238,73.3205,115000,23,23
-354.858154296875,798.75,167.9,31.397,71.8689,120000,24,24
-376.2364196777344,702.31,175.05,31.7141,74.1199,125000,25,25
-384.78558349609375,795.93,198.61,30.7115,73.2805,130000,26,26
-402.4256896972656,689.7,150.28,31.7932,73.2006,135000,27,27
-417.5320129394531,807.12,170.78,32.0008,74.4307,140000,28,28
-423.6379089355469,575.73,230.38,31.1672,71.0602,145000,29,29
-447.9995422363281,581.71,138.47,31.378,73.3153,150000,30,30
-460.42816162109375,713.54,171.36,31.8155,74.6966,155000,31,31
-473.9725646972656,779.93,175.19,31.2057,73.1043,160000,32,32
-491.2484436035156,724.1,157.21,31.2085,72.2787,165000,33,33
-515.0438842773438,724.45,161.43,32.0801,73.896,170000,34,34
-523.5596923828125,722.29,181.94,32.2012,74.5209,175000,35,35
-538.77783203125,769.58,219.21,32.067,74.5575,180000,36,36
-558.0868530273438,585.68,225.16,31.4615,74.7615,185000,37,37
-571.2716064453125,938.96,207.57,31.2735,70.7146,190000,38,38
-588.5557861328125,793.26,151.67,31.6621,73.0192,195000,39,39
-615.01806640625,487.19,128.45,32.2766,75.9178,200000,40,40
-612.9140625,814.68,231.47,31.2644,71.0227,205000,41,41
-640.471923828125,853.05,216.02,32.3617,73.2068,210000,42,42
-649.0215454101562,736.57,189.5,31.3196,72.445,215000,43,43
-674.0604248046875,621.03,159.95,31.9068,74.412,220000,44,44
-695.4484252929688,668.24,190.39,31.873,73.942,225000,45,45
-708.6194458007812,838.56,225.6,32.0225,73.3681,230000,46,46
-720.60888671875,931.71,262.4,31.6881,72.8632,235000,47,47
-739.6320190429688,824.54,205.13,31.8337,74.2307,240000,48,48
-764.223876953125,764.32,202.3,31.9505,74.4921,245000,49,49
-794.2949829101562,806.08,238.5,32.1893,73.1098,250000,50,50
-807.0709228515625,811.46,142.41,32.8584,73.4064,255000,51,51
-817.0923461914062,855.86,279.08,31.7314,73.0898,260000,52,52
-839.221923828125,824.84,207.25,31.1564,73.2015,265000,53,53
-862.9442749023438,794.85,236.95,32.1449,72.3363,270000,54,54
-870.898681640625,868.83,211.55,31.4809,74.0977,275000,55,55
-895.958984375,876.35,217.23,31.6368,73.251,280000,56,56
-917.557373046875,849.29,193.98,31.798,75.956,285000,57,57
-935.6232299804688,786.85,241.33,32.5941,72.9401,290000,58,58
-958.1705932617188,674.1,272.65,32.0029,75.1649,295000,59,59
-970.0567626953125,758.61,221.45,31.846,74.1526,300000,60,60
-984.3562622070312,960.7,254.51,31.7202,74.5447,305000,61,61
-1026.55859375,806.62,221.87,32.6207,74.4622,310000,62,62
-1026.57958984375,826.87,291.3,31.3261,72.3501,315000,63,63
-1053.7139892578125,875.98,284.75,31.953,73.2541,320000,64,64
-1090.186279296875,844.51,223.48,32.6179,74.5349,325000,65,65
-1104.623291015625,888.24,280.02,31.7579,73.578,330000,66,66
-1115.0460205078125,934.45,272.08,31.6714,71.8463,335000,67,67
-1155.3077392578125,919.88,273.89,30.9951,74.1608,340000,68,68
-1164.03857421875,982.36,302.82,32.0188,71.5061,345000,69,69
-1198.4320068359375,685.61,221.4,32.1042,74.7486,350000,70,70
-1196.90380859375,661.45,234.67,31.137,73.0292,355000,71,71
-1242.5692138671875,843.53,244.98,31.5312,73.1395,360000,72,72
-1279.6168212890625,662.08,250.78,31.8842,73.7381,365000,73,73
-1308.40771484375,763.83,269.67,32.8396,75.1821,370000,74,74
-1331.4056396484375,985.38,243.89,32.3701,75.6285,375000,75,75
-1339.51806640625,883.1,319.98,31.6704,74.7781,380000,76,76
-1364.283203125,714.75,285.78,31.7433,74.9112,385000,77,77
-1396.7823486328125,848.41,231.15,31.7139,73.9096,390000,78,78
-1428.0146484375,831.13,254.57,32.3748,74.6954,395000,79,79
-1452.6201171875,897.0,257.67,31.7027,75.5737,400000,80,80
-1474.8021240234375,889.07,314.21,32.0632,76.0905,405000,81,81
-1504.7989501953125,811.61,294.72,32.431,74.3957,410000,82,82
-1520.2525634765625,893.49,281.11,31.9653,73.9026,415000,83,83
-1546.511962890625,923.77,303.37,31.5582,72.5661,420000,84,84
-1588.714111328125,786.7,255.81,32.0008,74.4288,425000,85,85
-1591.807861328125,998.65,266.78,31.2243,72.6241,430000,86,86
-1614.07080078125,929.08,312.82,31.4584,72.1805,435000,87,87
-1670.9278564453125,747.59,222.75,31.945,74.7893,440000,88,88
-1719.4539794921875,865.01,280.36,32.6083,74.6781,445000,89,89
-1721.2783203125,857.29,343.6,31.9947,73.4412,450000,90,90
-1759.483642578125,843.58,271.84,31.8921,74.9691,455000,91,91
-1775.0272216796875,894.36,334.12,31.9044,73.9706,460000,92,92
-1824.7398681640625,889.66,234.18,31.6567,76.3058,465000,93,93
-1854.48828125,822.61,276.49,31.8206,75.9176,470000,94,94
-1878.3656005859375,742.96,215.18,31.7788,75.8058,475000,95,95
-1885.103271484375,855.19,328.88,31.6014,71.5799,480000,96,96
