Real Sto Return,Reward Loss,Itration,Running Forward KL,Real Det Return,Running Env Steps,Running Update Time,Running Reverse KL
-174.82,20.130098342895508,0,158.42,-20.16,0,0,11.3592
-104.63,-13.010963439941406,1,158.3557,176.13,5000,1,11.5639
58.57,-58.843238830566406,2,158.2482,-14.99,10000,2,11.8111
304.48,-132.984375,3,158.1115,758.47,15000,3,13.1122
361.42,-165.27789306640625,4,157.9893,772.01,20000,4,12.6553
570.23,-189.58349609375,5,157.6535,1092.38,25000,5,13.2837
694.84,-240.18138122558594,6,157.9241,1071.73,30000,6,14.3522
744.02,-253.7489471435547,7,157.9312,1195.83,35000,7,15.0207
923.52,-306.93017578125,8,157.989,1363.93,40000,8,15.2867
1010.76,-361.3426208496094,9,158.0357,1372.76,45000,9,15.8645
1028.83,-396.4573974609375,10,158.0586,1456.48,50000,10,16.1378
1074.74,-428.6460266113281,11,157.8007,1459.31,55000,11,15.853
1127.43,-471.0013732910156,12,157.919,1518.44,60000,12,16.1347
1212.72,-519.7847900390625,13,157.9336,1604.71,65000,13,16.5125
1185.52,-559.4920654296875,14,157.9232,1615.22,70000,14,16.0641
1258.68,-604.6671142578125,15,158.0986,1661.71,75000,15,16.3685
1262.2,-636.947998046875,16,158.0938,1690.29,80000,16,16.4331
1349.39,-681.26806640625,17,157.8313,1782.89,85000,17,16.4827
1396.19,-729.340087890625,18,157.9641,1785.57,90000,18,16.6724
1420.75,-760.6023559570312,19,157.8454,1833.43,95000,19,16.378
1440.59,-804.1285400390625,20,157.9462,1818.26,100000,20,16.2924
1470.19,-837.58544921875,21,157.911,1866.66,105000,21,16.4826
1481.46,-882.4150390625,22,157.7218,1863.77,110000,22,16.3965
1550.23,-932.8135986328125,23,157.7076,1920.42,115000,23,17.0003
1524.81,-968.2141723632812,24,157.8821,1896.97,120000,24,17.0329
1518.12,-995.3773193359375,25,157.4855,1923.39,125000,25,16.4957
1513.29,-1033.22412109375,26,157.6246,1849.93,130000,26,16.4983
1537.66,-1079.5687255859375,27,157.5924,1922.66,135000,27,16.3653
1541.94,-1113.6312255859375,28,157.3738,1935.51,140000,28,16.2231
1571.31,-1153.1278076171875,29,157.5663,1965.9,145000,29,16.3495
1602.06,-1188.0445556640625,30,157.5869,1965.76,150000,30,16.6591
1647.06,-1235.632080078125,31,157.2354,2013.97,155000,31,16.268
1610.01,-1287.283203125,32,157.7216,1932.61,160000,32,16.386
1636.97,-1313.4637451171875,33,157.5792,2038.09,165000,33,16.3823
1592.84,-1358.9710693359375,34,157.5188,1871.36,170000,34,16.284
1580.33,-1381.3677978515625,35,157.5335,1941.88,175000,35,16.2509
1648.23,-1430.246826171875,36,157.4858,1960.69,180000,36,16.4677
1613.77,-1457.86474609375,37,157.2624,1919.42,185000,37,16.1126
1617.1,-1502.764404296875,38,157.5529,2038.72,190000,38,16.6513
1658.92,-1538.5008544921875,39,157.4667,2021.41,195000,39,16.7018
1684.53,-1578.5889892578125,40,157.3261,2046.97,200000,40,16.9004
1632.48,-1616.2801513671875,41,157.1626,1966.66,205000,41,16.3965
1669.14,-1654.9713134765625,42,157.4453,2003.81,210000,42,16.571
1676.15,-1700.8251953125,43,157.4928,2041.15,215000,43,16.5787
1663.37,-1739.739501953125,44,157.3602,2039.28,220000,44,16.5202
1648.29,-1766.707763671875,45,157.5074,2008.78,225000,45,16.8782
1710.61,-1823.7703857421875,46,157.4531,2073.47,230000,46,16.7045
1692.7,-1847.4561767578125,47,157.5462,2014.74,235000,47,16.6965
1709.46,-1912.701416015625,48,157.4493,2087.28,240000,48,16.8311
1693.4,-1925.78466796875,49,157.3884,2026.79,245000,49,16.3718
1720.77,-1979.4234619140625,50,157.3831,2046.38,250000,50,16.4273
1708.71,-2001.2109375,51,157.1342,2048.91,255000,51,16.4101
1691.52,-2034.476806640625,52,157.172,2018.47,260000,52,16.1644
1660.18,-2095.61181640625,53,157.2649,1973.88,265000,53,16.1309
1760.32,-2123.764892578125,54,157.344,2135.49,270000,54,16.6715
1716.98,-2165.38720703125,55,157.2775,2053.34,275000,55,16.3822
1731.07,-2196.56103515625,56,157.2206,2079.03,280000,56,16.3536
1688.37,-2227.84619140625,57,157.1785,2061.11,285000,57,16.1712
1769.39,-2295.089111328125,58,157.2229,2120.37,290000,58,16.5408
1703.96,-2309.693359375,59,157.0352,2025.29,295000,59,15.942
1730.38,-2345.214111328125,60,157.0938,2116.36,300000,60,16.24
1722.65,-2413.485107421875,61,157.0593,2001.99,305000,61,16.2069
1745.12,-2420.5771484375,62,156.8153,2043.47,310000,62,15.7115
1733.62,-2463.3310546875,63,157.2681,2064.42,315000,63,16.1853
1725.21,-2529.33447265625,64,157.0576,2035.73,320000,64,15.9778
1752.64,-2564.376708984375,65,156.961,2100.75,325000,65,15.8432
1703.99,-2590.462646484375,66,157.1317,2045.6,330000,66,16.1137
1794.52,-2624.86083984375,67,157.0031,2146.7,335000,67,15.9627
1773.44,-2673.25,68,157.1574,2130.74,340000,68,16.3163
1799.82,-2748.697265625,69,157.0475,2131.74,345000,69,16.7986
1780.53,-2767.998291015625,70,157.1789,2155.3,350000,70,16.5133
1787.49,-2810.991943359375,71,156.949,2144.39,355000,71,16.1428
1780.37,-2848.408447265625,72,156.9911,2122.44,360000,72,16.2825
