Itration,Running Forward KL,Reward Loss,Real Det Return,Running Update Time,Running Env Steps,Real Sto Return,Running Reverse KL
0,39.5112,63.53284454345703,183.64,0,0,181.01,26.1603
1,39.1951,55.3518180847168,261.69,1,5000,236.48,15.8445
2,37.3307,73.36023712158203,256.23,2,10000,255.19,19.7721
3,37.0449,109.9292221069336,291.23,3,15000,291.82,48.4496
4,38.0104,40.11166763305664,325.1,4,20000,314.94,28.4893
5,37.8966,32.611873626708984,319.62,5,25000,316.59,34.1982
6,36.0296,50.33388900756836,333.03,6,30000,336.99,33.296
7,37.1549,19.2604923248291,320.77,7,35000,329.54,32.0535
8,36.246,3.6523118019104004,356.04,8,40000,343.2,19.9779
9,37.1273,-14.936290740966797,334.77,9,45000,335.32,20.6768
10,32.3945,-43.761375427246094,411.73,10,50000,416.24,15.5895
11,32.8177,-49.278038024902344,772.81,11,55000,774.57,14.5993
12,31.4805,-45.61834716796875,855.94,12,60000,714.71,14.6218
13,31.562,-70.22541046142578,1111.52,13,65000,1022.63,19.333
14,30.5366,-69.39961242675781,2887.57,14,70000,1720.08,15.6749
15,31.9194,-60.65576934814453,1004.38,15,75000,957.41,14.0427
16,32.334,-68.48931884765625,1319.49,16,80000,1079.9,14.2907
17,31.7282,-89.16461181640625,1524.68,17,85000,1086.05,19.1343
18,29.6711,-79.8564453125,309.61,18,90000,1059.84,13.6691
19,29.2977,-75.24995422363281,1230.58,19,95000,1836.02,12.7973
20,30.558,-51.739112854003906,887.9,20,100000,940.5,13.6607
21,31.0141,-61.5770149230957,1327.18,21,105000,1234.28,12.9295
22,29.24,-83.3351821899414,2681.75,22,110000,2685.38,13.8048
23,31.0378,-69.55127716064453,2839.12,23,115000,2896.02,14.7881
24,30.8069,-51.57447052001953,3115.75,24,120000,3032.47,15.2536
25,29.9153,-54.7646598815918,3159.24,25,125000,2869.96,13.6635
26,29.9101,-79.62004852294922,3106.18,26,130000,3012.61,14.2246
27,28.7056,-96.16801452636719,3244.45,27,135000,1351.26,23.3356
28,29.9319,-73.28590393066406,3218.32,28,140000,3076.37,14.2761
29,29.7431,-82.26081085205078,3161.08,29,145000,2934.63,14.0703
30,29.1315,-108.41278839111328,3317.34,30,150000,2316.02,16.4094
31,29.3223,-103.76541137695312,3146.0,31,155000,2964.43,13.861
32,27.7441,-96.23439025878906,3204.13,32,160000,2646.68,13.4252
33,30.2204,-136.05482482910156,3026.24,33,165000,1555.05,23.3264
34,29.3915,-115.63690948486328,3303.06,34,170000,2007.6,15.3414
35,28.2254,-106.79298400878906,3292.69,35,175000,3239.7,15.3276
36,28.296,-110.11542510986328,3258.73,36,180000,2742.25,13.3194
37,27.5183,-83.1657943725586,3064.56,37,185000,2924.62,12.547
38,29.9345,-114.5564193725586,3093.67,38,190000,3099.89,13.3956
39,28.7199,-109.31554412841797,3219.39,39,195000,3244.67,12.8294
40,27.4303,-99.28449249267578,3241.03,40,200000,3077.98,12.976
41,28.1215,-89.87830352783203,3255.43,41,205000,2936.41,12.7673
42,28.7362,-113.92472076416016,3360.21,42,210000,3090.72,12.8653
43,27.7888,-95.5459213256836,3234.61,43,215000,2560.4,12.2236
44,29.0821,-127.606201171875,3215.66,44,220000,3241.29,13.1073
45,28.6212,-148.9022674560547,3353.58,45,225000,2258.89,17.1288
46,27.8134,-118.91203308105469,3223.48,46,230000,3086.95,12.3242
47,27.6475,-103.44210815429688,3290.64,47,235000,3256.45,12.1995
48,28.6444,-137.48484802246094,3364.37,48,240000,2629.85,13.8293
49,28.2277,-104.77272033691406,3353.14,49,245000,3180.83,12.6147
50,28.7747,-159.87600708007812,3355.14,50,250000,3264.93,14.4028
51,28.9619,-135.6455078125,19.37,51,255000,1760.77,13.3297
52,28.3853,-136.5796661376953,3362.77,52,260000,3369.53,13.4159
53,28.5327,-164.16929626464844,3271.07,53,265000,2433.21,14.8278
54,27.7755,-134.19644165039062,3283.44,54,270000,2983.08,13.3161
55,27.8813,-139.92529296875,3302.01,55,275000,3136.49,13.3455
56,28.879,-161.34231567382812,3277.14,56,280000,2856.51,13.3902
57,27.9354,-94.8590316772461,3350.82,57,285000,3334.05,13.2094
58,26.828,-122.00251007080078,3343.54,58,290000,3294.65,12.269
59,27.025,-135.6526641845703,3241.11,59,295000,2949.33,11.951
