Real Sto Return,Running Env Steps,Itration,Running Reverse KL,Reward Loss,Real Det Return,Running Forward KL,Running Update Time
190.14,0,0,20.2835,335.07659912109375,193.58,33.2471,0
238.75,5000,1,58.9691,538.1903686523438,224.05,31.7391,1
265.29,10000,2,59.3486,297.8690185546875,281.26,31.4259,2
301.96,15000,3,36.394,359.3119201660156,303.8,30.9433,3
305.42,20000,4,48.2084,203.96287536621094,301.86,31.8119,4
312.07,25000,5,38.433,64.6640853881836,304.88,30.9747,5
327.1,30000,6,39.8702,257.71612548828125,326.43,28.5047,6
490.21,35000,7,85.5469,173.60421752929688,429.5,27.3273,7
512.28,40000,8,92.2734,143.3810272216797,562.42,27.4951,8
594.86,45000,9,67.4373,110.8115234375,598.41,28.0156,9
603.9,50000,10,104.0481,110.57988739013672,48.38,27.5399,10
975.99,55000,11,68.9609,6.462828159332275,1205.68,26.2471,11
753.37,60000,12,72.2763,6.908597469329834,779.75,26.6488,12
905.98,65000,13,48.4546,-40.69750213623047,993.11,26.4944,13
883.91,70000,14,51.5061,-81.81671142578125,983.12,26.0339,14
2344.58,75000,15,25.2888,-42.267765045166016,3260.4,24.6829,15
1011.17,80000,16,49.0409,-93.36009979248047,2202.11,26.2402,16
2447.62,85000,17,17.2817,-66.04949951171875,3337.86,24.2927,17
2889.58,90000,18,17.6824,-67.54076385498047,3080.96,25.8144,18
1215.2,95000,19,30.9263,-119.28065490722656,1414.63,25.5134,19
2409.27,100000,20,16.8408,-95.83529663085938,336.54,24.9854,20
1539.62,105000,21,19.5636,-154.0079803466797,2371.92,25.5562,21
1978.89,110000,22,26.4551,-101.27552032470703,3254.18,24.8402,22
3224.25,115000,23,17.9527,-29.891084671020508,3269.63,25.0194,23
2802.5,120000,24,17.5673,-31.50688362121582,3399.65,24.1969,24
1015.3,125000,25,45.3457,-332.7789001464844,1191.39,25.5655,25
3401.59,130000,26,18.0669,-55.013187408447266,3423.35,25.0523,26
3268.14,135000,27,16.7423,-63.8204231262207,3387.24,24.4467,27
2412.44,140000,28,17.6129,-104.47295379638672,3431.25,24.8679,28
3343.38,145000,29,16.9737,-84.90978240966797,3391.88,23.9818,29
3082.94,150000,30,19.7145,-100.38895416259766,3471.52,24.8797,30
3143.54,155000,31,19.5185,-125.38540649414062,3412.21,24.2502,31
3392.78,160000,32,17.044,-115.0561294555664,3454.13,24.4066,32
3091.71,165000,33,16.7019,-79.57337188720703,3406.43,24.0087,33
3352.95,170000,34,16.4499,-109.19049072265625,3377.03,24.522,34
3363.01,175000,35,16.5515,-74.06375122070312,3441.99,24.9664,35
3120.97,180000,36,16.4775,-99.81240844726562,3409.04,24.3931,36
2741.16,185000,37,22.6939,-249.8737030029297,3450.68,24.1673,37
3095.81,190000,38,16.8638,-174.6156463623047,3443.65,24.1978,38
3358.93,195000,39,16.2318,-144.85353088378906,3440.7,23.7715,39
3081.77,200000,40,16.3784,-216.10549926757812,3481.85,24.1025,40
3373.4,205000,41,16.2051,-157.5739288330078,3374.71,23.5529,41
3422.2,210000,42,15.8116,-187.054931640625,3470.46,24.2892,42
2999.93,215000,43,17.1322,-270.2187194824219,3462.2,24.2934,43
3294.21,220000,44,15.7152,-179.5074462890625,3436.59,24.0258,44
3410.85,225000,45,15.2922,-224.66268920898438,3426.31,23.0809,45
3231.72,230000,46,16.6979,-211.05101013183594,3442.31,24.8361,46
3377.15,235000,47,16.7439,-255.46812438964844,3485.88,24.5782,47
3410.08,240000,48,16.3518,-249.20907592773438,3400.66,24.6144,48
3172.54,245000,49,16.0291,-239.92306518554688,3464.49,24.2203,49
2775.31,250000,50,28.0815,-437.3272705078125,3445.43,24.4937,50
3442.81,255000,51,17.1059,-299.8408203125,3472.4,24.5451,51
3401.07,260000,52,16.3952,-261.677001953125,3439.2,24.8785,52
3372.85,265000,53,16.2616,-289.031494140625,3396.24,24.054,53
3332.57,270000,54,15.7403,-307.7002868652344,3360.46,23.6536,54
3340.94,275000,55,14.3895,-337.420654296875,3400.71,23.9794,55
3355.88,280000,56,16.6003,-317.73309326171875,3455.58,24.1462,56
2483.93,285000,57,14.8532,-568.869384765625,3446.06,25.094,57
3229.53,290000,58,14.3089,-303.2019958496094,3236.69,23.168,58
3433.88,295000,59,15.9493,-377.5997619628906,3462.53,24.4993,59
3299.74,300000,60,15.4914,-355.25701904296875,3450.56,24.5404,60
3386.35,305000,61,15.7826,-342.7266845703125,3421.2,24.2833,61
3275.8,310000,62,16.682,-447.9725036621094,3443.71,24.9713,62
3213.26,315000,63,15.9172,-366.6202087402344,3407.6,24.0779,63
3291.03,320000,64,16.1901,-380.1452331542969,3356.42,24.2139,64
3430.72,325000,65,15.9769,-400.7921142578125,3437.36,23.8163,65
3267.08,330000,66,15.7884,-418.9305419921875,3465.44,24.1423,66
2561.31,335000,67,17.661,-510.2119140625,3457.71,23.9355,67
3347.93,340000,68,16.4941,-400.3442687988281,3425.96,24.6895,68
3325.67,345000,69,15.563,-406.0885314941406,3429.5,24.0772,69
2526.33,350000,70,18.0211,-617.1920776367188,3444.6,23.0367,70
3034.1,355000,71,16.5206,-432.1483154296875,3449.99,24.5453,71
3272.82,360000,72,15.815,-452.5815124511719,3381.68,23.8293,72
3412.01,365000,73,16.062,-470.17132568359375,3441.68,23.6937,73
3253.37,370000,74,15.6854,-486.93719482421875,3364.42,24.0972,74
3193.05,375000,75,15.733,-474.5961608886719,3432.41,24.0792,75
3170.74,380000,76,16.0287,-515.7061767578125,3440.03,23.8129,76
2947.45,385000,77,15.8899,-683.072509765625,3472.83,24.2837,77
3327.59,390000,78,15.5538,-497.1212158203125,3406.1,23.8797,78
