Itration,Reward Loss,Running Update Time,Running Env Steps,Running Reverse KL,Real Sto Return,Real Det Return,Running Forward KL
0,879.8662109375,0,0,18.1238,442.74,399.43,49.5554
1,749.2923583984375,1,5000,15.3439,247.16,-11.35,49.6091
2,902.13818359375,2,10000,21.4597,322.43,274.03,49.236
3,851.2623291015625,3,15000,21.4916,378.37,388.22,48.5429
4,631.5226440429688,4,20000,16.5518,416.41,459.53,49.1677
5,338.6892395019531,5,25000,15.5548,392.53,501.88,48.9061
6,409.3645324707031,6,30000,15.7115,393.24,441.76,48.7912
7,727.4196166992188,7,35000,24.9275,408.41,423.75,49.4857
8,601.0744018554688,8,40000,13.7855,443.27,452.25,49.2485
9,498.1415100097656,9,45000,16.1903,444.98,624.42,48.757
10,345.282470703125,10,50000,14.0223,431.61,485.96,48.6161
11,192.3546142578125,11,55000,12.9487,540.19,549.24,47.0432
12,201.53565979003906,12,60000,12.3343,571.33,476.54,47.3848
13,136.59738159179688,13,65000,12.4724,557.36,571.24,46.9091
14,-1.1819928884506226,14,70000,13.0023,676.18,983.84,46.7303
15,-156.62387084960938,15,75000,25.7653,854.29,989.51,47.0991
16,-345.2672119140625,16,80000,28.008,630.34,625.82,47.6594
17,-328.59051513671875,17,85000,32.4173,683.91,863.81,46.9197
18,-355.3036804199219,18,90000,18.6889,1743.21,2418.96,46.1765
19,-247.39309692382812,19,95000,18.985,712.92,706.97,46.2299
20,-476.27789306640625,20,100000,41.6245,797.07,759.62,46.8959
21,-448.702880859375,21,105000,21.8165,1369.66,1360.05,45.7542
22,-462.0645446777344,22,110000,21.0575,1039.55,1001.59,45.0983
23,-312.1861267089844,23,115000,14.2473,909.87,772.98,46.0046
24,-419.6152038574219,24,120000,15.574,1153.37,2080.72,46.405
25,-469.6956787109375,25,125000,15.128,1009.67,969.18,45.159
26,-611.621337890625,26,130000,16.6516,1679.76,1418.61,45.707
27,-579.4324340820312,27,135000,15.069,1014.79,994.82,44.7146
28,-668.8736572265625,28,140000,14.2929,348.83,994.17,47.2196
29,-890.9906005859375,29,145000,14.6776,1086.46,1028.35,44.6817
30,-889.0870971679688,30,150000,14.7425,1373.24,1491.05,44.4763
31,-856.9102783203125,31,155000,18.1433,1340.48,1368.63,45.0031
32,-931.027587890625,32,160000,30.9224,1519.78,1311.73,45.5869
33,-819.0169677734375,33,165000,13.2349,2032.05,2920.88,43.3215
34,-995.8902587890625,34,170000,12.4158,1235.96,1364.74,44.5184
35,-1155.76611328125,35,175000,23.5066,777.12,701.74,45.7368
36,-1175.323974609375,36,180000,16.0645,1238.3,1275.45,44.6913
37,-1017.5849609375,37,185000,13.6941,1197.18,781.98,44.7736
38,-1093.11376953125,38,190000,15.8299,2034.38,1343.69,44.5367
39,-880.3024291992188,39,195000,15.3955,3037.0,3062.75,43.793
40,-955.7337646484375,40,200000,14.7795,1993.63,2127.62,42.732
41,-1108.5760498046875,41,205000,14.1133,1851.79,1555.16,43.9512
42,-990.3868408203125,42,210000,13.6725,3205.53,3166.02,43.2493
43,-980.91455078125,43,215000,13.2887,2994.01,3242.08,41.8968
44,-999.2420654296875,44,220000,15.6808,2934.8,3047.61,42.5859
45,-1053.3076171875,45,225000,13.409,2800.49,2818.57,41.7051
46,-1052.67822265625,46,230000,13.4956,2955.66,2760.32,42.9564
47,-995.2034301757812,47,235000,12.9131,3413.99,3121.73,42.2867
48,-1111.6634521484375,48,240000,11.5191,3421.74,3494.08,41.9582
49,-1258.01953125,49,245000,13.8035,2655.81,2585.82,42.4955
50,-1159.4581298828125,50,250000,15.005,3075.07,3506.64,41.4477
51,-1118.380126953125,51,255000,12.2462,3382.98,3693.42,42.0323
52,-1254.3753662109375,52,260000,13.2224,3375.8,3477.63,42.7594
