Reward Loss,Itration,Running Reverse KL,Real Sto Return,Running Update Time,Running Env Steps,Real Det Return,Running Forward KL
-26.326984405517578,0,11.8021,-151.57,0,0,-33.69,158.5633
-69.60845184326172,1,12.1246,-31.59,1,5000,43.49,158.5449
-121.6875,2,13.1203,256.52,2,10000,932.18,158.195
-139.73704528808594,3,14.0071,515.14,3,15000,1034.29,158.1424
-168.2428741455078,4,14.0327,449.52,4,20000,992.7,157.9729
-200.4512176513672,5,14.3857,621.29,5,25000,994.56,158.0762
-236.7674560546875,6,14.379,699.32,6,30000,1117.22,158.0935
-218.69924926757812,7,14.9104,817.84,7,35000,1119.81,157.9343
-265.135009765625,8,15.9017,998.15,8,40000,1397.5,158.1588
-270.2168884277344,9,15.7586,1009.48,9,45000,1359.15,158.2079
-315.4263000488281,10,16.3179,1072.77,10,50000,1418.77,158.2827
-315.2615661621094,11,16.4288,1145.64,11,55000,1516.26,158.0178
-333.6597900390625,12,16.5881,1179.71,12,60000,1569.77,158.063
-358.8589782714844,13,16.8251,1222.24,13,65000,1594.1,157.9272
-387.8992614746094,14,16.4814,1206.69,14,70000,1626.78,157.9775
-421.416015625,15,16.7852,1257.95,15,75000,1700.41,158.1997
-426.4222106933594,16,16.7981,1310.22,16,80000,1683.69,157.8096
-467.8427429199219,17,17.1979,1375.3,17,85000,1776.54,158.1574
-491.8982849121094,18,17.0168,1380.87,18,90000,1787.23,158.1543
-518.2584838867188,19,16.8379,1442.12,19,95000,1822.56,157.748
-556.6024780273438,20,17.0225,1427.48,20,100000,1849.26,157.8655
-572.0331420898438,21,17.0094,1481.5,21,105000,1842.16,157.9301
-589.9822387695312,22,16.7378,1465.74,22,110000,1821.72,157.8626
-610.4024658203125,23,16.5115,1450.51,23,115000,1756.91,157.7522
-644.9765014648438,24,16.9409,1523.95,24,120000,1938.82,157.876
-660.6427612304688,25,16.8989,1557.64,25,125000,1931.83,157.8706
-684.4896240234375,26,17.1595,1597.97,26,130000,1972.02,157.6451
-721.2996826171875,27,17.4058,1553.06,27,135000,1940.35,157.8454
-753.728515625,28,16.5687,1579.11,28,140000,1901.43,157.6639
-760.1737060546875,29,16.6079,1608.07,29,145000,1945.11,157.5625
-790.8298950195312,30,16.693,1602.09,30,150000,1967.39,157.6017
-818.5835571289062,31,16.7608,1637.14,31,155000,2001.3,157.4419
-834.457275390625,32,16.6835,1577.33,32,160000,1934.54,157.5409
-871.1339721679688,33,16.7128,1620.92,33,165000,1971.01,157.6023
-908.0452880859375,34,16.3698,1614.46,34,170000,1958.63,157.6529
-941.0787963867188,35,16.0377,1607.56,35,175000,1913.62,157.5017
-962.3807373046875,36,16.4765,1644.05,36,180000,1987.52,157.5393
-972.946044921875,37,16.093,1581.93,37,185000,1846.18,157.3911
-1013.3812255859375,38,16.5511,1653.68,38,190000,2027.61,157.5433
-1029.9847412109375,39,16.5718,1645.34,39,195000,1989.49,157.4544
-1056.3104248046875,40,16.3488,1669.77,40,200000,2040.69,157.4716
-1078.401123046875,41,16.0328,1630.71,41,205000,1979.29,157.2156
-1109.43798828125,42,16.3173,1703.13,42,210000,2062.46,157.1697
-1142.7589111328125,43,15.9926,1662.32,43,215000,2036.01,157.1855
-1165.332763671875,44,16.5562,1710.27,44,220000,2090.69,157.3483
-1194.71435546875,45,16.3343,1686.63,45,225000,2064.82,157.3189
-1206.825927734375,46,16.1682,1683.91,46,230000,2056.9,157.2002
-1233.279052734375,47,16.1189,1700.0,47,235000,2081.64,157.2204
-1253.6593017578125,48,16.0701,1691.19,48,240000,2095.69,156.9242
-1309.64404296875,49,16.1591,1689.15,49,245000,2047.94,157.1823
-1311.4178466796875,50,16.0162,1713.43,50,250000,2083.44,157.0967
-1332.00048828125,51,15.6571,1650.02,51,255000,1993.24,157.0256
-1373.868896484375,52,15.9152,1721.44,52,260000,2096.5,157.1137
-1396.7867431640625,53,15.7618,1692.84,53,265000,2017.91,157.0606
-1446.093505859375,54,16.2788,1717.13,54,270000,2092.63,157.1772
-1452.4195556640625,55,15.8378,1729.0,55,275000,2120.04,157.1216
-1491.9908447265625,56,16.3253,1749.84,56,280000,2126.16,156.8864
-1504.0675048828125,57,15.789,1733.47,57,285000,2086.82,157.0102
-1519.27587890625,58,15.7604,1745.09,58,290000,2129.47,156.9651
-1555.5377197265625,59,16.2282,1752.52,59,295000,2110.27,157.1439
-1585.0037841796875,60,15.8909,1745.89,60,300000,2099.7,157.1561
-1623.513671875,61,16.1296,1777.3,61,305000,2141.4,156.9962
-1648.386962890625,62,15.9085,1771.86,62,310000,2157.15,156.878
-1670.1422119140625,63,15.7229,1737.7,63,315000,2085.54,157.0917
-1691.7447509765625,64,15.5156,1762.93,64,320000,2107.48,156.7541
-1722.1478271484375,65,15.7483,1750.57,65,325000,2082.13,156.9615
-1765.0152587890625,66,16.1126,1779.81,66,330000,2154.13,156.9965
-1774.019775390625,67,15.8167,1773.77,67,335000,2093.28,157.0358
-1827.13720703125,68,15.9006,1775.21,68,340000,2138.28,156.8823
-1845.1458740234375,69,15.679,1718.15,69,345000,2074.54,156.8653
-1852.4510498046875,70,15.5031,1741.98,70,350000,2126.62,156.8114
-1873.4603271484375,71,15.537,1737.63,71,355000,2114.72,156.8901
-1928.527099609375,72,15.5924,1759.1,72,360000,2138.29,156.8792
-1955.208984375,73,15.8606,1800.02,73,365000,2173.24,156.9877
-1959.8311767578125,74,15.6386,1759.95,74,370000,2113.65,157.003
-1995.5794677734375,75,15.7201,1759.34,75,375000,2060.54,156.9608
-2044.2679443359375,76,16.178,1833.3,76,380000,2207.73,156.9206
-2047.51806640625,77,15.5507,1777.92,77,385000,2155.17,156.8468
-2097.203369140625,78,15.6678,1796.73,78,390000,2122.17,157.0962
-2140.59716796875,79,15.7474,1798.64,79,395000,2184.27,156.8852
-2143.646240234375,80,15.5701,1805.82,80,400000,2150.57,156.8329
-2186.12548828125,81,15.501,1750.84,81,405000,2136.11,156.9537
-2211.24755859375,82,15.8505,1788.06,82,410000,2148.66,156.8782
-2260.486572265625,83,16.0764,1800.88,83,415000,2151.71,157.1777
