Real Det Return,Running Reverse KL,Running Env Steps,Itration,Running Update Time,Running Forward KL,Reward Loss,Real Sto Return
335.21,12.8786,0,0,0,49.7246,354.39495849609375,275.54
229.56,16.5432,5000,1,1,49.8946,234.95069885253906,294.85
316.23,23.4564,10000,2,2,51.0801,244.0632781982422,371.1
463.55,14.2026,15000,3,3,49.9368,245.54981994628906,314.68
538.86,12.8623,20000,4,4,48.7831,159.15902709960938,373.56
470.44,13.5721,25000,5,5,49.285,212.93971252441406,416.24
406.27,17.5984,30000,6,6,49.3956,150.9569854736328,427.14
-6.76,49.176,35000,7,7,52.7363,-15.477106094360352,-8.72
-12.52,29.6293,40000,8,8,54.251,-25.22157096862793,-3.11
325.24,71.8906,45000,9,9,55.1213,-135.2892608642578,135.5
390.54,32.1932,50000,10,10,50.8379,-21.190345764160156,245.5
353.68,24.3475,55000,11,11,50.2623,79.95012664794922,381.19
446.35,23.2218,60000,12,12,50.0417,144.96421813964844,524.65
361.65,26.4812,65000,13,13,51.0252,106.79000854492188,345.13
17.64,50.6736,70000,14,14,53.9544,-106.12960052490234,43.47
591.98,49.9647,75000,15,15,51.5139,-127.3789291381836,878.3
-4.01,85.4913,80000,16,16,53.291,11.501908302307129,-4.09
-7.18,95.3969,85000,17,17,52.5873,-116.37007904052734,-11.16
-24.01,71.8663,90000,18,18,55.152,-27.71472930908203,-15.91
-14.3,64.1551,95000,19,19,51.8655,-52.25172805786133,-20.25
174.76,15.2982,100000,20,20,50.8228,66.54420471191406,197.38
130.62,24.5161,105000,21,21,51.8785,171.40060424804688,121.2
136.06,15.6493,110000,22,22,50.599,172.61502075195312,203.68
139.21,27.3284,115000,23,23,51.9392,55.238216400146484,216.53
182.3,76.1776,120000,24,24,51.3997,-14.131248474121094,72.56
232.45,40.8114,125000,25,25,51.097,43.61271667480469,193.71
167.31,68.5169,130000,26,26,51.5672,-123.0062255859375,286.68
192.86,97.7823,135000,27,27,52.1228,-60.53668212890625,172.01
77.53,75.7644,140000,28,28,51.0264,-87.25154113769531,18.67
156.33,40.102,145000,29,29,51.1849,-42.685001373291016,160.76
273.12,18.5402,150000,30,30,50.3693,-33.016563415527344,246.98
139.63,63.7202,155000,31,31,51.898,42.529850006103516,186.92
281.02,67.8451,160000,32,32,50.9295,-81.4696273803711,197.75
205.79,45.7885,165000,33,33,51.6579,-83.1670150756836,79.34
246.67,72.5045,170000,34,34,51.8003,-182.1958770751953,364.3
199.57,58.1135,175000,35,35,51.7708,-168.1954803466797,231.36
198.87,46.5004,180000,36,36,50.8391,-166.01597595214844,174.71
122.49,74.9554,185000,37,37,53.4666,-113.08643341064453,137.34
173.99,39.1633,190000,38,38,50.6857,-94.35078430175781,253.18
189.98,34.9372,195000,39,39,51.1422,-82.18798065185547,215.76
280.51,138.524,200000,40,40,51.6937,-277.4740905761719,176.57
233.02,111.5104,205000,41,41,52.1466,-290.68359375,172.74
104.84,108.1822,210000,42,42,52.2001,-351.6604919433594,80.63
9.85,40.9335,215000,43,43,53.2032,-412.239501953125,12.53
32.92,85.568,220000,44,44,53.1122,-255.8309783935547,61.6
89.36,25.168,225000,45,45,51.976,-44.11357498168945,71.6
241.53,27.8935,230000,46,46,51.3118,-212.14288330078125,115.36
230.66,67.989,235000,47,47,51.4182,-289.06378173828125,205.93
147.09,31.5502,240000,48,48,50.8633,-251.13070678710938,160.82
185.31,130.9157,245000,49,49,52.0739,-351.3623352050781,161.86
294.9,132.4586,250000,50,50,51.1311,-387.8078918457031,153.32
226.31,70.4957,255000,51,51,52.0625,-334.9913024902344,485.52
165.21,71.1725,260000,52,52,52.7322,-342.6314697265625,158.9
