Running Reverse KL,Running Update Time,Running Env Steps,Running Forward KL,Itration,Real Det Return,Real Sto Return,Reward Loss
25.7449,0,0,75.8946,0,199.64,-58.86,69.97977447509766
26.699,1,5000,74.8347,1,274.69,-56.12,-39.285125732421875
26.208,2,10000,72.7901,2,441.07,-11.81,-117.32299041748047
26.5968,3,15000,72.7742,3,533.91,27.69,-194.3682861328125
27.7026,4,20000,72.9654,4,656.34,107.52,-267.1326904296875
27.9973,5,25000,69.6485,5,782.88,119.07,-291.45465087890625
28.535,6,30000,70.1701,6,750.2,137.77,-391.6654052734375
29.3495,7,35000,72.0824,7,673.22,99.38,-502.5498352050781
28.9387,8,40000,70.3014,8,608.6,73.62,-553.6800537109375
29.9549,9,45000,71.86,9,628.77,124.44,-589.5707397460938
29.697,10,50000,70.5799,10,521.01,192.05,-669.6079711914062
29.3063,11,55000,67.8369,11,680.93,231.09,-723.8995971679688
29.251,12,60000,68.351,12,814.44,194.22,-786.94189453125
28.3833,13,65000,66.5306,13,557.72,263.34,-814.339111328125
28.8572,14,70000,67.0097,14,713.34,247.07,-907.4786376953125
28.3244,15,75000,66.4494,15,721.8,326.62,-966.3319702148438
28.6683,16,80000,66.1624,16,697.23,294.5,-1012.5844116210938
27.9573,17,85000,64.5759,17,684.86,260.15,-1051.449951171875
27.6812,18,90000,64.0295,18,730.22,300.26,-1125.31201171875
27.353,19,95000,62.8157,19,924.76,449.49,-1145.9951171875
28.138,20,100000,64.4684,20,1151.02,521.19,-1239.9503173828125
26.662,21,105000,61.3734,21,1489.29,605.51,-1219.4239501953125
28.5661,22,110000,66.5074,22,1297.54,611.38,-1387.177734375
27.9229,23,115000,65.8164,23,979.86,496.94,-1410.68359375
26.1245,24,120000,61.4936,24,1170.34,436.09,-1381.3486328125
25.9623,25,125000,61.3552,25,1125.52,502.97,-1461.315673828125
26.879,26,130000,63.8774,26,1055.22,483.36,-1591.7298583984375
24.6752,27,135000,59.3517,27,1335.7,707.84,-1478.7427978515625
27.3046,28,140000,59.8291,28,1332.68,978.06,-1451.9334716796875
25.6012,29,145000,62.2295,29,950.3,306.54,-1723.51904296875
25.9821,30,150000,61.3806,30,1491.26,839.77,-1752.6231689453125
24.561,31,155000,58.8354,31,1657.55,1001.97,-1724.7568359375
25.1968,32,160000,58.5074,32,2062.54,1141.35,-1738.5595703125
26.7465,33,165000,60.9961,33,1620.31,894.69,-1823.5364990234375
26.0585,34,170000,62.0893,34,1342.27,832.94,-2011.29736328125
25.7709,35,175000,61.0539,35,1595.81,645.92,-1984.362548828125
29.1855,36,180000,61.1688,36,1895.74,1202.2,-1959.708740234375
26.2501,37,185000,60.6749,37,1082.28,865.81,-2091.77978515625
26.9846,38,190000,57.5883,38,2646.37,1938.49,-1992.986083984375
28.3997,39,195000,60.0333,39,1717.97,1380.43,-2023.504638671875
26.3635,40,200000,59.1901,40,2137.84,1441.39,-2144.079345703125
26.112,41,205000,60.3344,41,1698.69,908.51,-2278.547607421875
30.5262,42,210000,59.9694,42,2195.77,1711.33,-2092.4140625
27.9081,43,215000,60.4344,43,2240.61,1537.9,-2316.50830078125
29.8352,44,220000,61.8016,44,2421.83,1565.42,-2288.783447265625
32.4825,45,225000,61.1383,45,2508.8,1956.31,-2313.394287109375
30.6242,46,230000,60.1464,46,2705.55,1994.99,-2303.47998046875
36.3148,47,235000,61.4053,47,2403.91,2112.07,-2223.746826171875
37.0524,48,240000,61.1362,48,2747.17,1859.28,-2210.0302734375
33.0595,49,245000,59.2328,49,3108.62,2526.82,-2382.037353515625
41.8065,50,250000,61.8508,50,3330.47,2617.13,-2284.84326171875
39.7673,51,255000,61.914,51,2078.18,1923.68,-2264.12255859375
33.8365,52,260000,61.9374,52,1987.95,1636.64,-2653.7421875
48.4822,53,265000,64.6499,53,3094.13,2189.35,-2287.724609375
32.6209,54,270000,61.7388,54,3423.1,2314.11,-2748.456787109375
43.6115,55,275000,61.8683,55,3241.96,2636.13,-2559.712158203125
45.7879,56,280000,64.4378,56,3272.74,3050.59,-2639.206298828125
42.8812,57,285000,63.2123,57,3298.12,2634.53,-2626.245849609375
43.1836,58,290000,64.1485,58,3240.15,2242.4,-2726.0302734375
43.3904,59,295000,66.4328,59,2782.97,1964.07,-2955.5283203125
45.7033,60,300000,67.2776,60,2641.42,2740.31,-2889.001953125
47.3372,61,305000,66.212,61,3662.88,2942.9,-2896.238037109375
48.6453,62,310000,67.2206,62,3520.17,2944.29,-3088.619140625
48.283,63,315000,67.5234,63,3472.89,3395.46,-3176.895263671875
42.6919,64,320000,64.8699,64,3131.37,2525.07,-3224.6640625
40.1101,65,325000,66.6123,65,3681.51,1971.01,-3327.304931640625
47.7087,66,330000,68.9144,66,4297.1,2947.06,-3240.83935546875
45.0924,67,335000,66.3891,67,2779.13,2963.39,-3343.684814453125
47.3609,68,340000,68.9012,68,3549.92,2357.64,-3354.379150390625
33.1572,69,345000,65.4104,69,3117.22,2977.84,-3752.5986328125
38.1708,70,350000,66.6748,70,2536.01,1972.27,-3645.974365234375
61.8478,71,355000,73.1632,71,4498.15,3733.24,-3525.42724609375
42.4004,72,360000,67.2125,72,4144.88,3492.53,-3786.66748046875
38.4923,73,365000,67.9417,73,3581.3,3328.4,-3899.3486328125
59.1837,74,370000,75.9163,74,3929.96,3505.11,-3666.2109375
57.2855,75,375000,74.0989,75,4599.58,3328.84,-3789.8857421875
53.3937,76,380000,71.5016,76,4343.61,3236.09,-3921.76611328125
56.1848,77,385000,70.377,77,4808.5,4347.97,-4024.364013671875
53.8307,78,390000,70.6806,78,4282.8,4015.32,-4092.18212890625
60.95,79,395000,77.9802,79,4146.34,3758.29,-4077.10400390625
62.7226,80,400000,78.2287,80,4826.24,4351.8,-4171.6982421875
65.4395,81,405000,78.8742,81,4368.78,4101.88,-4262.5087890625
45.9432,82,410000,68.5071,82,3777.05,2980.29,-4429.6328125
64.3,83,415000,76.8535,83,4491.29,4221.94,-4331.28759765625
65.7322,84,420000,79.9199,84,4332.22,4264.06,-4660.576171875
63.2669,85,425000,78.9012,85,4161.71,3937.59,-4543.82177734375
53.3829,86,430000,71.6042,86,4094.86,3274.81,-4706.0400390625
67.7175,87,435000,77.8073,87,4247.7,3900.69,-4734.896484375
55.9668,88,440000,72.1537,88,3717.27,3556.73,-4853.06640625
52.1882,89,445000,71.4708,89,4305.8,3832.9,-5000.916015625
66.6479,90,450000,78.7398,90,4635.83,4335.78,-5016.02392578125
60.5734,91,455000,73.133,91,4018.83,3633.16,-5161.8662109375
54.853,92,460000,71.0886,92,3685.11,3611.36,-5079.513671875
66.6646,93,465000,75.5893,93,3476.84,3718.92,-5235.1083984375
73.6507,94,470000,81.6988,94,4762.27,4478.09,-5386.12548828125
63.9475,95,475000,78.0795,95,4545.07,3504.65,-5458.3642578125
57.494,96,480000,72.0099,96,4535.51,4015.5,-5514.75732421875
65.7451,97,485000,74.7657,97,4482.83,4350.57,-5678.64501953125
66.3792,98,490000,78.9166,98,4778.59,4394.84,-5827.1025390625
71.0026,99,495000,82.7991,99,4847.66,4229.98,-5944.79248046875
70.2611,100,500000,81.2943,100,4761.72,3784.77,-5881.34228515625
64.153,101,505000,73.1054,101,4226.77,3596.79,-5977.71337890625
63.7961,102,510000,75.0513,102,4580.87,4642.28,-6210.69287109375
67.5375,103,515000,75.2203,103,4464.5,4467.62,-6334.880859375
64.6338,104,520000,74.1292,104,4995.99,4807.98,-6445.00830078125
75.6088,105,525000,80.4748,105,4545.73,4324.14,-6542.37109375
68.8699,106,530000,76.9683,106,4491.76,3777.99,-6705.7138671875
