Running Forward KL,Real Det Return,Running Update Time,Itration,Running Env Steps,Running Reverse KL,Reward Loss,Real Sto Return
31.223,202.94,0,0,0,17.7137,-1020.9209594726562,206.0
31.1437,273.17,1,1,5000,34.8385,-1446.6982421875,277.18
29.8801,247.03,2,2,10000,21.3531,-1413.943359375,271.24
29.1132,354.53,3,3,15000,16.0204,-1282.098876953125,342.22
28.4536,354.78,4,4,20000,15.2908,-1253.1256103515625,348.96
28.3916,375.11,5,5,25000,19.1421,-1478.321533203125,358.67
25.6698,397.44,6,6,30000,34.2815,-1731.75439453125,387.13
26.2364,436.26,7,7,35000,34.4437,-1768.9039306640625,414.72
26.711,417.41,8,8,40000,24.6477,-1703.54150390625,402.73
26.5258,543.79,9,9,45000,38.5335,-1828.8072509765625,538.31
26.3826,663.53,10,10,50000,34.0629,-1773.709716796875,644.66
26.4959,642.79,11,11,55000,26.3356,-1756.303955078125,684.17
27.779,681.63,12,12,60000,18.9625,-1574.929443359375,692.86
27.352,919.44,13,13,65000,15.0647,-1399.102294921875,966.49
26.5128,761.11,14,14,70000,19.9994,-1605.0849609375,763.26
26.9267,649.41,15,15,75000,18.0052,-1720.3109130859375,714.06
25.9431,820.93,16,16,80000,15.1088,-1544.481201171875,735.61
26.164,760.11,17,17,85000,17.1511,-1623.7554931640625,733.66
25.2811,1035.59,18,18,90000,15.5077,-1365.4591064453125,1084.46
25.8266,1041.39,19,19,95000,16.2486,-1372.928466796875,943.33
25.6912,1032.6,20,20,100000,17.0143,-1588.997314453125,930.81
25.3854,1262.57,21,21,105000,14.5128,-1253.649169921875,1389.8
24.6249,3059.29,22,22,110000,15.4973,-1017.7880249023438,1653.09
25.564,2874.26,23,23,115000,17.1894,-544.552490234375,2737.83
24.9472,3086.59,24,24,120000,15.372,-831.2002563476562,2389.36
24.5913,3026.35,25,25,125000,15.4489,-828.6984252929688,2582.65
24.6126,1960.37,26,26,130000,15.4528,-1196.2918701171875,1817.44
25.2648,2667.06,27,27,135000,15.9156,-773.2017822265625,2605.52
24.8053,2994.92,28,28,140000,16.7977,-593.8312377929688,2817.22
25.8249,3081.94,29,29,145000,15.7447,-1580.3394775390625,1563.81
25.2467,3166.87,30,30,150000,17.8859,-1534.11669921875,1710.56
23.9105,2989.04,31,31,155000,16.0986,-571.245361328125,2947.06
24.4557,3007.25,32,32,160000,16.1859,-571.5947265625,2842.82
23.9664,3001.21,33,33,165000,16.4416,-498.3903503417969,3001.96
24.6312,3137.41,34,34,170000,17.5641,-1245.3983154296875,2063.06
24.7018,3065.06,35,35,175000,14.2209,-1161.6278076171875,2470.17
24.1902,2959.12,36,36,180000,15.6421,-1184.158935546875,2715.38
24.4348,3039.86,37,37,185000,15.7023,-591.9061889648438,2988.94
23.6978,2183.13,38,38,190000,13.1581,-1632.356689453125,1352.67
23.7419,3172.97,39,39,195000,16.489,-1428.109619140625,2072.43
23.6532,3192.05,40,40,200000,15.0816,-1039.322509765625,2358.57
23.2899,3035.26,41,41,205000,14.4952,-849.5759887695312,2783.58
23.2077,3117.11,42,42,210000,15.231,-601.2020263671875,2826.26
22.6916,3099.2,43,43,215000,14.8367,-490.056396484375,3097.88
22.8904,3190.25,44,44,220000,14.3947,-1326.9649658203125,1831.5
23.1928,3169.28,45,45,225000,16.1631,-487.9732360839844,3163.05
23.038,3189.85,46,46,230000,14.0326,-979.1842651367188,2697.88
22.3475,3181.85,47,47,235000,15.194,-975.624267578125,2650.83
22.4258,3207.2,48,48,240000,15.4473,-836.2271118164062,2582.81
23.7458,1766.32,49,49,245000,45.8096,-2211.018310546875,1318.26
23.8383,3212.77,50,50,250000,15.8944,-1732.42529296875,1768.9
22.3795,3213.48,51,51,255000,14.8817,-795.4132080078125,2987.35
22.2708,3221.82,52,52,260000,14.0485,-957.8154907226562,2623.94
21.7531,3249.86,53,53,265000,14.0317,-1322.7718505859375,2348.73
21.1358,3209.72,54,54,270000,13.8168,-1004.49462890625,2848.01
21.1278,3250.61,55,55,275000,14.1617,-809.1302490234375,3049.35
21.4593,3223.59,56,56,280000,13.9682,-1110.740966796875,2226.82
21.6342,3206.8,57,57,285000,14.6741,-1720.2215576171875,1968.16
21.2756,3233.75,58,58,290000,14.2219,-816.0738525390625,2911.67
21.9112,3249.89,59,59,295000,14.2015,-873.24169921875,3201.47
20.4343,3262.78,60,60,300000,13.4065,-637.0626831054688,3258.13
20.9814,3217.87,61,61,305000,13.9983,-789.397216796875,2914.51
21.6115,3254.26,62,62,310000,14.0425,-763.9303588867188,2408.37
20.9734,3272.25,63,63,315000,13.9523,-522.9775390625,2796.6
20.5741,3237.88,64,64,320000,13.9581,-915.0763549804688,2549.69
21.4116,3255.78,65,65,325000,14.5375,-1104.7962646484375,2448.86
20.6167,3226.63,66,66,330000,14.0834,-1077.4361572265625,2954.69
20.8103,3290.25,67,67,335000,13.6679,-729.2943115234375,3057.3
21.7959,3270.14,68,68,340000,15.2262,-1722.8719482421875,2578.11
20.6431,3294.85,69,69,345000,14.3018,-1134.43212890625,2179.85
20.8266,3246.66,70,70,350000,14.0204,-782.6570434570312,3158.8
20.4248,3268.61,71,71,355000,14.8073,-1602.314697265625,3059.17
21.4888,3307.91,72,72,360000,16.0648,-1594.368408203125,2761.82
19.6796,3282.89,73,73,365000,12.863,-924.1329345703125,2994.55
20.3688,3286.53,74,74,370000,13.4589,-941.2617797851562,2626.59
20.4071,3275.82,75,75,375000,13.8513,-1303.34814453125,2865.34
19.6494,3324.16,76,76,380000,12.6949,-1077.4822998046875,3005.19
19.9001,3266.33,77,77,385000,13.8121,-1060.3360595703125,3013.19
20.6699,3260.97,78,78,390000,14.1178,-1068.506103515625,2932.19
19.9948,3265.08,79,79,395000,13.311,-835.8843994140625,3004.03
20.3747,3316.28,80,80,400000,13.8832,-1062.48876953125,3046.02
20.0723,3272.64,81,81,405000,13.8504,-1017.3071899414062,2604.49
