Running Env Steps,Real Det Return,Real Sto Return,Itration,Running Forward KL,Reward Loss,Running Reverse KL,Running Update Time
0,66.67,308.1,0,49.4254,838.458251953125,13.4025,0
5000,292.78,356.02,1,49.4532,842.343017578125,21.6358,1
10000,337.37,304.53,2,49.5401,849.5885620117188,28.2394,2
15000,374.12,279.48,3,49.5515,684.588134765625,14.2252,3
20000,398.29,354.01,4,49.6074,604.2401733398438,14.5563,4
25000,532.75,461.07,5,48.6856,630.447998046875,15.2358,5
30000,1174.76,1003.07,6,47.1499,491.4448547363281,12.5628,6
35000,421.86,474.16,7,48.6431,364.88970947265625,13.9187,7
40000,477.17,443.46,8,47.5321,443.2635803222656,14.7626,8
45000,859.65,606.19,9,46.9992,329.1036071777344,13.2051,9
50000,625.79,676.72,10,47.1458,458.0408630371094,14.6584,10
55000,549.77,602.71,11,46.9961,220.60984802246094,13.214,11
60000,1829.33,1261.43,12,47.5819,128.00149536132812,12.9704,12
65000,631.64,651.28,13,47.6395,97.09322357177734,15.1698,13
70000,1529.02,1238.8,14,46.8827,43.65818405151367,12.7591,14
75000,-3.88,55.23,15,52.8236,262.5648498535156,17.8202,15
80000,683.47,1145.92,16,45.6704,48.561058044433594,11.8814,16
85000,2066.73,1905.79,17,46.2761,-57.88759994506836,12.6147,17
90000,1997.39,1626.69,18,46.4153,-102.97064208984375,13.4443,18
95000,2318.06,2066.43,19,45.2127,-139.4564666748047,13.9453,19
100000,1710.97,2186.27,20,46.1404,-90.4134750366211,16.0271,20
105000,2430.46,2395.14,21,46.0848,-202.27059936523438,13.429,21
110000,1509.01,2420.76,22,45.8763,-265.54913330078125,13.3782,22
115000,2724.35,2680.17,23,45.0083,-227.6314239501953,13.4601,23
120000,2901.6,2865.82,24,44.6982,-207.15789794921875,14.4512,24
125000,2979.15,3003.95,25,43.8537,-295.4280090332031,11.8985,25
130000,2517.79,2529.35,26,44.3717,-245.43374633789062,14.0168,26
135000,3060.48,2927.48,27,43.8667,-273.39617919921875,13.6401,27
140000,3360.38,3239.14,28,43.0928,-312.68511962890625,14.3651,28
145000,3290.37,3200.65,29,43.0015,-303.6424255371094,12.7719,29
150000,3583.29,3428.93,30,43.2753,-370.2191162109375,16.6494,30
155000,4053.93,3687.55,31,41.9471,-354.76019287109375,15.3139,31
160000,3791.78,3840.27,32,41.8063,-438.49981689453125,14.9561,32
165000,3751.85,3781.06,33,42.2335,-454.1976623535156,15.7735,33
170000,3926.7,3706.24,34,41.8181,-436.966064453125,14.9808,34
175000,4019.41,3874.67,35,41.5976,-378.02008056640625,14.6217,35
180000,3933.33,3986.38,36,41.4189,-475.92120361328125,15.861,36
185000,4420.13,4246.13,37,40.2418,-370.19720458984375,15.4799,37
190000,4282.54,4144.92,38,39.7272,-393.4040832519531,14.0739,38
195000,4106.68,3931.93,39,41.0477,-463.70849609375,15.658,39
200000,4423.62,4109.53,40,39.8158,-463.8697509765625,13.8124,40
205000,4284.53,4149.77,41,39.0226,-377.6187744140625,13.7895,41
210000,4395.36,4265.16,42,39.4841,-411.50396728515625,15.2553,42
215000,3330.81,4129.31,43,39.1154,-405.67523193359375,14.5455,43
220000,4540.37,4390.34,44,38.946,-424.96319580078125,14.6766,44
225000,4572.26,4477.47,45,39.3065,-448.1486511230469,15.9868,45
230000,4442.48,4402.85,46,38.0969,-504.35345458984375,14.5355,46
235000,4347.3,4305.93,47,38.9715,-529.9877319335938,12.4376,47
240000,4279.82,4306.82,48,38.1775,-537.4612426757812,13.6301,48
245000,4486.3,4437.78,49,38.8796,-498.14892578125,12.7833,49
250000,4409.25,4077.08,50,39.5309,-650.1537475585938,11.9875,50
255000,4474.25,4286.46,51,38.0249,-490.7283630371094,12.1786,51
260000,4449.13,4340.57,52,38.9845,-600.5449829101562,14.1504,52
265000,4348.54,4233.52,53,38.264,-702.5864868164062,13.8582,53
270000,4453.97,4478.32,54,38.0004,-584.4990234375,13.34,54
275000,4615.26,4479.08,55,39.5284,-562.1176147460938,15.414,55
280000,4657.87,4421.13,56,39.0148,-610.3727416992188,14.5989,56
285000,4460.41,4351.16,57,39.3024,-579.19287109375,15.5393,57
290000,4610.49,4502.17,58,39.1575,-684.5531005859375,13.8515,58
295000,4692.15,4519.73,59,38.2602,-605.7794799804688,14.6487,59
300000,4700.1,4500.42,60,38.5021,-633.9927978515625,13.5252,60
305000,4646.71,4494.22,61,37.9204,-597.1234741210938,14.5934,61
310000,4618.55,4474.14,62,38.3423,-614.446533203125,14.6402,62
315000,4590.44,4513.37,63,37.7558,-690.4937744140625,12.9948,63
320000,4709.09,4542.32,64,38.2148,-691.6572875976562,12.9514,64
325000,4639.23,4512.67,65,38.8075,-669.0801391601562,15.1689,65
330000,2654.02,4263.86,66,39.911,-1100.2999267578125,13.1336,66
335000,4638.31,4612.89,67,38.1795,-695.3628540039062,12.4806,67
340000,4498.05,4326.72,68,39.9365,-862.001953125,15.8514,68
345000,1360.61,3691.1,69,38.6701,-1109.2603759765625,14.5748,69
350000,4684.06,4567.52,70,39.6121,-781.2099609375,15.5483,70
355000,4705.66,4522.82,71,38.0127,-744.076171875,13.6527,71
360000,4625.07,4534.8,72,37.6766,-826.5845336914062,12.2554,72
365000,4117.81,4542.56,73,38.9391,-875.6746215820312,14.1,73
370000,2977.06,4493.07,74,37.6622,-1044.8875732421875,13.7956,74
375000,2860.34,3728.89,75,38.9868,-1081.1397705078125,14.3299,75
380000,3428.39,4487.68,76,37.7835,-977.5054321289062,13.0515,76
385000,4803.98,4688.92,77,38.9176,-1032.642822265625,13.8723,77
390000,1340.55,3024.39,78,38.5276,-1250.069580078125,11.6342,78
395000,4664.83,4577.0,79,37.2513,-979.766357421875,12.6057,79
400000,4739.41,4316.4,80,38.3282,-1094.2752685546875,15.2237,80
405000,4051.89,4511.99,81,36.6123,-1277.0975341796875,12.7798,81
410000,4790.93,4667.83,82,37.7354,-1039.11376953125,13.2294,82
415000,4872.38,4556.06,83,38.0524,-1192.2294921875,13.5125,83
420000,4771.26,4568.14,84,37.6028,-1023.4495239257812,13.3602,84
425000,4757.21,4415.12,85,38.4476,-1043.07666015625,15.6689,85
430000,4688.81,4590.73,86,39.2492,-1124.4844970703125,15.4015,86
435000,4724.08,4646.38,87,38.3347,-1129.298583984375,14.7882,87
440000,4691.08,4615.81,88,37.6229,-1122.6968994140625,13.5556,88
445000,4600.23,4566.49,89,39.2828,-1247.0108642578125,14.6274,89
450000,4749.17,4558.68,90,37.797,-1234.987060546875,14.0864,90
455000,4724.1,4670.28,91,37.5917,-1173.3067626953125,14.4805,91
460000,5064.07,4590.1,92,36.9453,-1498.003173828125,12.555,92
465000,4728.23,4652.3,93,37.95,-1220.772705078125,13.6906,93
470000,4711.61,4580.13,94,37.6585,-1345.0638427734375,12.7308,94
475000,4809.01,4508.98,95,37.7251,-1308.3465576171875,13.2958,95
480000,4805.91,4740.05,96,36.7184,-1190.355224609375,13.3264,96
485000,4580.16,4685.74,97,36.8472,-1303.712158203125,12.5459,97
490000,4781.74,4700.19,98,37.4241,-1391.3236083984375,13.5808,98
495000,4665.33,4622.46,99,37.5215,-1354.1329345703125,13.3821,99
500000,4625.0,4661.35,100,37.7916,-1371.62451171875,14.3865,100
505000,4807.37,4701.73,101,38.1521,-1400.452880859375,14.4078,101
510000,4656.73,4733.19,102,37.0397,-1444.5743408203125,13.9584,102
515000,4776.28,4745.37,103,36.216,-1360.3228759765625,12.7485,103
520000,4664.86,4663.5,104,36.5797,-1406.4403076171875,13.4098,104
525000,4822.39,4544.35,105,38.1475,-1507.86328125,14.8164,105
530000,4775.83,4762.6,106,36.1444,-1539.8433837890625,12.1919,106
535000,4764.25,4354.17,107,36.5566,-1441.4815673828125,12.4714,107
540000,4854.46,4647.26,108,36.3226,-1529.8916015625,12.4665,108
545000,4761.75,4764.25,109,37.0909,-1523.8748779296875,12.8521,109
550000,4728.56,4722.13,110,36.8644,-1616.077392578125,12.7848,110
555000,4753.67,4182.54,111,37.9761,-1823.39404296875,13.1729,111
560000,4832.16,4735.89,112,37.1938,-1695.31005859375,12.4596,112
565000,4623.63,3424.83,113,38.1257,-1850.5458984375,14.8967,113
570000,4936.95,4906.92,114,36.254,-1579.05322265625,12.2801,114
575000,4820.14,4746.92,115,36.9453,-1761.2364501953125,12.6751,115
580000,4753.46,4227.72,116,37.7274,-1892.884033203125,14.6213,116
585000,4775.47,4765.87,117,36.443,-1684.079345703125,12.9482,117
590000,4707.32,4568.18,118,37.6615,-1899.64697265625,12.1341,118
595000,5133.82,4865.77,119,37.2414,-1804.059326171875,13.456,119
600000,4782.73,4713.64,120,37.0543,-1778.89453125,12.2624,120
605000,4799.27,4766.19,121,36.0482,-1755.87890625,12.887,121
610000,4816.0,4794.87,122,36.7835,-1815.2991943359375,12.3229,122
615000,4874.92,4867.53,123,36.4444,-1683.2952880859375,12.9444,123
620000,4766.29,4678.03,124,35.9797,-1654.504638671875,12.6657,124
625000,4733.69,4770.63,125,35.788,-1839.968505859375,12.888,125
630000,4856.32,4760.65,126,37.3996,-2039.7767333984375,13.2859,126
635000,4804.15,4683.15,127,35.7374,-1784.4732666015625,11.9263,127
640000,4915.46,4364.09,128,35.2397,-1735.79736328125,12.0652,128
645000,4860.1,4805.32,129,36.5665,-1968.5919189453125,12.3693,129
650000,4993.16,4892.64,130,35.371,-1789.472900390625,11.8327,130
655000,4826.27,4836.55,131,35.5488,-1916.8232421875,12.2046,131
660000,4947.39,4887.85,132,36.4767,-1921.1673583984375,12.8704,132
665000,4738.59,4738.41,133,36.0031,-2023.733154296875,12.7112,133
670000,4894.15,4824.38,134,34.5377,-1907.900146484375,12.3114,134
675000,4858.95,4798.84,135,36.9627,-2086.426025390625,13.0528,135
680000,4924.82,4810.16,136,36.8794,-2097.94189453125,12.8652,136
685000,4961.0,4811.35,137,36.029,-2042.3873291015625,12.4153,137
690000,5136.84,4711.5,138,36.7501,-2154.815185546875,13.1512,138
695000,4855.61,4729.01,139,35.244,-1885.4326171875,11.0682,139
700000,4666.27,4759.32,140,35.0107,-2110.16650390625,11.9724,140
705000,5010.02,4881.17,141,36.7347,-2227.40234375,15.3172,141
