Running Env Steps,Running Forward KL,Real Sto Return,Reward Loss,Running Reverse KL,Itration,Running Update Time,Real Det Return
0,31.8961,223.79,-1197.769287109375,22.1289,0,0,214.45
5000,29.5767,272.05,-996.3796997070312,14.3643,1,1,261.63
10000,29.3897,229.69,-1284.37158203125,14.4249,2,2,236.8
15000,30.0224,311.21,-1341.216552734375,16.6317,3,3,310.84
20000,27.8431,329.15,-890.0733642578125,19.237,4,4,315.67
25000,27.454,464.67,-1202.388671875,29.0555,5,5,478.33
30000,27.6135,315.19,-1259.3126220703125,30.911,6,6,524.46
35000,25.6126,433.03,-1177.1632080078125,25.8134,7,7,496.16
40000,25.9512,462.49,-905.2091064453125,39.273,8,8,434.51
45000,23.5092,946.9,-960.556396484375,17.1932,9,9,1376.72
50000,25.6886,609.62,-1260.175048828125,29.4574,10,10,434.07
55000,26.3349,473.46,-1609.4188232421875,16.0571,11,11,447.0
60000,26.2303,699.49,-1459.1680908203125,13.3951,12,12,793.39
65000,25.7435,909.33,-1362.68798828125,13.0206,13,13,940.42
70000,25.7152,1129.18,-1185.0426025390625,12.2463,14,14,1282.64
75000,26.2037,565.47,-1455.0196533203125,19.8513,15,15,892.76
80000,25.6208,727.8,-1618.5887451171875,15.9437,16,16,703.06
85000,24.0918,878.08,-1128.5906982421875,11.3567,17,17,290.87
90000,25.6103,971.94,-1512.6917724609375,12.5014,18,18,1676.83
95000,24.5792,939.87,-1458.7216796875,12.1167,19,19,755.88
100000,24.6054,1378.69,-1284.0634765625,11.6239,20,20,975.83
105000,24.3149,2791.51,-819.1329345703125,13.289,21,21,2698.47
110000,24.2963,2332.92,-683.072998046875,13.1909,22,22,2890.44
115000,24.0838,2074.15,-1037.867431640625,13.2244,23,23,2974.99
120000,23.5257,1895.14,-1134.000732421875,13.3886,24,24,3050.35
125000,23.6074,2537.0,-617.9503784179688,13.3717,25,25,2766.67
130000,23.5405,2813.01,-441.0867004394531,13.2226,26,26,2826.18
135000,23.1459,2427.39,-1082.312255859375,14.1353,27,27,2945.68
140000,22.847,2966.8,-444.6599426269531,13.4128,28,28,2920.82
145000,23.5232,2918.09,-473.8863525390625,14.1544,29,29,2851.4
150000,22.6716,2920.5,-462.76556396484375,13.2453,30,30,2867.03
155000,23.3589,3033.55,-284.7373046875,14.1711,31,31,3120.95
160000,22.6756,2869.16,-923.7546997070312,12.8114,32,32,3197.81
165000,24.4906,3047.99,-432.6068115234375,14.122,33,33,3007.73
170000,24.4858,3063.1,-458.87017822265625,14.2563,34,34,3089.79
175000,23.4536,3012.8,-383.2681579589844,14.8032,35,35,3100.05
180000,23.4677,2466.37,-977.5789794921875,14.8855,36,36,3276.81
185000,23.6365,3105.77,-435.4455261230469,13.731,37,37,3118.85
190000,22.0877,1930.92,-904.1000366210938,12.6265,38,38,3268.54
195000,23.0573,2162.48,-1191.1806640625,17.1504,39,39,3213.83
200000,22.7282,2797.6,-450.4930114746094,12.6807,40,40,3254.86
205000,23.242,3108.01,-711.3196411132812,18.2204,41,41,3219.42
210000,23.8575,3178.39,-475.0288391113281,14.2385,42,42,3209.03
215000,23.3453,3190.66,-416.0261535644531,13.6081,43,43,3212.06
220000,22.1511,1773.97,-1357.0235595703125,16.7524,44,44,3214.25
225000,24.8748,3157.89,-486.7647705078125,14.8581,45,45,3146.18
230000,22.2584,3255.44,-351.2916259765625,13.5392,46,46,3255.74
235000,22.2062,3192.36,-427.8476867675781,13.1803,47,47,3208.15
240000,21.8596,2415.37,-842.3689575195312,10.9136,48,48,3345.2
245000,22.2948,3249.09,-423.69207763671875,13.6897,49,49,3235.67
250000,20.9732,2548.49,-1047.6357421875,14.6424,50,50,3301.8
255000,22.4485,3217.5,-414.371337890625,13.5759,51,51,3235.1
260000,21.7169,3020.19,-703.0327758789062,12.4261,52,52,3302.17
