Running Reverse KL,Running Forward KL,Itration,Running Update Time,Real Sto Return,Real Det Return,Running Env Steps,Reward Loss
29.2085,33.3504,0,0,201.6,204.77,0,408.72125244140625
21.8608,31.5918,1,1,227.02,230.72,5000,292.8708801269531
17.8493,31.6158,2,2,262.47,293.02,10000,145.78916931152344
21.3282,31.7347,3,3,308.25,316.82,15000,211.95559692382812
20.7534,31.6877,4,4,319.03,320.69,20000,160.40093994140625
19.6993,31.5803,5,5,308.48,307.32,25000,138.66957092285156
18.2454,31.438,6,6,314.06,312.26,30000,74.71894836425781
14.6293,29.4195,7,7,369.03,378.76,35000,131.88818359375
17.3105,29.4855,8,8,333.87,342.19,40000,31.38935089111328
15.1805,26.4497,9,9,586.45,611.74,45000,19.087881088256836
14.4986,26.6662,10,10,534.48,574.19,50000,130.60604858398438
12.7367,26.3982,11,11,613.96,597.26,55000,79.73167419433594
13.606,25.7876,12,12,459.82,195.96,60000,21.858816146850586
14.7462,26.0595,13,13,634.03,631.6,65000,105.4368667602539
15.4344,25.1272,14,14,774.58,762.94,70000,54.515621185302734
14.1789,25.2943,15,15,752.66,749.74,75000,60.79029083251953
15.4208,23.6698,16,16,1104.54,1155.21,80000,38.211360931396484
14.7623,23.6987,17,17,1154.88,2480.48,85000,14.053014755249023
13.64,22.9161,18,18,1708.54,2981.52,90000,-33.06126403808594
12.9736,23.0057,19,19,1480.36,2941.43,95000,-45.823463439941406
13.0221,22.8817,20,20,1584.49,2877.17,100000,-85.5772933959961
12.5922,23.4959,21,21,1478.21,2268.1,105000,-119.54086303710938
12.235,22.3333,22,22,1594.66,2573.83,110000,-166.63528442382812
12.7985,22.7704,23,23,1787.72,3056.47,115000,-113.46955108642578
11.9476,22.9774,24,24,1508.34,3055.0,120000,-160.08331298828125
14.5799,22.3841,25,25,2334.97,3041.4,125000,-118.7541275024414
12.1727,23.2374,26,26,1311.85,2231.61,130000,-251.8397979736328
14.7836,22.6452,27,27,1813.08,3031.5,135000,-188.33229064941406
12.3589,22.8063,28,28,1300.17,2767.82,140000,-283.864990234375
14.1552,22.2029,29,29,2747.73,3015.92,145000,-172.46670532226562
13.5215,22.3946,30,30,2286.33,2539.07,150000,-169.78097534179688
17.5189,22.7299,31,31,1801.59,2638.46,155000,-196.68116760253906
18.007,24.0894,32,32,1727.97,2749.25,160000,-270.1955261230469
13.2246,23.5495,33,33,1190.77,1629.23,165000,-341.31494140625
13.4189,22.7891,34,34,1930.4,3052.55,170000,-227.7622833251953
18.2493,24.0242,35,35,1111.07,1198.34,175000,-193.41481018066406
14.8345,23.0595,36,36,3130.12,3099.71,180000,-217.96656799316406
12.2078,23.3418,37,37,1347.57,2065.02,185000,-366.3431396484375
18.548,23.8155,38,38,1021.47,1099.36,190000,-340.98736572265625
12.8537,22.8205,39,39,2055.67,3101.24,195000,-300.84710693359375
12.5793,22.2355,40,40,2499.2,3040.76,200000,-283.36627197265625
13.1282,23.5536,41,41,1485.75,2521.79,205000,-374.8075866699219
12.4258,22.6627,42,42,1946.58,3173.03,210000,-340.6794738769531
13.0804,22.2336,43,43,2821.82,3067.19,215000,-300.81854248046875
13.8394,22.703,44,44,2251.48,2427.16,220000,-264.1572570800781
14.9297,23.1611,45,45,2932.08,3083.28,225000,-268.4420166015625
11.9974,23.3709,46,46,1315.48,2604.38,230000,-326.4974670410156
14.1977,23.0658,47,47,2844.77,2931.0,235000,-318.6923522949219
12.7645,22.1893,48,48,2290.59,2102.97,240000,-317.3939514160156
14.1857,22.5154,49,49,3050.94,3109.86,245000,-317.0921630859375
14.2513,22.6712,50,50,2863.05,3124.13,250000,-335.7772216796875
14.1647,22.017,51,51,2666.16,3096.73,255000,-272.28369140625
12.898,22.1906,52,52,2341.41,3092.21,260000,-390.98919677734375
14.0884,22.4846,53,53,3076.1,3165.51,265000,-307.546875
12.6991,21.6666,54,54,2438.12,3151.78,270000,-358.8325500488281
13.7839,22.1795,55,55,3180.58,3168.44,275000,-372.8424072265625
12.928,22.0283,56,56,3181.44,3179.12,280000,-403.109619140625
16.4266,22.0012,57,57,3132.77,3198.72,285000,-382.6912536621094
12.349,21.5075,58,58,2192.07,3166.67,290000,-384.9000244140625
13.9854,22.3832,59,59,3181.98,3174.77,295000,-357.2187194824219
13.655,21.9772,60,60,2938.16,3219.87,300000,-368.4026794433594
14.141,22.3465,61,61,3042.74,3209.33,305000,-365.74114990234375
14.4038,21.8471,62,62,3202.51,3194.4,310000,-383.3574523925781
13.6345,21.4711,63,63,3166.54,3210.41,315000,-375.8505554199219
13.2316,21.137,64,64,3187.15,3217.1,320000,-430.5607604980469
13.8175,20.6602,65,65,3264.9,3274.54,325000,-368.51300048828125
14.04,21.3472,66,66,3215.79,3221.46,330000,-422.53594970703125
13.8768,20.8448,67,67,3240.64,3248.16,335000,-379.6292419433594
13.1115,20.8332,68,68,3220.86,3232.03,340000,-425.58013916015625
13.614,20.8523,69,69,3278.35,3295.74,345000,-393.13128662109375
13.3032,20.5019,70,70,3227.62,3294.71,350000,-386.6421203613281
