Itration,Running Env Steps,Running Update Time,Running Forward KL,Reward Loss,Real Sto Return,Real Det Return,Running Reverse KL
0,0,0,76.3182,45.86277770996094,-64.15,203.31,27.3449
1,5000,1,75.4909,29.63913917541504,-31.11,279.29,26.4002
2,10000,2,74.1201,19.18326759338379,-25.5,432.45,26.0967
3,15000,3,73.4861,5.144355773925781,10.29,570.72,26.5091
4,20000,4,72.5117,-9.486334800720215,31.13,588.52,27.5725
5,25000,5,73.608,-21.121307373046875,45.74,602.54,28.3735
6,30000,6,71.3926,-37.16973114013672,124.62,563.03,29.0676
7,35000,7,71.798,-48.337467193603516,94.54,663.77,29.776
8,40000,8,71.2455,-60.511512756347656,113.31,629.56,29.733
9,45000,9,72.8358,-71.02546691894531,116.53,504.63,30.5925
10,50000,10,72.5383,-86.45397186279297,118.36,714.92,31.0126
11,55000,11,70.8042,-94.71443176269531,99.03,689.99,30.4994
12,60000,12,71.9262,-109.55828094482422,116.14,764.52,30.3981
13,65000,13,70.7929,-115.59236145019531,146.0,653.79,29.6123
14,70000,14,70.3712,-133.76712036132812,126.94,671.54,30.6228
15,75000,15,70.5523,-143.1466064453125,103.36,651.71,29.9566
16,80000,16,70.9043,-155.23416137695312,106.53,650.95,30.3634
17,85000,17,70.9517,-167.26417541503906,162.11,700.34,30.6468
18,90000,18,71.8333,-185.6860809326172,178.99,753.29,30.7164
19,95000,19,66.5864,-183.28164672851562,184.38,731.43,29.7726
20,100000,20,70.5264,-208.08026123046875,183.67,820.44,31.3472
21,105000,21,69.0838,-215.20599365234375,181.02,584.67,29.9722
22,110000,22,68.7425,-226.70802307128906,217.46,835.32,30.3141
23,115000,23,67.6277,-239.92794799804688,191.38,775.04,29.5837
24,120000,24,71.6008,-255.58518981933594,211.39,753.68,30.1411
25,125000,25,71.0147,-265.90185546875,241.01,877.55,30.043
26,130000,26,69.6623,-274.04071044921875,197.94,810.43,29.5068
27,135000,27,68.5616,-285.75372314453125,225.6,834.62,28.6022
28,140000,28,72.123,-305.7224426269531,162.45,791.96,30.284
29,145000,29,67.5292,-308.4647521972656,236.38,1021.19,28.8191
30,150000,30,71.9265,-336.4271240234375,251.01,875.63,30.8332
31,155000,31,66.6432,-337.7522277832031,289.57,902.22,28.5327
32,160000,32,69.039,-358.2832946777344,224.25,883.02,30.0175
33,165000,33,71.5207,-372.4721374511719,308.85,844.11,29.9563
34,170000,34,71.6153,-385.3431396484375,238.4,850.74,30.9922
35,175000,35,69.2053,-393.24383544921875,234.47,804.02,29.5951
36,180000,36,72.5248,-417.5783996582031,253.2,933.56,30.4552
37,185000,37,72.6859,-435.3847961425781,229.48,1002.72,31.0086
38,190000,38,71.9426,-439.23138427734375,242.34,851.92,30.3526
39,195000,39,67.6518,-453.8421325683594,271.98,942.02,29.0525
40,200000,40,68.8191,-459.4078063964844,278.49,872.09,29.767
41,205000,41,67.1556,-466.6084899902344,326.52,890.61,28.6619
42,210000,42,67.5071,-493.42425537109375,364.28,1085.82,30.1268
43,215000,43,66.5258,-499.97235107421875,346.35,981.21,29.6088
44,220000,44,69.552,-526.567626953125,302.51,980.92,30.9192
45,225000,45,65.441,-524.7030029296875,300.38,986.27,28.2433
46,230000,46,65.403,-535.1597900390625,402.92,1170.13,29.1239
47,235000,47,65.7581,-542.6788940429688,337.19,1116.21,29.1083
48,240000,48,66.3737,-568.8168334960938,338.67,1046.24,28.747
49,245000,49,68.798,-593.8071899414062,302.16,871.76,30.297
50,250000,50,67.6475,-604.4871215820312,305.97,972.38,28.964
51,255000,51,66.8358,-610.432373046875,438.12,1115.85,28.629
52,260000,52,67.879,-634.5625,313.23,939.85,29.3397
53,265000,53,65.7815,-644.4539794921875,284.82,1148.95,28.7057
54,270000,54,62.4112,-628.5504150390625,438.87,1314.61,26.5511
55,275000,55,64.3043,-662.651611328125,453.61,1277.32,28.5672
56,280000,56,63.9165,-665.1481323242188,377.18,988.54,27.5935
57,285000,57,59.5114,-635.8330688476562,625.79,1151.59,25.4609
58,290000,58,63.8465,-679.3401489257812,604.63,1190.75,27.9872
59,295000,59,65.0654,-723.9697875976562,410.67,1196.49,28.4697
60,300000,60,66.5107,-746.578857421875,486.24,1199.52,28.3867
61,305000,61,63.6092,-736.471435546875,392.76,1131.59,26.5436
62,310000,62,63.3125,-755.5753173828125,389.23,948.92,27.8025
63,315000,63,67.5498,-806.6851196289062,320.57,588.02,28.8113
64,320000,64,62.8454,-771.4312133789062,410.46,1003.19,26.3104
65,325000,65,66.9335,-825.5929565429688,424.41,1053.1,28.2085
66,330000,66,66.1653,-839.9271240234375,569.94,850.19,28.2941
67,335000,67,67.41,-872.4017333984375,417.18,802.17,28.7999
68,340000,68,64.7924,-871.4046020507812,533.29,1196.09,28.0415
69,345000,69,64.403,-860.4337158203125,657.71,876.09,27.0209
70,350000,70,62.9769,-872.3070068359375,847.1,1432.98,26.6999
71,355000,71,67.7219,-945.4229736328125,553.52,1060.43,29.0974
72,360000,72,63.9557,-931.171875,467.67,1116.24,27.9756
73,365000,73,63.2197,-912.3738403320312,522.39,1324.73,26.0074
74,370000,74,65.0873,-977.4318237304688,725.35,1874.53,27.2526
75,375000,75,62.0128,-902.0538330078125,597.7,1145.31,26.5561
76,380000,76,63.5773,-996.1283569335938,564.62,1261.06,26.1702
77,385000,77,60.6407,-909.1436157226562,560.62,1196.97,25.799
78,390000,78,60.2803,-964.6984252929688,802.79,1696.71,25.9737
79,395000,79,61.6622,-975.15966796875,1022.62,1767.9,25.8923
80,400000,80,57.5191,-893.7291870117188,1069.31,1821.49,25.7141
81,405000,81,62.2559,-1032.2275390625,923.15,1999.12,26.3532
82,410000,82,58.9054,-977.3843383789062,925.65,2144.42,23.5026
83,415000,83,60.5873,-1007.0210571289062,1026.92,1914.67,25.4021
84,420000,84,59.6373,-1044.5968017578125,936.05,1565.38,24.0197
85,425000,85,60.2773,-1002.925537109375,1411.93,2197.65,26.5141
86,430000,86,60.6565,-1111.72998046875,631.68,1932.32,24.6146
87,435000,87,58.7902,-1050.0828857421875,1182.19,2422.14,23.5769
88,440000,88,58.9549,-1068.982177734375,1184.07,2168.38,24.1248
89,445000,89,55.4173,-997.6116333007812,1148.87,2019.07,22.2439
90,450000,90,58.9039,-1094.39013671875,936.64,1737.15,22.9726
91,455000,91,56.9358,-1063.88037109375,1028.89,2084.26,23.3144
92,460000,92,58.2981,-1126.4864501953125,1290.11,1849.94,24.6275
93,465000,93,57.5763,-1057.86181640625,1497.87,2201.29,26.2201
94,470000,94,62.5459,-1105.3255615234375,1459.38,2510.26,29.5246
95,475000,95,60.3597,-1174.3731689453125,1147.83,1531.93,23.8324
96,480000,96,60.6935,-1194.677978515625,1289.85,2209.08,26.7893
97,485000,97,59.3608,-1160.8765869140625,993.07,1817.2,24.6862
98,490000,98,60.4247,-1206.024658203125,1303.65,2263.5,25.9231
99,495000,99,59.8102,-1193.92333984375,1287.1,1772.49,26.2912
100,500000,100,60.9717,-1289.1705322265625,1437.69,2520.85,25.9957
101,505000,101,58.4738,-1180.28466796875,1197.77,2016.05,26.0224
102,510000,102,57.7591,-1320.1368408203125,600.25,1021.16,22.5255
103,515000,103,60.3745,-1301.830078125,1404.36,2074.51,25.5616
104,520000,104,60.6197,-1315.244384765625,1291.04,2345.43,26.0328
105,525000,105,61.0726,-1343.2861328125,1832.73,2774.23,26.2631
106,530000,106,59.8174,-1273.9212646484375,1179.43,2014.76,24.638
107,535000,107,62.2705,-1202.016845703125,1892.19,2987.78,33.3133
108,540000,108,63.2079,-1237.974365234375,1904.67,3013.6,34.2964
109,545000,109,65.7452,-1184.9132080078125,2277.2,2828.32,41.2787
110,550000,110,61.1043,-1311.9288330078125,1931.66,2995.23,29.9906
111,555000,111,62.1617,-1245.4920654296875,2000.65,2768.8,36.8546
112,560000,112,61.2308,-1273.005126953125,1553.11,2774.94,31.1059
113,565000,113,63.7247,-1438.6661376953125,1984.35,3111.04,30.7496
114,570000,114,66.7816,-1276.4937744140625,2443.03,3026.01,41.1401
115,575000,115,66.7242,-1260.307861328125,2177.8,3153.6,38.2576
116,580000,116,62.1112,-1401.2965087890625,1570.61,2649.38,27.9091
117,585000,117,65.4265,-1463.3533935546875,2301.53,3059.06,37.7471
118,590000,118,60.8344,-1452.7928466796875,764.6,2688.28,29.0984
119,595000,119,63.9819,-1490.50244140625,1815.28,2796.5,32.2703
120,600000,120,62.5009,-1356.97314453125,2239.08,3287.53,34.1829
121,605000,121,67.8848,-1472.702880859375,1829.27,2687.24,38.3001
122,610000,122,66.3664,-1332.102294921875,2502.61,3626.84,38.5102
123,615000,123,64.608,-1550.98486328125,2386.89,3706.59,34.269
124,620000,124,64.7363,-1412.5498046875,1974.36,3203.7,36.6917
125,625000,125,63.7203,-1484.6492919921875,1983.76,2783.57,32.7966
126,630000,126,64.957,-1481.4735107421875,2661.56,3933.92,36.2784
127,635000,127,64.1483,-1730.9031982421875,986.74,1915.53,28.6758
128,640000,128,63.006,-1526.7557373046875,2127.46,2657.2,33.2352
129,645000,129,64.3947,-1575.441650390625,2538.11,3311.57,35.2346
130,650000,130,68.2747,-1545.3751220703125,2360.66,2680.78,39.5546
