Running Update Time,Running Forward KL,Running Reverse KL,Running Env Steps,Real Sto Return,Real Det Return,Reward Loss,Itration
0,49.2025,13.4295,0,425.2,436.72,550.8681030273438,0
1,48.7782,17.9619,5000,418.75,331.79,-5.504702091217041,1
2,50.1939,25.5234,10000,363.3,397.22,-286.0172424316406,2
3,49.83,22.5337,15000,382.42,385.78,-135.65057373046875,3
4,49.6982,29.3459,20000,419.57,307.02,-338.8098449707031,4
5,48.8677,35.704,25000,483.68,473.77,-623.15185546875,5
6,49.1339,46.3939,30000,537.72,496.56,-660.0530395507812,6
7,48.3647,25.6641,35000,547.68,520.52,-239.1211700439453,7
8,47.7302,25.6911,40000,584.2,614.55,-2.2427196502685547,8
9,47.9607,17.9942,45000,761.2,810.98,-93.89398956298828,9
10,47.6,14.9003,50000,745.12,745.54,-130.23764038085938,10
11,47.9636,16.4227,55000,633.52,706.71,-229.41915893554688,11
12,47.7468,15.0249,60000,676.15,799.48,32.80060958862305,12
13,47.7372,38.9724,65000,848.79,798.71,-611.9443969726562,13
14,47.311,34.3756,70000,836.41,959.95,-702.177978515625,14
15,47.7242,17.883,75000,1135.06,945.34,-466.94537353515625,15
16,46.9585,19.2487,80000,1168.05,894.13,-613.4674072265625,16
17,46.2531,18.0197,85000,1213.09,1409.68,-589.8380737304688,17
18,45.8811,14.3473,90000,1965.42,1897.7,-568.208251953125,18
19,45.7566,14.3724,95000,2017.51,1706.83,-515.10205078125,19
20,46.1147,14.6011,100000,1989.44,1802.39,-566.3936767578125,20
21,45.9353,14.1383,105000,1671.45,1362.5,-682.513916015625,21
22,45.7284,13.6838,110000,1449.68,1744.16,-571.475830078125,22
23,45.6718,14.6339,115000,1748.66,1919.9,-568.2341918945312,23
24,44.9707,13.5855,120000,1899.27,1496.87,-816.8151245117188,24
25,45.5395,14.4457,125000,2134.25,2458.78,-784.6051025390625,25
26,46.2675,13.4998,130000,1621.31,1344.16,-739.2029418945312,26
27,45.661,13.8756,135000,1837.07,1660.51,-814.9170532226562,27
28,45.3188,15.8519,140000,1901.26,1370.93,-894.8661499023438,28
29,46.3278,15.9052,145000,1858.15,1523.28,-1118.4842529296875,29
30,45.6133,16.3863,150000,1704.99,1149.8,-1095.9239501953125,30
31,45.469,20.9142,155000,1793.66,1715.93,-1173.7105712890625,31
32,45.6865,18.2414,160000,2517.58,2655.31,-1237.2913818359375,32
33,44.7843,17.3613,165000,2213.65,2563.6,-993.0867309570312,33
34,45.2457,22.2205,170000,1752.42,1626.39,-1290.806396484375,34
35,45.1715,18.0561,175000,2631.4,3231.9,-1082.87939453125,35
36,45.3836,17.8292,180000,3120.98,3237.47,-1102.1175537109375,36
37,44.4321,16.2798,185000,2728.8,3414.74,-1020.3748779296875,37
38,44.8688,18.9121,190000,3016.26,2631.41,-1196.162353515625,38
39,45.204,17.5644,195000,3182.78,3170.67,-1270.7608642578125,39
40,44.977,17.2677,200000,3143.47,3449.53,-1194.1842041015625,40
41,44.9966,18.6398,205000,3265.18,3448.29,-1192.3505859375,41
42,44.9802,19.2028,210000,3400.14,3646.39,-1173.5584716796875,42
43,45.8948,21.4737,215000,3400.48,3576.36,-1279.6453857421875,43
44,46.1002,20.7674,220000,3491.98,3599.58,-1339.5159912109375,44
45,44.9773,19.6027,225000,3485.26,3552.18,-1299.562744140625,45
46,45.775,19.1825,230000,3463.08,3542.58,-1358.80224609375,46
47,45.2272,21.1686,235000,3586.61,3645.64,-1383.4844970703125,47
