Real Det Return,Itration,Reward Loss,Running Forward KL,Running Reverse KL,Real Sto Return,Running Env Steps,Running Update Time
305.98,0,-26088.580078125,432.3533,269.6099,280.92,0,0
335.56,1,-26387.3984375,459.8505,265.5671,327.43,5000,1
356.21,2,-25387.46875,449.4043,281.3119,356.62,10000,2
488.13,3,-26922.3671875,431.8776,238.7021,399.27,15000,3
492.34,4,-29062.01171875,429.2482,253.8059,438.3,20000,4
311.85,5,-32542.173828125,424.4658,291.9471,328.46,25000,5
366.03,6,-32313.1953125,412.0196,295.1927,382.83,30000,6
332.66,7,-34723.2109375,430.6982,308.5022,351.81,35000,7
491.8,8,-35500.15625,409.3815,270.5082,462.88,40000,8
457.31,9,-34700.1171875,432.0826,262.1353,509.37,45000,9
536.32,10,-37600.2109375,423.4756,272.7727,461.33,50000,10
464.81,11,-38906.1875,412.8861,264.943,541.43,55000,11
459.69,12,-38493.2890625,421.9875,262.642,467.43,60000,12
469.74,13,-41393.43359375,410.0282,258.7218,513.27,65000,13
429.18,14,-40750.71484375,399.5044,256.4019,525.69,70000,14
581.47,15,-40683.19140625,391.8955,242.3206,611.44,75000,15
506.36,16,-42882.6796875,396.2223,266.2674,520.51,80000,16
460.36,17,-44370.75390625,406.2596,259.1392,583.94,85000,17
507.44,18,-42646.2421875,380.5519,255.1695,601.8,90000,18
601.84,19,-41950.44140625,388.2816,227.9002,699.08,95000,19
480.06,20,-46155.8671875,397.076,241.4433,733.72,100000,20
538.04,21,-48270.78515625,402.8203,249.3122,704.98,105000,21
611.64,22,-47757.77734375,388.1372,250.6201,710.6,110000,22
649.91,23,-45610.14453125,383.3906,225.0428,688.27,115000,23
571.91,24,-50025.2421875,389.7663,255.4264,678.73,120000,24
584.25,25,-50136.82421875,395.0535,243.1493,672.49,125000,25
482.34,26,-51838.12890625,386.0454,257.7055,704.28,130000,26
393.84,27,-54698.203125,408.9174,278.7528,563.37,135000,27
539.49,28,-52609.80078125,385.2142,249.4056,701.19,140000,28
604.4,29,-54362.35546875,398.1684,267.6762,740.82,145000,29
461.34,30,-54485.03515625,386.3956,261.9818,749.81,150000,30
595.41,31,-52942.0390625,366.7941,230.9322,759.18,155000,31
537.16,32,-54664.3359375,368.9977,240.0863,906.09,160000,32
550.04,33,-55193.515625,375.8695,233.2657,757.23,165000,33
549.5,34,-56997.9296875,388.781,244.942,721.89,170000,34
583.78,35,-55600.796875,388.5797,231.7489,822.36,175000,35
618.03,36,-55705.90625,389.045,236.5415,763.54,180000,36
645.54,37,-57505.6484375,397.888,234.8671,891.56,185000,37
628.95,38,-58548.12890625,395.6472,237.7419,748.95,190000,38
638.35,39,-54198.32421875,388.2065,214.7441,944.1,195000,39
796.34,40,-54998.54296875,377.4282,217.9735,914.54,200000,40
702.38,41,-58755.2421875,380.4562,239.4483,850.96,205000,41
584.8,42,-60459.09375,399.5489,243.7363,803.06,210000,42
577.48,43,-60294.4921875,387.7963,246.241,825.17,215000,43
631.09,44,-52699.90625,371.6386,198.5236,1063.62,220000,44
729.77,45,-56078.06640625,382.7844,216.9516,1042.97,225000,45
607.62,46,-57682.765625,386.3364,213.3048,1419.89,230000,46
573.1,47,-59385.10546875,389.3455,232.3814,1045.88,235000,47
589.76,48,-55980.24609375,375.9963,214.8692,1647.36,240000,48
681.47,49,-61050.97265625,373.5401,257.0724,1213.28,245000,49
811.93,50,-54847.69140625,381.2053,213.6056,1201.45,250000,50
863.3,51,-50135.8046875,363.1119,191.351,1403.92,255000,51
