Running Forward KL,Running Reverse KL,Real Det Return,Running Update Time,Real Sto Return,Running Env Steps,Reward Loss,Itration
31.6918,16.4679,207.76,0,234.27,0,-83.04794311523438,0
31.1194,24.3507,235.0,1,239.9,5000,-112.70722198486328,1
30.045,24.0524,297.1,2,287.01,10000,-118.4087905883789,2
29.3975,22.1417,332.73,3,294.79,15000,-176.85888671875,3
28.8997,17.9893,441.22,4,412.23,20000,-202.0205841064453,4
28.9296,18.4359,354.25,5,284.33,25000,-208.47994995117188,5
26.7346,15.1915,737.83,6,675.35,30000,-228.4954376220703,6
28.6969,21.9165,299.65,7,415.29,35000,-314.4852600097656,7
27.1533,15.4382,669.83,8,700.49,40000,-284.94427490234375,8
27.2386,22.8328,974.38,9,953.43,45000,-351.63751220703125,9
27.1302,19.7601,802.22,10,795.59,50000,-335.56634521484375,10
25.4949,16.4584,1297.24,11,1523.21,55000,-358.3342590332031,11
28.3116,25.6176,719.78,12,718.05,60000,-437.9163818359375,12
27.7082,18.1595,456.28,13,1209.25,65000,-447.0321044921875,13
25.208,14.4645,1519.1,14,1570.31,70000,-465.17230224609375,14
27.349,20.2179,818.28,15,1047.27,75000,-534.0545654296875,15
25.2354,15.8404,1754.39,16,930.46,80000,-538.1841430664062,16
25.0153,15.0161,752.91,17,1002.77,85000,-553.7503051757812,17
25.8312,19.0876,240.47,18,939.76,90000,-603.8809814453125,18
26.4509,19.8601,454.02,19,230.1,95000,-626.5859375,19
26.7243,21.207,1026.46,20,802.34,100000,-532.2789306640625,20
25.3075,23.6556,2403.49,21,1094.4,105000,-537.0180053710938,21
25.1139,24.2024,1510.64,22,1410.31,110000,-695.5187377929688,22
24.5919,19.4476,2181.55,23,1750.01,115000,-586.1372680664062,23
24.9409,18.7273,2712.35,24,1818.32,120000,-512.9384155273438,24
26.295,26.1889,577.18,25,838.04,125000,-766.7202758789062,25
26.3006,27.0647,728.68,26,1173.45,130000,-794.990966796875,26
25.6489,28.2597,812.08,27,1135.97,135000,-847.6632080078125,27
24.9476,25.9315,2059.07,28,1372.03,140000,-805.6629638671875,28
25.8356,24.0495,792.02,29,1009.07,145000,-789.3605346679688,29
22.7259,29.8636,1364.23,30,901.09,150000,-396.2008056640625,30
20.8887,29.6949,3039.83,31,1008.09,155000,-468.34906005859375,31
23.0946,19.6755,157.7,32,1533.62,160000,-425.0504455566406,32
24.6661,22.951,1421.02,33,1446.38,165000,-675.08837890625,33
22.831,40.0563,3035.27,34,2227.81,170000,-571.1458129882812,34
23.5797,25.892,1314.37,35,1111.7,175000,-813.8192749023438,35
24.2758,23.0233,2822.65,36,1527.43,180000,-716.0819091796875,36
25.4638,30.5977,722.55,37,711.32,185000,-1245.14404296875,37
24.4177,19.2563,2639.72,38,2157.39,190000,-652.7883911132812,38
24.7295,26.4554,914.77,39,1166.57,195000,-1142.8065185546875,39
23.85,22.0449,1602.46,40,730.91,200000,-840.3214721679688,40
23.419,24.3581,2319.39,41,1301.03,205000,-1099.483642578125,41
23.6954,30.6338,1347.64,42,1089.31,210000,-1054.324951171875,42
25.8121,23.6989,1870.3,43,1199.84,215000,-1147.7294921875,43
23.5373,17.9203,3265.25,44,2349.5,220000,-791.0756225585938,44
27.0251,18.5401,1442.52,45,1045.62,225000,-1340.2821044921875,45
25.2893,15.6519,3162.51,46,2294.65,230000,-943.8395385742188,46
22.1912,14.5105,436.41,47,1411.76,235000,-224.93817138671875,47
24.4396,17.0731,2487.05,48,1024.1,240000,-1184.314453125,48
22.9201,14.2803,3131.0,49,1831.52,245000,-741.0693969726562,49
25.1026,16.7348,2180.83,50,972.66,250000,-1325.7340087890625,50
24.8866,44.1012,1516.13,51,1214.81,255000,-1596.024658203125,51
26.5167,26.8871,813.04,52,778.6,260000,-1772.3492431640625,52
26.343,61.4062,375.83,53,474.04,265000,-1968.9561767578125,53
23.1852,17.5649,1877.33,54,1941.98,270000,-1109.8165283203125,54
23.743,40.119,3534.8,55,1480.74,275000,-1485.9183349609375,55
23.8272,26.7299,2494.61,56,1737.74,280000,-1448.099853515625,56
23.1429,42.4613,949.66,57,945.28,285000,-1654.6007080078125,57
24.6559,25.582,363.43,58,480.06,290000,-1168.352294921875,58
24.7231,15.7648,2380.56,59,1295.78,295000,-1220.4423828125,59
22.2515,18.185,3248.19,60,2826.96,300000,-471.4267272949219,60
21.3098,11.4284,3401.6,61,2595.68,305000,-856.1665649414062,61
22.7114,34.1222,3472.45,62,2075.47,310000,-1259.0484619140625,62
24.8063,39.5555,1311.05,63,1262.68,315000,-2053.111328125,63
24.3479,15.2108,2212.81,64,1379.62,320000,-1550.551513671875,64
22.9418,12.7833,1115.65,65,1198.93,325000,-576.600341796875,65
24.4704,14.074,925.99,66,1020.58,330000,-667.5609130859375,66
20.9081,12.826,3345.56,67,2159.74,335000,-956.916015625,67
23.71,11.4047,2126.42,68,1578.09,340000,-832.9935302734375,68
24.2443,15.729,1897.75,69,1869.24,345000,-1364.24755859375,69
24.6908,18.8318,1084.92,70,1117.35,350000,-1897.0667724609375,70
25.3531,12.2723,761.98,71,823.78,355000,-1406.155029296875,71
22.6481,22.5878,2570.97,72,1416.31,360000,-1640.8507080078125,72
21.7721,28.1825,1700.98,73,1416.81,365000,-1324.0548095703125,73
21.7035,12.391,2390.1,74,1524.59,370000,-1229.8280029296875,74
24.4466,15.4714,1683.87,75,1414.46,375000,-2020.9591064453125,75
24.8188,18.3525,3243.47,76,960.95,380000,-2165.46337890625,76
25.102,17.27,3214.28,77,1123.14,385000,-2041.8043212890625,77
25.0119,11.7489,3488.82,78,1277.36,390000,-1230.3140869140625,78
24.1968,38.8305,2431.15,79,1088.92,395000,-2213.38427734375,79
24.8261,28.9942,3332.96,80,646.7,400000,-2360.508056640625,80
20.836,11.3729,3369.7,81,2540.17,405000,-686.1385498046875,81
24.4198,29.7918,1080.92,82,1188.1,410000,-2087.238525390625,82
20.7818,11.4628,3215.86,83,2833.22,415000,-880.8897705078125,83
23.1944,16.0238,2593.3,84,2284.0,420000,-1714.0889892578125,84
24.1495,21.4563,958.77,85,949.02,425000,-2414.617919921875,85
22.9249,14.6399,3315.26,86,1392.1,430000,-1683.972412109375,86
21.602,19.7574,3378.15,87,1756.73,435000,-1817.7857666015625,87
23.5612,27.5928,3443.23,88,1435.52,440000,-2436.875,88
20.6631,10.7872,3188.53,89,2279.39,445000,-1162.143310546875,89
19.5675,11.4202,3382.73,90,3141.55,450000,-570.7644653320312,90
19.5142,23.7578,3234.32,91,1839.75,455000,-1470.452392578125,91
21.5843,31.5753,3196.55,92,2009.83,460000,-1484.1949462890625,92
24.0148,40.3579,3190.07,93,1560.56,465000,-2622.084716796875,93
24.3636,100.7352,827.95,94,1294.57,470000,-3128.93310546875,94
24.9284,49.4304,1076.17,95,816.07,475000,-3257.6611328125,95
26.3073,79.2884,876.41,96,958.84,480000,-3482.50439453125,96
22.2858,18.1539,30.24,97,326.97,485000,-1958.6318359375,97
23.7561,50.2255,1527.49,98,1242.94,490000,-2771.102783203125,98
22.5907,71.8292,3368.47,99,2328.8,495000,-3005.767822265625,99
24.0483,76.8273,3055.92,100,1235.68,500000,-3338.187744140625,100
22.3021,45.3318,1845.68,101,1965.08,505000,-2362.072998046875,101
25.3132,65.9275,3362.63,102,2103.24,510000,-3245.209228515625,102
23.8111,70.6112,1221.71,103,1344.67,515000,-3165.598388671875,103
25.8068,53.7367,55.03,104,205.32,520000,-3672.27392578125,104
24.6003,65.0398,3197.52,105,1256.57,525000,-2889.5947265625,105
21.2497,63.1628,3217.67,106,2189.68,530000,-2301.119384765625,106
25.3023,66.8485,1383.39,107,988.88,535000,-4213.43017578125,107
23.3827,45.7981,2431.89,108,1549.31,540000,-3324.655517578125,108
23.0441,32.5145,3005.94,109,1819.22,545000,-2769.322509765625,109
22.3857,31.3527,3230.63,110,2446.17,550000,-2727.62939453125,110
21.6548,27.682,2717.94,111,2150.3,555000,-2458.201171875,111
23.1932,49.2116,2003.09,112,2089.4,560000,-3013.784912109375,112
21.1255,12.1764,3321.39,113,2045.59,565000,-1211.8631591796875,113
20.422,15.225,3258.84,114,2236.51,570000,-1858.3675537109375,114
21.6043,21.9606,3008.23,115,2637.94,575000,-2502.048095703125,115
20.8929,16.5069,3393.1,116,2590.07,580000,-1723.3330078125,116
22.959,67.6853,3226.78,117,1890.69,585000,-3890.964599609375,117
24.6617,84.4107,2962.24,118,1627.68,590000,-4512.33447265625,118
20.095,32.0889,2991.25,119,1936.44,595000,-2686.962890625,119
19.5684,22.522,3342.68,120,2710.1,600000,-1205.372802734375,120
21.2787,22.5285,69.86,121,621.33,605000,-2120.566650390625,121
21.5885,45.2365,3383.84,122,2512.1,610000,-2665.57568359375,122
20.906,33.7073,3373.03,123,2139.89,615000,-3099.315673828125,123
22.1088,25.6894,3347.31,124,2823.68,620000,-2305.046630859375,124
25.529,109.6937,984.05,125,1029.91,625000,-6114.72607421875,125
25.3945,71.8086,1648.66,126,1230.12,630000,-4705.6015625,126
22.5229,38.3316,3315.93,127,1777.32,635000,-3795.3115234375,127
21.749,21.2094,3421.7,128,1791.26,640000,-1983.8642578125,128
21.6833,52.4211,3320.94,129,2290.23,645000,-2780.0361328125,129
22.0906,30.6339,3246.62,130,1991.7,650000,-3107.782958984375,130
21.6184,46.6233,3370.64,131,2493.8,655000,-2913.801025390625,131
23.3432,62.3943,3364.25,132,1678.81,660000,-5318.642578125,132
20.4983,37.4055,296.91,133,1448.35,665000,-2471.570068359375,133
22.3365,39.1304,3426.08,134,1761.91,670000,-3895.833740234375,134
21.8372,50.2241,3317.66,135,1609.6,675000,-3801.77734375,135
20.849,43.2927,3476.3,136,2675.97,680000,-2194.412353515625,136
23.6972,71.8407,2948.97,137,1668.04,685000,-5074.06689453125,137
24.6386,95.8133,145.69,138,1270.91,690000,-6603.3095703125,138
23.9451,24.3324,1494.03,139,1262.5,695000,-4547.2509765625,139
23.9346,98.8486,924.35,140,1184.74,700000,-6151.95654296875,140
22.4146,45.3202,3435.02,141,2491.9,705000,-2909.701904296875,141
27.0111,120.3383,118.55,142,704.13,710000,-6677.85693359375,142
23.0965,54.9726,3355.74,143,1660.87,715000,-4340.05029296875,143
25.2556,103.9388,1550.55,144,905.35,720000,-6415.70458984375,144
21.308,17.9893,3408.25,145,1848.13,725000,-3443.322509765625,145
25.2614,52.2933,1512.5,146,933.5,730000,-6409.1396484375,146
23.0554,44.7594,3400.95,147,1549.79,735000,-5263.2802734375,147
21.0828,17.9922,3517.59,148,3109.13,740000,-2335.68994140625,148
21.2055,19.2515,3361.44,149,1687.68,745000,-2608.731201171875,149
23.0251,92.2665,3497.71,150,1854.64,750000,-5555.09033203125,150
24.24,58.8524,3306.98,151,1612.07,755000,-5713.759765625,151
21.184,19.7486,3452.8,152,1970.42,760000,-3079.4169921875,152
24.1734,40.8948,906.29,153,769.35,765000,-5598.92431640625,153
22.3037,21.8838,3471.87,154,1686.39,770000,-3969.466064453125,154
21.5874,25.8413,3494.36,155,2404.7,775000,-2778.726806640625,155
20.8997,23.6884,3484.23,156,2479.0,780000,-3602.50244140625,156
23.1417,38.2818,3184.88,157,1433.81,785000,-4984.67333984375,157
21.3957,18.4521,3445.09,158,2352.69,790000,-3074.968505859375,158
25.1577,48.4208,994.46,159,1085.06,795000,-6918.0322265625,159
24.3679,68.2018,3318.42,160,1464.92,800000,-5644.8984375,160
22.2129,56.2314,3361.96,161,1268.28,805000,-4979.63330078125,161
23.4559,75.456,1669.13,162,1267.87,810000,-6854.92138671875,162
24.8863,65.0282,1395.4,163,1045.67,815000,-6722.2216796875,163
21.183,38.6169,3478.98,164,2944.9,820000,-3148.326171875,164
22.2565,42.196,3444.48,165,2721.03,825000,-4783.564453125,165
23.9474,56.4819,3328.02,166,1513.75,830000,-5466.25537109375,166
22.7808,35.4694,1018.9,167,1704.49,835000,-6255.17236328125,167
22.5312,14.4053,3339.76,168,1517.78,840000,-3911.01708984375,168
24.3304,20.4373,1871.98,169,1162.32,845000,-5537.298828125,169
23.1978,20.5355,3427.43,170,1900.28,850000,-4287.3740234375,170
24.8601,24.7998,939.08,171,1028.36,855000,-5316.53662109375,171
20.6131,22.5059,2377.46,172,2071.34,860000,-2625.834716796875,172
21.2858,17.8363,3440.73,173,1808.62,865000,-4256.75,173
23.0958,64.7652,3369.57,174,1411.55,870000,-6483.27685546875,174
21.7118,13.0703,3380.47,175,2111.16,875000,-3597.8046875,175
22.1278,27.7056,2701.87,176,2101.49,880000,-4549.7802734375,176
25.3395,33.6171,1940.78,177,1772.56,885000,-6322.5234375,177
22.4067,23.0357,3421.12,178,2426.84,890000,-3834.589599609375,178
24.3784,37.9399,1231.35,179,1043.6,895000,-6548.72119140625,179
24.449,25.7598,994.77,180,1103.95,900000,-6101.41455078125,180
24.2837,26.2105,1358.44,181,1052.47,905000,-6049.580078125,181
26.6668,23.4379,1194.04,182,681.41,910000,-7732.73583984375,182
24.7096,44.6814,2925.62,183,877.02,915000,-7458.06982421875,183
24.1849,47.468,1048.1,184,1117.42,920000,-7250.859375,184
26.2583,24.9789,1022.91,185,828.52,925000,-7531.2763671875,185
21.1388,11.1103,2497.43,186,1650.33,930000,-4639.9140625,186
22.577,20.3694,3421.03,187,2286.98,935000,-4859.970703125,187
23.4642,15.9442,3379.23,188,1866.49,940000,-5123.74609375,188
22.5315,27.0922,3478.48,189,1629.48,945000,-5629.01953125,189
23.2329,34.9719,2055.54,190,1476.76,950000,-6472.3056640625,190
23.9279,24.2951,3458.18,191,763.24,955000,-6697.06591796875,191
25.762,53.3538,1218.17,192,1168.51,960000,-8349.72265625,192
21.9911,46.5266,994.57,193,171.09,965000,-4078.361572265625,193
