Itration,Running Forward KL,Real Sto Return,Real Det Return,Running Env Steps,Reward Loss,Running Update Time,Running Reverse KL
0,75.1195,-66.31,666.59,0,16.808502197265625,0,26.3473
1,74.8158,-54.23,412.77,5000,9.337689399719238,1,27.258
2,73.962,-15.55,760.51,10000,-5.241722106933594,2,27.2688
3,71.4009,52.28,637.92,15000,-14.23848819732666,3,27.1322
4,71.0103,33.88,543.22,20000,-23.64215850830078,4,28.1373
5,69.3545,98.49,598.17,25000,-38.110107421875,5,28.3294
6,67.3641,155.36,857.64,30000,-44.64144515991211,6,28.483
7,68.2038,138.6,614.71,35000,-48.8278694152832,7,29.9921
8,68.4319,239.59,1154.43,40000,-60.19207000732422,8,30.1035
9,64.1851,198.8,1006.39,45000,-70.58467102050781,9,28.549
10,68.946,271.91,1188.36,50000,-89.12788391113281,10,30.2517
11,66.5355,192.74,883.89,55000,-93.46246337890625,11,30.1292
12,65.0374,160.37,717.47,60000,-104.79751586914062,12,28.6441
13,65.6057,239.1,1219.35,65000,-119.08284759521484,13,28.6534
14,67.6706,282.9,779.68,70000,-132.97796630859375,14,29.6003
15,69.5197,180.57,532.25,75000,-149.0720672607422,15,29.799
16,75.1133,-56.24,319.87,80000,-157.57679748535156,16,36.8234
17,81.0903,-418.38,-1065.9,85000,-168.18983459472656,17,59.9184
18,77.2671,-310.24,-277.9,90000,-180.4915313720703,18,44.2894
19,77.0936,-339.54,-365.9,95000,-202.854248046875,19,34.815
20,76.3622,-497.05,-336.15,100000,-235.12962341308594,20,29.7195
21,76.4194,-297.09,-546.0,105000,-241.96617126464844,21,30.906
22,78.6852,-594.24,-1107.66,110000,-245.98394775390625,22,41.7372
23,76.1555,-493.05,-625.54,115000,-267.75286865234375,23,31.0874
24,76.6194,-511.97,-438.08,120000,-282.6296081542969,24,29.2643
25,77.0821,-380.43,-476.77,125000,-289.1380615234375,25,36.669
26,76.3906,-598.01,-677.78,130000,-299.7537841796875,26,45.8689
27,74.0327,-456.47,-667.37,135000,-320.7022399902344,27,28.4919
28,73.7905,-731.76,-638.0,140000,-304.7987365722656,28,32.719
