Running Update Time,Real Det Return,Running Env Steps,Reward Loss,Running Reverse KL,Real Sto Return,Running Forward KL,Itration
36,3089.82,180000,-415.65252685546875,11.0243,2474.54,22.0502,36
37,3083.19,185000,-377.75689697265625,10.291,2552.15,21.0307,37
38,912.47,190000,-380.8663635253906,10.3873,1139.19,21.5149,38
39,2178.63,195000,-339.79461669921875,11.262,1965.13,22.4354,39
40,3077.58,200000,-266.5584411621094,11.7384,1646.93,22.027,40
41,533.32,205000,-480.40582275390625,11.7568,741.02,22.7103,41
42,690.11,210000,-786.1712646484375,12.422,1339.44,23.252,42
43,720.19,215000,-467.3740539550781,10.5427,1464.05,21.5978,43
44,936.04,220000,-439.0790710449219,11.6232,2233.44,22.6114,44
45,1281.34,225000,-593.96142578125,13.0002,1227.75,23.5703,45
46,1742.54,230000,-827.6907348632812,14.4495,1187.26,23.8971,46
47,141.25,235000,-876.3271484375,24.4933,791.96,24.2507,47
48,1165.56,240000,-645.4136352539062,12.6981,1102.17,24.3827,48
49,697.93,245000,-1100.6072998046875,16.5057,1196.3,24.1747,49
50,3169.33,250000,-668.0231323242188,11.8115,2039.46,21.1032,50
51,2936.47,255000,-686.8135986328125,12.7004,1214.83,22.4351,51
52,3063.99,260000,-617.0933837890625,12.6067,1494.41,22.177,52
53,2981.22,265000,-537.2748413085938,10.9497,1615.14,21.6884,53
54,660.07,270000,-771.4022827148438,13.6648,1629.71,23.8057,54
55,34.16,275000,-1073.759033203125,16.6991,855.92,23.1035,55
56,1215.39,280000,-1103.182373046875,18.1053,1286.28,22.8935,56
57,3040.47,285000,-914.6876831054688,16.3194,1802.67,21.5218,57
58,2777.01,290000,-957.6073608398438,14.6827,1967.85,21.9297,58
59,2513.4,295000,-1324.828125,44.8166,1096.22,23.3218,59
60,1214.12,300000,-1289.162353515625,31.5842,1011.99,21.9884,60
61,3135.06,305000,-1170.3258056640625,18.646,1459.12,22.3562,61
62,2773.73,310000,-1146.3416748046875,17.0486,1466.08,22.351,62
63,678.27,315000,-1551.7672119140625,20.5396,1409.62,23.2749,63
64,1193.37,320000,-1316.1346435546875,17.1529,1352.95,21.7034,64
65,3155.46,325000,-799.933837890625,15.3724,2392.14,20.027,65
66,2441.77,330000,-1299.7843017578125,25.9338,1307.89,21.7133,66
67,3228.21,335000,-969.5122680664062,12.8866,1987.83,20.4652,67
68,2209.15,340000,-852.5399780273438,13.1333,1690.82,20.9738,68
69,725.68,345000,-1272.09619140625,14.9959,1399.65,21.0772,69
70,3093.12,350000,-1600.2978515625,19.6195,1288.19,23.0236,70
71,1616.99,355000,-1099.9058837890625,13.5705,1873.81,21.0726,71
72,3064.56,360000,-1539.9393310546875,20.1921,1482.39,22.8491,72
73,17.29,365000,-821.3667602539062,18.7739,489.41,20.3411,73
74,3119.38,370000,-1858.670654296875,40.563,1459.72,23.1363,74
75,3031.94,375000,-1515.608154296875,26.2229,1586.15,21.9759,75
76,2984.67,380000,-1278.733642578125,18.3301,2063.88,22.7314,76
77,3057.04,385000,-1063.4857177734375,16.1087,2211.35,21.0697,77
78,965.38,390000,-1632.57666015625,24.5918,1679.27,22.6489,78
79,2834.06,395000,-1308.633544921875,21.4401,1943.68,19.9097,79
80,3221.29,400000,-1070.8697509765625,26.0858,1700.62,20.9003,80
81,3190.96,405000,-1705.5462646484375,18.3285,1514.2,22.313,81
82,3147.24,410000,-773.3908081054688,14.9499,2425.68,20.8277,82
83,3150.84,415000,-1789.6966552734375,29.0138,1668.89,22.0904,83
84,2425.19,420000,-1894.77392578125,51.9066,1312.3,21.5325,84
85,3029.53,425000,-698.9561157226562,10.5121,2751.97,20.8567,85
86,3145.85,430000,-2069.92138671875,23.9195,1462.55,22.9571,86
87,3176.23,435000,-1309.8929443359375,14.6125,2314.58,20.786,87
88,3159.65,440000,-1197.9749755859375,13.2506,2385.93,20.0467,88
89,2364.28,445000,-2079.503662109375,36.821,1852.37,22.9701,89
90,3021.04,450000,-1247.98046875,15.6934,2440.12,20.7999,90
91,2992.05,455000,-2001.5462646484375,46.1007,1465.8,22.9444,91
92,2930.56,460000,-778.5038452148438,12.5886,1899.94,20.8563,92
93,3091.56,465000,-1912.4554443359375,23.1163,1617.66,22.0028,93
94,919.57,470000,-2610.660400390625,109.5075,1275.85,23.9308,94
95,3187.51,475000,-1684.162109375,33.3253,1946.31,21.8458,95
96,15.64,480000,-955.3577270507812,16.6101,1513.18,20.2487,96
97,3203.49,485000,-1654.330078125,32.6505,1965.86,20.2576,97
98,976.13,490000,-2526.00048828125,88.194,1100.15,21.8801,98
99,1903.74,495000,-1727.9346923828125,50.1699,1403.25,20.9445,99
100,1993.76,500000,-2381.15185546875,49.8864,1418.07,21.1056,100
101,1080.85,505000,-2178.998046875,57.9647,1638.41,22.3896,101
102,1373.52,510000,-2607.56982421875,55.8737,1752.51,22.8724,102
103,1885.83,515000,-2206.937744140625,54.1596,1550.49,20.0015,103
104,3277.84,520000,-2330.00439453125,27.8695,1899.64,20.6979,104
105,2907.96,525000,-3085.52880859375,45.3211,1546.2,22.9753,105
106,1073.2,530000,-2852.857177734375,46.493,1733.79,21.6899,106
107,1758.41,535000,-2789.472412109375,51.07,1570.18,22.2285,107
108,904.42,540000,-3691.70458984375,115.7207,1095.6,24.0347,108
109,1368.31,545000,-2927.9833984375,39.3637,1108.22,23.615,109
110,2973.76,550000,-2647.69384765625,54.9794,1456.47,21.8663,110
111,1566.36,555000,-3459.932861328125,89.8982,1297.15,23.0466,111
112,134.2,560000,-3991.586669921875,51.22,128.56,24.5415,112
113,3028.15,565000,-1834.6507568359375,40.9902,2230.59,21.1239,113
114,1052.88,570000,-4059.469970703125,107.3701,1028.27,23.2221,114
115,3098.68,575000,-1736.3482666015625,26.2826,1884.2,20.2908,115
116,439.61,580000,-3774.780029296875,28.6619,1399.37,23.2701,116
117,923.77,585000,-4538.29345703125,58.536,1240.34,25.2078,117
118,403.09,590000,-2776.51416015625,24.7736,1233.1,22.6499,118
119,3230.62,595000,-1153.2696533203125,14.0502,2616.28,19.5141,119
120,2357.34,600000,-3428.6083984375,35.3472,1420.62,21.7877,120
121,1986.61,605000,-4428.17822265625,71.0089,1305.63,22.7868,121
122,1581.63,610000,-4410.0888671875,78.4084,1297.43,23.7551,122
123,1748.5,615000,-4230.2265625,88.9872,1196.51,21.6216,123
124,156.21,620000,-3923.92822265625,73.6926,1281.58,22.4186,124
125,1516.25,625000,-3532.063232421875,63.2745,843.35,21.7435,125
126,3019.85,630000,-4574.73876953125,92.878,1453.2,22.6111,126
127,2147.88,635000,-4722.82861328125,77.1187,1214.35,23.2372,127
128,1372.41,640000,-4500.44482421875,61.0908,1285.51,23.0296,128
129,1534.91,645000,-5739.064453125,119.0619,1050.76,23.7544,129
130,1784.61,650000,-4164.98486328125,56.4299,1274.45,24.0609,130
131,2716.24,655000,-2750.455322265625,43.2923,1946.32,21.1705,131
132,2172.74,660000,-4823.9609375,91.4614,1388.21,22.308,132
133,3215.29,665000,-4138.27001953125,72.532,1428.71,21.1331,133
134,3182.61,670000,-2351.3330078125,37.9082,2373.65,20.1183,134
135,3357.51,675000,-4560.587890625,68.111,1638.31,22.3087,135
136,3377.73,680000,-3877.181396484375,59.7761,1665.58,20.2676,136
137,3324.8,685000,-4281.18798828125,63.0046,1613.22,21.2493,137
138,222.09,690000,-2035.1651611328125,19.171,836.74,20.0881,138
139,3186.09,695000,-3875.651611328125,62.852,1579.57,20.961,139
140,2114.4,700000,-4320.28076171875,50.9914,1534.64,21.5722,140
141,2444.05,705000,-5330.15087890625,74.8619,1436.47,22.4774,141
142,3337.36,710000,-4841.9443359375,69.6104,1988.48,21.9403,142
143,3444.93,715000,-5409.0693359375,81.9179,1535.05,21.1465,143
144,2885.14,720000,-3378.135498046875,44.0845,1769.94,20.0088,144
145,3252.63,725000,-1996.9000244140625,19.9398,2361.29,19.4713,145
146,2773.58,730000,-5207.0771484375,73.7373,1533.63,21.577,146
147,3408.77,735000,-6242.314453125,95.8235,1248.13,23.559,147
148,1809.1,740000,-5290.0048828125,62.8093,1352.57,22.5147,148
149,1562.26,745000,-5258.103515625,49.1879,1419.04,21.8195,149
150,957.79,750000,-4508.7880859375,41.8106,1703.64,21.8157,150
151,1790.69,755000,-5942.90673828125,75.224,1265.66,22.9504,151
152,3345.52,760000,-3575.39013671875,41.7163,2248.07,19.7261,152
153,3148.32,765000,-1856.6456298828125,11.4787,1858.55,19.3384,153
154,3217.69,770000,-5033.5537109375,60.1524,2154.07,22.0483,154
155,2371.58,775000,-5988.3056640625,60.888,1405.29,22.4815,155
156,2735.02,780000,-3431.150146484375,38.1882,931.53,19.5692,156
157,2940.55,785000,-4967.6025390625,38.0665,1816.51,22.1904,157
158,2912.38,790000,-5468.95703125,70.522,1851.49,22.5518,158
159,2913.28,795000,-5092.82421875,55.0897,1818.8,22.5291,159
160,2684.71,800000,-5975.6689453125,79.276,1504.94,22.4654,160
161,3382.79,805000,-2751.64794921875,38.5682,1917.27,20.4478,161
162,3343.4,810000,-4740.859375,43.7625,1526.39,20.9895,162
163,3369.19,815000,-4261.60400390625,44.3593,2663.66,20.7784,163
164,3160.9,820000,-4593.11865234375,33.5987,1933.62,23.0301,164
165,3198.78,825000,-5198.0263671875,55.449,1820.57,22.2196,165
166,3375.71,830000,-7019.55859375,95.0805,1323.69,22.2299,166
167,3349.79,835000,-2251.259033203125,23.1884,2855.52,20.2454,167
168,1537.79,840000,-7229.13134765625,74.3329,1443.3,24.7441,168
169,1947.67,845000,-5820.14599609375,65.9228,1323.67,23.3423,169
170,3259.27,850000,-4744.11083984375,48.6004,1404.5,22.3455,170
171,1818.8,855000,-5804.8056640625,49.2742,1341.74,22.8231,171
172,3178.0,860000,-5059.859375,51.75,1988.71,21.6999,172
173,3334.32,865000,-2304.718017578125,28.0106,2627.38,20.5238,173
174,3410.54,870000,-2835.685546875,24.5578,1404.1,20.9678,174
175,3125.89,875000,-4954.03076171875,46.2607,2249.13,21.2695,175
176,3392.7,880000,-6267.5849609375,54.7942,1267.79,21.7944,176
177,3374.64,885000,-2604.151611328125,23.4541,2503.18,20.6818,177
178,3214.61,890000,-6059.46337890625,50.6508,1875.56,21.9,178
179,3315.69,895000,-3828.3720703125,35.6659,2127.35,20.3807,179
180,3420.09,900000,-5589.07666015625,42.595,1745.89,22.162,180
181,2047.65,905000,-6949.34521484375,50.0381,1345.89,22.8725,181
182,2487.81,910000,-3345.499267578125,17.712,1666.36,22.3754,182
183,1629.7,915000,-2412.980712890625,24.9472,1441.68,22.485,183
184,3501.12,920000,-5636.80859375,37.451,1619.29,24.3697,184
185,2447.86,925000,-8242.62109375,107.3893,1499.8,23.5854,185
186,2091.62,930000,-7544.8642578125,97.0895,1044.84,25.0415,186
