Reward Loss,Running Forward KL,Real Det Return,Real Sto Return,Running Update Time,Running Env Steps,Itration,Running Reverse KL
475.7472229003906,33.5574,193.79,196.28,0,0,0,22.188
398.3863220214844,32.3483,266.73,256.98,1,5000,1,17.3257
228.8864288330078,31.5653,313.5,302.87,2,10000,2,15.9978
195.227783203125,29.2687,343.36,329.94,3,15000,3,16.1419
82.43195343017578,26.7819,378.18,368.1,4,20000,4,14.3545
65.12606048583984,26.3147,627.06,524.59,5,25000,5,16.124
41.00383377075195,28.5625,412.58,427.1,6,30000,6,15.7681
-37.875797271728516,27.6269,704.3,635.96,7,35000,7,14.8919
-27.419771194458008,26.9565,826.44,689.26,8,40000,8,15.5817
133.97425842285156,27.1289,669.99,634.6,9,45000,9,16.2406
-105.06829833984375,26.9039,683.96,650.56,10,50000,10,15.7516
-151.9204559326172,26.9279,795.6,836.78,11,55000,11,14.8751
-80.35260772705078,26.6675,1016.77,942.76,12,60000,12,15.987
-58.693763732910156,26.572,1320.97,1092.71,13,65000,13,17.1649
16.87448501586914,25.9979,1022.79,1150.49,14,70000,14,22.7552
43.86544418334961,25.7199,895.41,982.73,15,75000,15,23.6248
-33.88904571533203,26.0117,791.47,1083.33,16,80000,16,22.8408
-61.987674713134766,24.7776,3066.07,1531.72,17,85000,17,22.0297
4.0492939949035645,26.3974,1034.34,1213.69,18,90000,18,26.1976
-93.92506408691406,23.8537,1637.15,1826.94,19,95000,19,22.8814
-173.82275390625,23.8459,2851.6,1981.52,20,100000,20,17.3304
-176.8050994873047,25.341,2236.93,1199.7,21,105000,21,21.5625
-220.16683959960938,23.3294,3187.12,2123.51,22,110000,22,14.001
-218.6451873779297,22.9002,3211.33,2679.63,23,115000,23,14.5382
-226.98648071289062,23.7009,3213.64,2172.71,24,120000,24,16.7622
-300.3781433105469,24.2535,3062.27,1448.23,25,125000,25,16.9586
-272.0716857910156,23.2819,3215.26,2059.46,26,130000,26,14.0603
-249.17156982421875,22.7369,3167.95,3140.02,27,135000,27,13.7303
-369.12030029296875,23.9197,2870.12,1728.67,28,140000,28,17.0292
-266.8724365234375,22.2866,3262.21,2973.82,29,145000,29,13.8696
-275.17047119140625,22.3226,3249.56,2931.01,30,150000,30,14.2332
-280.4413146972656,21.0396,3189.64,3074.85,31,155000,31,13.303
-309.37017822265625,21.9812,3220.09,2726.7,32,160000,32,13.5332
-382.34674072265625,22.1439,3283.04,2222.24,33,165000,33,17.9281
-321.9543762207031,20.8441,3303.87,2791.1,34,170000,34,14.6251
-406.2679748535156,21.2116,3301.69,2169.59,35,175000,35,18.0777
-330.9609375,21.503,3266.45,2775.28,36,180000,36,15.0433
-358.4393005371094,21.3121,3296.41,2663.28,37,185000,37,15.109
-263.1270751953125,20.8853,3329.91,3180.95,38,190000,38,13.3371
-273.6545104980469,21.5945,3256.63,3228.38,39,195000,39,13.4925
-526.1829223632812,21.832,3333.52,2263.63,40,200000,40,21.2268
-352.2690124511719,20.8129,3304.69,2738.46,41,205000,41,13.5603
-301.2392578125,20.9354,3342.17,2687.95,42,210000,42,13.1105
-331.73638916015625,19.9587,3397.93,2779.49,43,215000,43,13.4673
-640.82568359375,21.6726,1566.35,1750.77,44,220000,44,20.4207
-515.4932250976562,19.8226,3399.86,2530.37,45,225000,45,16.4658
-312.87225341796875,20.4352,3284.45,2572.13,46,230000,46,14.1474
-293.1783447265625,20.2002,3321.06,3163.42,47,235000,47,13.6308
-630.8150024414062,20.9184,2363.83,2282.5,48,240000,48,22.1728
-491.0491943359375,20.1048,3391.34,2925.64,49,245000,49,15.9923
-470.33160400390625,19.8284,3384.26,2382.91,50,250000,50,16.5725
-496.9644470214844,20.1527,3392.29,2987.38,51,255000,51,15.7348
-733.0571899414062,20.4418,2538.8,2269.26,52,260000,52,20.8987
-549.1654052734375,19.7013,3398.81,2318.62,53,265000,53,15.4401
-298.2316589355469,20.6892,3219.98,3233.74,54,270000,54,13.1123
-637.3797607421875,19.9873,3341.99,2703.74,55,275000,55,18.0483
-786.0120849609375,20.382,3086.05,1915.25,56,280000,56,19.6116
-414.0211486816406,19.9506,3265.96,3031.69,57,285000,57,13.31
-622.7249145507812,18.8244,3410.66,2928.9,58,290000,58,15.8007
-771.89111328125,19.6868,3422.63,2071.15,59,295000,59,16.9786
-688.3909301757812,20.0678,3377.32,2500.5,60,300000,60,17.1089
-854.5964965820312,20.3463,3390.95,2127.47,61,305000,61,16.792
-798.8992919921875,19.9422,3358.65,2126.86,62,310000,62,15.0429
-835.9201049804688,19.9388,3397.86,2349.35,63,315000,63,16.0044
-719.1099853515625,19.4595,3396.16,2535.61,64,320000,64,14.3334
-711.5750732421875,19.5298,3377.2,2471.74,65,325000,65,14.1098
-668.3844604492188,20.0674,3346.23,2852.98,66,330000,66,14.0877
-373.31768798828125,18.6577,3324.78,3024.07,67,335000,67,11.8258
-681.0884399414062,19.5613,3411.5,2364.54,68,340000,68,13.6607
-1013.9735107421875,20.2389,3398.22,2071.78,69,345000,69,16.26
-916.6553955078125,19.5804,3319.72,2286.56,70,350000,70,14.7566
-501.487060546875,19.3805,3306.53,3198.11,71,355000,71,12.9613
-1035.8804931640625,20.7446,3390.1,2018.06,72,360000,72,15.6644
-489.7642822265625,18.2565,3339.62,2967.71,73,365000,73,12.2448
-813.9874877929688,19.434,3324.94,2678.28,74,370000,74,13.8209
-969.7247314453125,19.8747,3325.68,2802.02,75,375000,75,13.9589
-469.9135437011719,19.1525,3315.93,3069.83,76,380000,76,12.1182
-1058.492431640625,20.3666,3328.23,2509.46,77,385000,77,15.109
-956.3261108398438,19.8812,3344.48,2605.21,78,390000,78,12.7423
-1128.9732666015625,20.6902,3346.47,2554.22,79,395000,79,15.5255
-1085.0533447265625,19.9078,3361.93,2517.19,80,400000,80,15.165
-1066.9405517578125,20.1757,3354.52,2237.08,81,405000,81,14.0717
-750.2199096679688,19.5322,3396.49,3077.7,82,410000,82,12.8918
-986.68994140625,19.576,3378.63,2855.47,83,415000,83,12.6899
-973.1672973632812,19.1472,3372.26,3027.95,84,420000,84,13.6029
-1298.2745361328125,19.9717,3418.91,1854.77,85,425000,85,15.2145
-1332.8653564453125,20.1068,3396.98,2483.81,86,430000,86,14.8674
-878.214599609375,18.8318,3395.31,2793.04,87,435000,87,12.6704
-916.4193115234375,19.0643,3403.86,2890.56,88,440000,88,12.6387
-785.5311889648438,18.5366,3347.95,3227.75,89,445000,89,11.575
-1050.710693359375,19.0628,3365.7,2679.63,90,450000,90,12.2798
-578.2628173828125,18.1574,3320.44,3112.83,91,455000,91,10.974
-921.55712890625,18.5911,3381.21,3055.2,92,460000,92,11.4238
-1657.898193359375,20.4989,3412.62,2224.63,93,465000,93,14.4812
-578.5527954101562,18.2487,3387.67,3289.91,94,470000,94,11.3722
-1311.2362060546875,20.1253,3407.41,2628.53,95,475000,95,13.4542
-1215.286376953125,19.1392,3402.02,2884.28,96,480000,96,12.6734
-474.68804931640625,18.2368,3412.61,3271.58,97,485000,97,10.9396
-1427.828857421875,20.2873,3411.46,2249.58,98,490000,98,13.2006
-1080.5142822265625,19.1778,3360.21,2642.01,99,495000,99,12.4261
-1092.88720703125,18.8189,3397.04,2872.4,100,500000,100,12.4058
-802.6452026367188,19.194,3397.87,2912.57,101,505000,101,11.7147
-968.504638671875,18.9941,3374.81,2690.17,102,510000,102,11.8633
-495.3392639160156,17.554,3396.6,3375.14,103,515000,103,10.9814
-497.5357360839844,17.9832,3410.81,3333.88,104,520000,104,11.1686
-923.740234375,18.8039,3397.93,2838.33,105,525000,105,12.2352
-578.2938842773438,18.0135,3383.21,3047.02,106,530000,106,10.8359
-887.9476318359375,18.5381,3391.3,3236.81,107,535000,107,11.6354
-533.7789916992188,17.6356,3401.4,3266.56,108,540000,108,11.1134
-533.4902954101562,17.9477,3396.77,3398.25,109,545000,109,11.2536
-555.3903198242188,17.6081,3386.32,3361.53,110,550000,110,11.0499
-653.8954467773438,17.4407,3425.2,2960.42,111,555000,111,10.6817
-1053.248291015625,18.5907,3422.34,2921.46,112,560000,112,12.0326
-922.329345703125,18.7415,3411.73,2947.69,113,565000,113,11.535
-925.0548706054688,18.4749,3415.04,3126.17,114,570000,114,11.5018
-1344.1597900390625,19.8746,3437.47,2529.91,115,575000,115,13.3182
-805.8430786132812,18.2235,3423.4,3044.03,116,580000,116,10.6726
-1192.908203125,19.0238,3437.89,2759.25,117,585000,117,11.8143
-934.9927368164062,18.9198,3430.11,2927.36,118,590000,118,11.3341
-1296.6805419921875,18.8462,3411.96,3055.37,119,595000,119,12.2766
