Real Sto Return,Reward Loss,Running Forward KL,Real Det Return,Running Env Steps,Itration,Running Reverse KL,Running Update Time
298.41,3583.700927734375,434.4551,306.59,0,0,242.8113,0
298.46,3945.482666015625,462.2553,279.15,5000,1,289.5466,1
393.8,3548.521728515625,419.7445,435.79,10000,2,274.2376,2
356.08,3820.6767578125,414.3213,304.08,15000,3,272.5435,3
419.88,3394.71337890625,408.9255,461.87,20000,4,296.3517,4
420.72,3195.61767578125,422.5897,484.72,25000,5,286.1845,5
372.58,2077.630859375,431.8319,337.42,30000,6,366.3865,6
391.08,1824.6796875,427.0747,397.84,35000,7,302.2222,7
460.67,1696.502685546875,406.8747,435.84,40000,8,311.542,8
416.89,1258.4390869140625,418.1461,424.75,45000,9,318.0269,9
452.75,1340.474609375,421.4097,422.68,50000,10,285.0461,10
409.09,354.0084533691406,407.9352,416.67,55000,11,325.9268,11
411.09,267.5556335449219,427.4451,390.71,60000,12,301.5211,12
441.81,-144.31658935546875,430.7139,450.36,65000,13,272.4624,13
528.34,-6.735354423522949,414.2496,514.83,70000,14,302.1678,14
534.66,-197.31187438964844,390.6891,546.27,75000,15,264.8638,15
492.84,-274.56756591796875,397.1677,620.87,80000,16,290.2061,16
670.34,-884.25146484375,376.1596,557.28,85000,17,256.7419,17
583.83,-370.4672546386719,367.9195,613.95,90000,18,243.3964,18
640.36,-1221.2825927734375,371.7229,549.49,95000,19,237.16,19
659.69,-1018.169189453125,381.9324,510.68,100000,20,246.2377,20
620.36,-1445.7813720703125,367.5229,655.28,105000,21,245.3487,21
609.87,-2277.115478515625,395.375,580.64,110000,22,269.1759,22
612.0,-1839.0784912109375,397.0499,522.43,115000,23,268.5079,23
634.92,-2648.97607421875,376.5984,508.23,120000,24,292.4598,24
685.75,-2688.989501953125,387.0094,612.16,125000,25,237.7115,25
648.59,-2907.525634765625,370.3923,629.0,130000,26,246.0734,26
737.7,-2648.043701171875,374.6384,695.47,135000,27,251.9596,27
720.58,-3196.615966796875,383.4238,613.79,140000,28,262.7879,28
757.05,-2809.228759765625,366.2698,579.72,145000,29,245.2159,29
993.76,-3603.108154296875,346.1064,723.53,150000,30,254.4254,30
979.98,-3420.978515625,339.3663,635.93,155000,31,230.6736,31
902.83,-3828.197998046875,341.7737,674.5,160000,32,241.386,32
1097.92,-2914.20068359375,349.1986,775.16,165000,33,215.2059,33
816.26,-4435.58935546875,348.6992,801.72,170000,34,236.1859,34
964.47,-3842.1875,321.4816,1113.85,175000,35,200.6284,35
849.01,-3882.80322265625,339.1474,1019.97,180000,36,213.2834,36
1126.1,-4828.205078125,341.8442,878.31,185000,37,202.4489,37
1947.04,-4166.54736328125,331.7537,1031.3,190000,38,195.3589,38
1449.04,-5002.37646484375,337.0241,1272.62,195000,39,219.8635,39
1139.48,-4486.298828125,330.7953,1122.24,200000,40,200.0125,40
1489.85,-5077.71630859375,332.8276,1124.55,205000,41,223.7879,41
1414.77,-5038.56396484375,323.4792,631.29,210000,42,225.3195,42
