Real Det Return,Itration,Running Reverse KL,Real Sto Return,Running Env Steps,Reward Loss,Running Forward KL,Running Update Time
359.19,0,17.813,345.1,0,412.89093017578125,30.6708,0
294.72,1,20.4625,291.05,5000,345.8681335449219,31.0197,1
315.61,2,26.2967,330.31,10000,427.36151123046875,30.2467,2
293.57,3,28.3264,327.17,15000,378.02069091796875,29.5358,3
407.03,4,23.8806,417.03,20000,296.5081481933594,29.5961,4
675.74,5,34.7947,661.5,25000,427.8640441894531,26.9908,5
1356.8,6,20.7735,1121.98,30000,146.06869506835938,23.6215,6
640.89,7,30.1105,685.24,35000,184.28024291992188,26.9164,7
668.37,8,35.311,742.24,40000,198.77053833007812,25.8513,8
1452.86,9,38.8595,1038.64,45000,236.77638244628906,25.9048,9
810.74,10,36.9646,777.59,50000,136.90684509277344,26.3986,10
1200.14,11,31.7547,1215.25,55000,112.877685546875,23.6507,11
1375.53,12,24.2734,1260.12,60000,-2.58266019821167,24.4735,12
2243.91,13,25.4236,2243.81,65000,17.735231399536133,23.7626,13
2007.65,14,24.3026,1848.45,70000,-9.192740440368652,21.8598,14
2852.2,15,12.736,2671.02,75000,-35.05529022216797,22.4928,15
2898.03,16,12.0649,2663.03,80000,-39.853302001953125,21.83,16
2734.96,17,14.3983,2753.5,85000,-58.87936019897461,21.7125,17
2893.99,18,11.6927,2814.27,90000,-69.91748809814453,21.1421,18
1984.9,19,12.9373,2644.87,95000,-36.41355514526367,22.248,19
2656.62,20,13.6426,2721.79,100000,-65.2115478515625,22.1334,20
1664.36,21,15.6149,2620.18,105000,-104.81510162353516,22.0219,21
1802.83,22,16.1369,2541.44,110000,-121.92707061767578,20.8628,22
3167.07,23,13.5914,2985.59,115000,-98.80896759033203,20.688,23
3228.76,24,12.1135,3106.19,120000,-65.08605194091797,20.6334,24
3307.47,25,15.0757,2513.19,125000,-124.86693572998047,19.9479,25
2993.31,26,18.2703,2838.3,130000,-172.0496063232422,21.3249,26
3087.37,27,15.1506,2800.86,135000,-101.0994644165039,20.4135,27
3286.62,28,15.13,2317.69,140000,-103.35411071777344,20.3444,28
3058.22,29,12.8057,2986.36,145000,-110.09735107421875,19.3994,29
2810.03,30,13.8966,2819.4,150000,-189.98619079589844,19.9554,30
3365.75,31,12.1592,2899.35,155000,-104.35115814208984,19.237,31
3378.52,32,13.6279,3334.49,160000,-103.03290557861328,19.7768,32
3287.1,33,13.1517,3392.89,165000,-100.07263946533203,20.3959,33
3446.57,34,21.2087,2357.92,170000,-259.6322326660156,20.1925,34
3464.83,35,13.6141,3096.56,175000,-100.04732513427734,21.1793,35
3077.78,36,38.9822,2204.05,180000,-451.0296325683594,20.8293,36
3417.82,37,24.6527,2853.76,185000,-509.4573974609375,20.6654,37
3183.35,38,15.2606,2406.05,190000,-376.9653015136719,19.8583,38
3415.63,39,13.3532,3230.36,195000,-197.95343017578125,19.5844,39
3446.28,40,19.5939,2098.37,200000,-490.70703125,20.2147,40
3454.7,41,13.7826,3102.94,205000,-164.2359619140625,20.735,41
3446.5,42,12.3419,3425.36,210000,-182.4447479248047,18.4708,42
3493.11,43,13.0572,3037.63,215000,-162.6619110107422,18.8989,43
3526.07,44,12.9994,3482.19,220000,-83.63025665283203,19.711,44
3517.17,45,12.1595,3112.56,225000,-141.30758666992188,19.3138,45
3517.38,46,12.8974,3157.1,230000,-220.3477020263672,19.4373,46
3529.42,47,11.7697,3176.94,235000,-90.85486602783203,18.8348,47
3515.11,48,13.9912,3468.35,240000,-110.10453796386719,19.8766,48
3511.87,49,13.788,3415.67,245000,-141.1510009765625,20.9034,49
3498.69,50,13.8006,3147.95,250000,-298.145751953125,18.5315,50
