Running Reverse KL,Real Det Return,Real Sto Return,Running Forward KL,Itration
22.3311,238.05,225.54,39.5026,0
22.9573,239.59,251.07,39.7318,1
26.1689,253.32,256.28,37.0632,2
16.9364,385.27,366.15,35.7479,3
16.6305,347.45,329.17,36.7273,4
16.6305,395.63,378.77,36.2981,5
18.9337,352.97,342.84,36.3211,6
18.9488,378.34,365.59,36.3678,7
21.5499,394.72,388.52,35.8242,8
21.9821,543.78,463.46,33.0683,9
23.2225,598.97,565.48,31.3618,10
22.0836,481.72,532.02,31.9735,11
26.0684,711.46,783.1,31.7005,12
16.2364,634.53,621.33,32.6129,13
24.5971,624.43,601.46,32.8785,14
20.692,778.97,767.0,31.6367,15
22.4873,759.19,761.46,31.2934,16
17.7709,1062.21,1123.89,29.3592,17
19.1363,943.7,949.32,30.0422,18
17.4074,1113.89,1326.47,28.3252,19
13.1951,1358.03,1155.51,28.5967,20
15.8407,2912.83,2532.45,29.8325,21
14.9198,2652.31,2670.67,30.0594,22
14.7318,3101.92,2971.56,28.9016,23
22.9403,3254.39,1856.7,29.7906,24
14.7224,3147.11,3099.62,28.5091,25
14.9911,3127.94,2952.33,27.7656,26
24.1342,3213.83,2225.53,28.0756,27
22.5732,3197.63,1905.77,27.5771,28
13.3443,3159.81,2883.02,26.5829,29
12.8872,3234.31,2990.93,25.6962,30
15.5032,3229.4,2699.4,26.7474,31
14.0302,3126.25,3131.45,28.1666,32
11.5487,3125.4,3115.54,24.8112,33
