Running Reverse KL,Real Sto Return,Itration,Reward Loss,Real Det Return,Running Update Time,Running Env Steps,Running Forward KL
278.7689,237.13,0,82.10420227050781,256.73,0,0,472.7234
329.4284,266.42,1,-63.390254974365234,261.63,1,5000,443.4485
297.7146,382.83,2,-624.2084350585938,384.76,2,10000,414.0895
256.1193,418.15,3,-948.6046142578125,464.59,3,15000,405.4495
266.5275,414.51,4,-1159.332275390625,495.36,4,20000,433.4544
269.8397,375.93,5,-1235.3792724609375,328.66,5,25000,427.6727
267.4871,355.52,6,-1377.1099853515625,314.95,6,30000,427.3673
263.6061,374.12,7,-1878.185791015625,363.89,7,35000,418.759
244.7772,415.17,8,-1851.76611328125,354.41,8,40000,413.6927
259.0571,427.3,9,-1877.816162109375,409.78,9,45000,415.5123
283.7926,395.99,10,-1935.026611328125,394.67,10,50000,440.2032
251.9311,477.05,11,-2179.530517578125,440.97,11,55000,441.318
270.6247,429.94,12,-2507.720947265625,554.8,12,60000,407.1625
283.0224,494.71,13,-2631.67431640625,685.06,13,65000,404.4246
259.111,442.23,14,-3028.27880859375,459.31,14,70000,399.9568
269.6099,505.56,15,-3064.76025390625,407.15,15,75000,397.8208
273.0205,461.13,16,-2903.352294921875,422.53,16,80000,418.4217
273.365,558.04,17,-3318.54541015625,444.35,17,85000,393.5251
260.4581,594.55,18,-3248.622314453125,491.68,18,90000,391.8382
257.6236,569.05,19,-3710.657958984375,530.25,19,95000,388.6766
250.797,666.83,20,-3507.26708984375,784.91,20,100000,380.5161
245.7604,643.62,21,-3606.557373046875,635.54,21,105000,387.7925
254.8097,678.73,22,-4004.345947265625,692.44,22,110000,375.3376
243.9165,614.04,23,-4306.830078125,668.38,23,115000,377.8318
246.6817,666.91,24,-4282.90185546875,637.83,24,120000,374.5726
250.455,707.27,25,-4375.498046875,547.85,25,125000,387.8406
243.0356,653.9,26,-4332.49951171875,700.22,26,130000,388.5916
253.1123,768.12,27,-4660.7177734375,683.53,27,135000,375.4627
234.1057,690.21,28,-4265.71240234375,718.88,28,140000,374.2166
245.3258,763.41,29,-4646.6162109375,676.75,29,145000,379.1573
254.0025,634.04,30,-4620.1806640625,639.99,30,150000,391.6497
255.7038,694.89,31,-4869.51513671875,627.07,31,155000,367.0253
279.6342,642.52,32,-5439.17138671875,679.5,32,160000,382.4023
224.8257,944.66,33,-5107.43310546875,695.12,33,165000,375.6341
241.4676,743.88,34,-5366.2529296875,811.97,34,170000,370.7195
243.0383,724.04,35,-5366.421875,637.01,35,175000,372.4826
251.4817,758.76,36,-5514.72265625,677.47,36,180000,375.9227
220.974,825.6,37,-5588.2080078125,834.26,37,185000,372.2577
210.5136,838.46,38,-5386.45458984375,713.98,38,190000,367.5285
240.911,779.74,39,-6240.8388671875,719.05,39,195000,377.034
220.1342,978.6,40,-5890.60546875,625.24,40,200000,358.0904
241.499,823.46,41,-6470.7294921875,713.18,41,205000,368.582
254.1383,873.29,42,-6537.98974609375,762.67,42,210000,370.2221
255.8714,760.65,43,-6434.65234375,726.92,43,215000,365.5694
250.8846,522.42,44,-6104.05517578125,665.83,44,220000,389.5756
299.7998,306.59,45,-6853.28857421875,327.03,45,225000,443.3013
314.5109,199.16,46,-7210.123046875,209.1,46,230000,503.2625
300.218,376.14,47,-7068.841796875,366.91,47,235000,442.0539
267.2913,303.23,48,-6396.7841796875,283.83,48,240000,430.1187
285.4286,460.9,49,-7513.2490234375,543.52,49,245000,432.9175
272.1304,459.87,50,-6977.82861328125,491.31,50,250000,424.5124
297.4432,602.24,51,-7106.0283203125,531.64,51,255000,415.8184
269.6033,472.92,52,-7422.11279296875,522.42,52,260000,414.5713
292.97,431.41,53,-7312.0205078125,430.92,53,265000,421.0546
364.1106,398.05,54,-7657.3271484375,312.77,54,270000,452.476
261.8724,460.83,55,-7875.71630859375,408.32,55,275000,432.6572
275.3374,775.34,56,-7190.1533203125,647.36,56,280000,415.3224
346.8381,474.41,57,-8288.3837890625,500.07,57,285000,429.7878
296.9782,333.39,58,-8325.5625,261.33,58,290000,464.9751
310.852,395.7,59,-8824.7890625,424.64,59,295000,461.2202
375.9493,355.06,60,-9882.2216796875,355.7,60,300000,472.1586
295.1095,537.03,61,-9103.787109375,604.11,61,305000,463.2204
287.2762,510.88,62,-8796.3369140625,495.93,62,310000,467.6284
295.623,346.26,63,-9570.7021484375,334.09,63,315000,500.346
282.1665,325.66,64,-8664.1650390625,282.68,64,320000,495.3017
306.8565,405.43,65,-8874.6943359375,377.74,65,325000,469.6846
340.3975,520.71,66,-8209.4326171875,480.59,66,330000,441.766
406.8795,532.7,67,-6623.06201171875,443.99,67,335000,446.9823
329.0923,797.23,68,-7944.06396484375,672.23,68,340000,403.9081
374.0483,721.64,69,-7978.74755859375,658.6,69,345000,439.4988
400.2839,507.07,70,-9342.2939453125,538.67,70,350000,451.264
661.6682,518.56,71,-9000.26953125,480.8,71,355000,409.8367
358.2343,452.63,72,-9338.24609375,479.35,72,360000,440.2972
298.9583,480.38,73,-9573.794921875,515.51,73,365000,446.6008
372.984,328.3,74,-10206.3984375,346.03,74,370000,554.5829
385.1731,306.77,75,-8391.51171875,340.31,75,375000,443.1083
396.0839,228.5,76,-10965.2685546875,234.39,76,380000,475.6309
339.7711,583.0,77,-10926.326171875,663.62,77,385000,433.9012
307.0871,523.87,78,-11015.001953125,560.69,78,390000,453.7535
311.8813,359.45,79,-10728.2490234375,383.04,79,395000,460.2384
281.3509,608.53,80,-10741.642578125,655.33,80,400000,461.7783
271.8379,726.21,81,-10326.44140625,568.27,81,405000,435.992
298.2807,545.18,82,-11669.7685546875,581.01,82,410000,429.8396
290.087,686.24,83,-11717.0546875,650.87,83,415000,433.7002
310.7012,613.06,84,-12011.21875,574.36,84,420000,445.0557
315.0719,677.69,85,-11815.26953125,549.7,85,425000,445.9952
260.717,688.81,86,-10926.98828125,779.38,86,430000,405.2583
278.4661,853.11,87,-11574.9443359375,857.04,87,435000,407.9191
256.4784,477.96,88,-11118.998046875,469.96,88,440000,464.6459
277.606,349.48,89,-12425.302734375,290.49,89,445000,452.9957
271.4605,496.97,90,-11327.2431640625,467.46,90,450000,434.6162
302.1389,355.89,91,-12418.1103515625,369.38,91,455000,455.9918
250.9707,342.79,92,-11750.80078125,331.3,92,460000,456.5859
311.9298,523.78,93,-11796.85546875,493.45,93,465000,445.6598
270.0447,493.05,94,-11807.5771484375,556.81,94,470000,405.0301
284.227,423.13,95,-13270.005859375,516.51,95,475000,440.8718
270.3502,587.75,96,-12656.861328125,517.95,96,480000,418.0052
265.5636,691.27,97,-12750.6376953125,593.07,97,485000,412.8334
244.4675,1019.36,98,-11462.4326171875,926.51,98,490000,397.3566
248.7561,538.17,99,-13064.92578125,602.38,99,495000,408.1095
