Itration,Running Forward KL,Running Reverse KL,Running Env Steps,Real Sto Return,Running Update Time,Reward Loss,Real Det Return
0,158.5605,11.7237,0,-167.96,0,-1388.757568359375,32.76
1,158.193,11.1799,5000,-119.23,1,-1614.5115966796875,15.77
2,157.9443,11.1743,10000,-52.57,2,-1926.5880126953125,250.33
3,157.8574,11.5062,15000,84.09,3,-2321.820556640625,146.09
4,157.9375,11.3391,20000,143.01,4,-2526.559326171875,173.06
5,157.6487,11.4754,25000,308.47,5,-2844.50634765625,204.0
6,157.5453,12.0093,30000,337.2,6,-3193.97021484375,755.04
7,157.2825,11.7593,35000,437.78,7,-3371.75927734375,737.84
8,157.3392,12.0009,40000,495.19,8,-3523.208984375,640.78
9,157.5507,12.7369,45000,550.48,9,-3739.46728515625,769.25
10,157.3991,12.5165,50000,555.54,10,-3828.7392578125,466.26
11,157.1008,12.51,55000,808.39,11,-4002.095703125,1231.75
12,156.9769,12.9371,60000,903.7,12,-4188.23828125,1321.75
13,157.1299,13.6506,65000,946.09,13,-4326.60888671875,1403.7
14,157.1142,14.215,70000,1038.93,14,-4653.92529296875,1490.49
15,156.9851,14.0486,75000,1079.23,15,-4954.84521484375,1499.7
16,156.7574,14.0643,80000,1185.68,16,-5061.52880859375,1542.23
17,156.7124,13.1904,85000,1235.41,17,-5154.97705078125,1747.83
18,156.6051,13.4987,90000,1324.62,18,-5245.59912109375,1799.44
19,156.6476,13.2775,95000,1592.2,19,-5265.75927734375,2115.18
20,156.4666,13.1544,100000,1796.17,20,-4843.02099609375,2396.3
21,156.3261,14.793,105000,2476.41,21,-4819.9912109375,3251.1
22,156.5372,16.0016,110000,3050.91,22,-4446.23291015625,3910.46
23,156.9535,17.5238,115000,3550.36,23,-4361.0302734375,4178.74
24,156.7964,17.8871,120000,3490.38,24,-4426.32177734375,4329.68
25,156.4401,18.1467,125000,3917.41,25,-4545.81640625,4563.49
26,155.8899,17.3469,130000,3987.53,26,-4698.24658203125,4792.57
27,154.9571,16.5667,135000,4512.68,27,-4804.79248046875,5177.99
28,155.6427,16.8141,140000,4789.12,28,-4820.759765625,5526.9
29,155.3571,17.3896,145000,4880.32,29,-4822.6630859375,5579.56
30,154.7925,16.3699,150000,5008.95,30,-5028.87109375,5548.93
31,153.7529,16.4265,155000,5709.48,31,-5027.56787109375,6241.77
32,154.2189,16.7803,160000,5558.38,32,-5100.04736328125,5945.67
33,154.801,17.2943,165000,5837.56,33,-5162.2021484375,6238.72
34,153.91,16.5413,170000,6209.46,34,-5257.91650390625,7008.44
35,152.542,15.9165,175000,6377.36,35,-5376.37109375,7085.82
36,153.5776,16.9234,180000,6406.94,36,-5435.07470703125,6698.49
37,152.8077,17.0153,185000,6336.95,37,-5394.962890625,7163.38
38,152.8388,17.1801,190000,6912.18,38,-5678.6650390625,7094.73
39,153.4944,17.2133,195000,6583.06,39,-5732.90283203125,6777.73
40,152.7666,17.1318,200000,6961.71,40,-6009.931640625,7480.64
41,151.3875,15.1988,205000,7269.94,41,-6165.08447265625,7444.37
42,152.1432,16.7569,210000,7259.25,42,-6011.88916015625,7459.42
43,151.6616,16.9572,215000,7365.76,43,-5933.7685546875,7631.4
44,152.1794,17.4846,220000,7161.51,44,-5975.57958984375,7503.94
45,151.4333,17.0559,225000,7707.82,45,-6259.79931640625,8395.13
46,151.0919,17.3465,230000,7840.46,46,-6178.41064453125,8194.56
47,149.8813,17.2349,235000,7980.93,47,-6505.05419921875,8773.65
48,151.13,17.7821,240000,7575.78,48,-6537.29443359375,8027.14
49,151.3828,17.6163,245000,7719.71,49,-6552.9013671875,8128.77
50,149.9386,17.6954,250000,8099.07,50,-6717.48876953125,8798.66
