Itration,Running Update Time,Reward Loss,Running Forward KL,Real Sto Return,Real Det Return,Running Reverse KL,Running Env Steps
0,0,521.9833374023438,450.6101,322.81,315.54,268.4004,0
1,1,-543.2621459960938,447.0537,310.25,315.31,281.7305,5000
2,2,-655.15576171875,460.608,355.57,301.09,292.8887,10000
3,3,-501.8223571777344,435.1186,405.93,451.92,249.8179,15000
4,4,-862.3621215820312,435.868,413.79,492.75,261.2778,20000
5,5,-1170.33154296875,430.6478,424.21,413.5,278.9093,25000
6,6,-1730.8480224609375,421.2735,485.21,361.9,259.3433,30000
7,7,-1851.5126953125,433.34,468.1,495.67,285.84,35000
8,8,-2158.270751953125,427.8395,438.37,386.6,291.8961,40000
9,9,-2756.071044921875,424.4388,508.15,389.29,317.1324,45000
10,10,-2715.4248046875,418.3316,487.25,464.45,279.9802,50000
11,11,-3101.594970703125,420.8448,524.85,560.36,278.1892,55000
12,12,-3043.568115234375,425.2737,496.71,484.02,279.6304,60000
13,13,-3646.898193359375,419.4945,528.49,463.76,293.0585,65000
14,14,-3694.78271484375,422.0699,515.59,479.22,284.8917,70000
15,15,-3854.99560546875,419.9451,527.96,564.64,268.3871,75000
16,16,-3608.0078125,409.4598,593.31,604.84,270.2822,80000
17,17,-3660.8974609375,423.1709,548.45,548.62,269.7018,85000
18,18,-3833.48193359375,413.3506,594.49,537.35,259.4925,90000
19,19,-4412.91943359375,423.5236,588.1,559.11,250.0767,95000
20,20,-4562.6455078125,404.3673,620.35,652.45,238.6364,100000
21,21,-4582.93115234375,403.3407,612.58,564.26,245.4749,105000
22,22,-5121.408203125,408.879,585.59,641.88,245.5954,110000
23,23,-5153.90576171875,408.9913,597.41,741.3,247.1886,115000
24,24,-5118.95458984375,399.3536,558.83,741.14,241.1821,120000
25,25,-5477.45751953125,407.7572,669.82,626.88,242.1275,125000
26,26,-5578.51513671875,406.6929,673.2,777.02,233.0538,130000
27,27,-6176.95654296875,408.3044,674.07,692.53,245.0719,135000
28,28,-6557.5185546875,406.9239,655.03,663.24,242.1423,140000
29,29,-6491.49462890625,405.2421,722.51,699.25,247.9339,145000
30,30,-6435.14990234375,406.3256,613.33,611.96,244.4417,150000
31,31,-6606.55810546875,397.2543,680.47,562.36,235.8864,155000
32,32,-6754.54345703125,403.7752,791.93,763.2,249.3159,160000
33,33,-6873.72265625,408.8949,670.96,658.3,247.4035,165000
34,34,-6874.82958984375,399.1417,841.72,623.18,233.9101,170000
35,35,-7059.6826171875,396.9487,734.16,596.28,238.8535,175000
36,36,-7024.3369140625,401.6005,795.38,862.72,235.9513,180000
37,37,-7004.36767578125,395.6883,687.19,613.51,230.6444,185000
38,38,-8029.99951171875,401.5595,808.85,644.01,241.4449,190000
39,39,-7533.84228515625,394.4859,837.99,610.22,236.3391,195000
40,40,-7327.23046875,382.9783,783.53,643.88,221.6457,200000
41,41,-7324.54248046875,393.9545,849.09,785.89,224.6401,205000
42,42,-6863.6142578125,376.42,1046.17,891.55,205.9592,210000
43,43,-8498.7392578125,402.6369,1030.97,787.95,249.1776,215000
44,44,-8067.9423828125,389.828,1133.49,855.71,228.4221,220000
45,45,-7676.16943359375,385.114,1122.36,589.33,207.5272,225000
46,46,-7937.33056640625,391.6434,1072.3,795.51,222.0113,230000
47,47,-7095.693359375,376.9424,1265.32,849.15,194.2662,235000
48,48,-8252.0126953125,375.0638,1681.44,842.54,210.6916,240000
49,49,-8206.4658203125,392.291,1062.85,861.59,220.0893,245000
50,50,-6872.68115234375,366.6761,2208.7,903.85,188.8981,250000
51,51,-7513.84521484375,367.756,1454.26,721.66,198.1962,255000
52,52,-9082.6884765625,380.632,880.64,802.62,232.5099,260000
53,53,-7407.13232421875,354.1085,2648.96,1828.79,196.1548,265000
54,54,-9181.546875,376.7064,1212.49,788.44,230.0252,270000
55,55,-3871.80615234375,344.4305,2802.07,1121.42,152.3753,275000
56,56,-7368.01171875,357.9817,1652.82,3159.88,196.6294,280000
57,57,-8368.2509765625,354.8118,1309.15,1462.18,207.3721,285000
58,58,-9054.068359375,360.9289,1934.15,1123.6,211.9952,290000
59,59,-8573.1083984375,358.8908,1592.63,1397.56,207.1919,295000
60,60,-6701.07568359375,340.132,2623.02,1044.46,182.0746,300000
61,61,-2355.43310546875,345.9178,3560.65,895.07,155.2152,305000
62,62,-6741.97998046875,348.3868,2987.1,681.05,173.7586,310000
63,63,-4424.626953125,347.0856,3547.87,1237.1,158.8822,315000
64,64,-3505.53125,345.9559,3731.4,734.03,149.9211,320000
65,65,-6328.5888671875,347.7242,3113.64,845.21,182.8377,325000
66,66,-7864.341796875,348.0751,3069.91,684.5,189.5835,330000
67,67,-6212.685546875,336.7806,2800.02,924.06,162.3198,335000
68,68,-9929.0234375,362.1861,2325.51,771.28,224.4798,340000
69,69,-7886.39794921875,352.3504,2080.75,624.22,191.8786,345000
70,70,-8507.9599609375,357.089,2384.94,2078.49,202.9541,350000
71,71,-10779.5517578125,381.3522,2698.05,3329.47,239.9938,355000
72,72,-10898.68359375,373.9257,1881.58,643.61,248.6935,360000
73,73,-5649.0419921875,340.0378,3401.16,931.36,162.9317,365000
74,74,-11729.5771484375,388.4395,885.15,711.4,264.1296,370000
75,75,-6862.9033203125,337.0599,2426.74,1594.96,165.0246,375000
76,76,-7343.21240234375,351.7372,3621.1,1114.06,180.4277,380000
77,77,-9399.048828125,353.0976,2300.11,802.11,200.002,385000
78,78,-11176.7177734375,372.1347,1053.98,545.49,252.3648,390000
79,79,-10339.25390625,363.7459,1759.21,1200.48,215.9838,395000
80,80,-11638.8193359375,374.23,865.75,665.88,261.5459,400000
81,81,-5014.76025390625,343.6366,4330.24,1068.12,155.1694,405000
82,82,-5705.8095703125,340.3291,3981.73,1052.74,155.4313,410000
83,83,-6393.50341796875,343.2191,4717.23,2791.68,168.2419,415000
84,84,-6311.4052734375,340.1693,4413.45,1224.89,174.5345,420000
85,85,-4563.716796875,334.177,4010.37,1457.93,143.2358,425000
86,86,-9580.416015625,355.4868,1830.14,701.73,210.7699,430000
87,87,-9992.03515625,361.719,1914.28,750.82,213.7607,435000
88,88,-6359.8544921875,337.072,4145.08,1382.47,153.7871,440000
89,89,-4977.57275390625,339.4539,4398.41,856.49,146.0748,445000
90,90,-5548.474609375,333.4836,4351.68,1126.07,142.6542,450000
91,91,-7263.4765625,332.1472,3395.5,731.55,156.26,455000
92,92,-6413.68359375,339.7232,3509.32,1567.96,145.0299,460000
93,93,-5799.224609375,331.7091,4462.97,2269.18,142.1335,465000
94,94,-5770.11181640625,341.5943,4197.84,1387.33,145.3142,470000
95,95,-5448.65966796875,334.4515,4554.09,1688.28,139.9401,475000
96,96,-6088.5068359375,341.6948,4080.26,1600.54,150.7637,480000
