Reward Loss,Itration,Real Sto Return,Running Forward KL,Running Env Steps,Running Reverse KL,Real Det Return,Running Update Time
-372.1625671386719,0,393.76,48.9967,0,12.5713,482.86,0
-237.2963104248047,1,402.3,49.7138,5000,13.2302,406.89,1
-369.5342712402344,2,368.91,50.3945,10000,15.0509,393.72,2
-532.9265747070312,3,333.77,49.0895,15000,13.3354,348.5,3
-782.40771484375,4,407.48,48.8375,20000,12.8206,411.93,4
-976.8319702148438,5,342.39,49.6387,25000,13.8168,350.82,5
-704.6737670898438,6,370.44,49.1271,30000,14.8378,407.65,6
-544.5576782226562,7,492.23,47.9269,35000,22.126,635.9,7
-790.8250122070312,8,627.74,47.8857,40000,17.8826,578.21,8
-797.206787109375,9,663.95,47.7533,45000,16.0033,490.3,9
-632.3377075195312,10,728.68,47.2561,50000,19.758,725.72,10
-704.47021484375,11,811.26,46.8834,55000,19.4126,746.91,11
-896.8123779296875,12,842.57,47.2538,60000,16.9955,917.83,12
-789.2412109375,13,976.69,46.6271,65000,17.1313,1219.39,13
-921.2467651367188,14,1124.07,47.3283,70000,20.6132,948.99,14
-652.9755249023438,15,1052.94,46.9924,75000,25.6591,1081.99,15
-738.4088134765625,16,925.89,48.0633,80000,41.7717,1076.19,16
-959.4342651367188,17,836.59,47.4421,85000,35.7839,710.67,17
-731.1019287109375,18,1893.26,46.131,90000,22.4952,2084.94,18
-1186.5684814453125,19,1182.14,46.2409,95000,15.7801,1288.96,19
-1217.6968994140625,20,1462.52,45.6686,100000,16.8164,1668.14,20
-879.385498046875,21,1672.49,45.8422,105000,20.5563,2171.91,21
-1145.6514892578125,22,1517.95,47.3906,110000,15.4973,1371.76,22
-723.4940185546875,23,2536.9,45.6063,115000,20.3761,2768.53,23
-1199.126953125,24,1998.92,45.9725,120000,18.7949,2833.29,24
-2095.505126953125,25,1173.84,45.787,125000,16.6548,1456.08,25
-1541.99609375,26,2166.54,45.9109,130000,21.399,2749.43,26
-1580.236083984375,27,1728.79,46.3053,135000,25.6774,1991.34,27
-1306.40576171875,28,1614.94,46.8551,140000,34.4872,1866.76,28
-1284.70751953125,29,2049.03,45.9721,145000,32.6101,2303.79,29
-1339.3857421875,30,1890.25,46.1318,150000,44.6416,2210.23,30
-1568.246337890625,31,1793.9,47.0562,155000,29.0714,2107.88,31
-1782.8363037109375,32,1737.31,46.5422,160000,24.8257,1899.7,32
-1993.22412109375,33,1547.03,46.1743,165000,25.195,1711.74,33
-1967.6192626953125,34,1884.33,46.3578,170000,18.1985,2521.04,34
-2128.252197265625,35,1645.22,46.8341,175000,17.6142,1710.58,35
-1853.515869140625,36,2307.12,44.9563,180000,18.1128,2456.94,36
-1848.521240234375,37,2093.42,46.4653,185000,19.4347,2623.05,37
-2512.191650390625,38,1364.67,46.3459,190000,21.854,1722.04,38
-1828.11767578125,39,2076.22,45.6692,195000,19.6129,2468.26,39
-1994.7974853515625,40,1959.79,46.0468,200000,21.1382,2482.28,40
-2067.693603515625,41,1713.04,46.5285,205000,24.4943,2178.51,41
-1807.2548828125,42,1864.26,46.2429,210000,23.5489,2344.84,42
-1905.9739990234375,43,1794.65,46.5698,215000,24.6616,2135.16,43
