Real Sto Return,Running Forward KL,Reward Loss,Running Env Steps,Running Reverse KL,Real Det Return,Running Update Time,Itration
300.47,31.4626,-1267.07958984375,0,22.1691,305.36,0,0
297.19,31.3443,-1360.355224609375,5000,29.6456,303.08,1,1
241.95,31.403,-1442.6104736328125,10000,32.2858,245.97,2,2
307.22,31.3378,-1502.0067138671875,15000,38.2103,313.6,3,3
339.99,30.3436,-1490.5059814453125,20000,37.6668,322.2,4,4
316.16,28.7366,-1158.8743896484375,25000,20.1219,312.94,5,5
329.2,28.5147,-1174.9423828125,30000,16.2916,333.45,6,6
415.34,29.1843,-1353.2581787109375,35000,19.8154,411.31,7,7
512.19,28.3992,-1428.6634521484375,40000,26.0561,533.61,8,8
544.2,29.5899,-1450.621826171875,45000,19.0664,577.99,9,9
614.2,29.1104,-1532.9183349609375,50000,19.6109,621.78,10,10
647.25,27.9441,-1543.041015625,55000,22.9032,665.27,11,11
658.67,27.3641,-1612.3760986328125,60000,23.7332,696.15,12,12
899.73,27.5407,-1540.8607177734375,65000,23.9578,933.37,13,13
915.49,27.5838,-1613.060302734375,70000,26.0948,925.04,14,14
838.31,27.4185,-1700.89599609375,75000,25.7368,853.93,15,15
948.06,27.3925,-1706.050048828125,80000,30.5152,980.17,16,16
1101.36,27.7865,-1648.512939453125,85000,31.3396,1191.82,17,17
938.39,27.513,-1793.2666015625,90000,29.4495,923.21,18,18
804.24,26.8389,-1816.703369140625,95000,26.5585,755.19,19,19
616.01,27.3937,-1341.29345703125,100000,17.932,658.71,20,20
1301.46,26.1691,-1405.8963623046875,105000,18.4726,1094.37,21,21
1010.97,27.7038,-1788.027099609375,110000,18.1209,944.8,22,22
1100.55,27.4541,-1825.13916015625,115000,18.0822,958.25,23,23
1047.68,27.9873,-1831.3226318359375,120000,22.918,1209.11,24,24
2848.27,26.8629,-733.4354248046875,125000,18.331,2955.03,25,25
1772.36,26.5615,-1325.55859375,130000,16.9572,2842.2,26,26
2589.29,26.6773,-1081.72314453125,135000,18.1784,2980.59,27,27
1265.22,26.3348,-1723.5858154296875,140000,18.8516,1374.78,28,28
1738.93,26.1774,-1312.615478515625,145000,24.8806,3013.2,29,29
1770.48,26.0469,-1389.4534912109375,150000,24.2097,3058.32,30,30
2819.31,26.5524,-755.7791748046875,155000,17.6455,2910.89,31,31
1944.3,25.6633,-1348.207275390625,160000,21.3749,3030.36,32,32
2175.28,25.5178,-927.4395141601562,165000,19.5328,3070.27,33,33
1576.85,25.3478,-1585.75048828125,170000,16.7544,3106.99,34,34
2434.06,25.0302,-1004.6896362304688,175000,18.6753,2999.12,35,35
3052.71,27.3232,-633.2899780273438,180000,18.8215,3015.58,36,36
1780.01,25.8146,-1494.6944580078125,185000,20.2485,3164.14,37,37
2036.57,25.0249,-1166.9261474609375,190000,20.6549,3112.22,38,38
1335.57,25.2033,-1931.48388671875,195000,15.9365,1798.1,39,39
1714.92,26.0856,-1458.8726806640625,200000,19.1787,3146.29,40,40
1988.73,25.6583,-1333.7547607421875,205000,29.1253,3088.02,41,41
2793.32,26.3565,-662.0971069335938,210000,17.6472,3087.1,42,42
3010.72,26.7339,-746.0079956054688,215000,17.8795,3010.61,43,43
2860.2,24.7044,-835.6322631835938,220000,15.3796,3030.65,44,44
1862.98,25.0159,-1246.14453125,225000,19.1847,3164.7,45,45
2691.26,25.0886,-1068.914306640625,230000,16.6175,3041.71,46,46
2985.95,24.0673,-856.0228881835938,235000,15.7269,3065.7,47,47
2360.89,24.2966,-1220.4014892578125,240000,15.0055,3063.47,48,48
2721.8,24.2635,-822.827392578125,245000,16.2301,3074.73,49,49
2962.03,24.9524,-733.819091796875,250000,16.6466,3053.94,50,50
2547.43,24.818,-809.0369873046875,255000,16.4061,3048.11,51,51
2421.86,24.7354,-814.0147094726562,260000,16.624,3037.51,52,52
3132.62,25.458,-787.5191650390625,265000,16.1583,3128.68,53,53
2699.32,23.9728,-1019.494384765625,270000,21.0196,3053.21,54,54
2915.5,24.8381,-1003.9707641601562,275000,16.7281,3126.2,55,55
3018.68,25.3887,-848.944580078125,280000,16.5198,3114.81,56,56
2093.35,24.3087,-1408.2445068359375,285000,21.7414,3173.39,57,57
1804.26,24.8145,-1737.599853515625,290000,15.2125,3160.19,58,58
3122.64,25.6779,-819.7947387695312,295000,16.426,3129.49,59,59
2911.1,25.9282,-830.6625366210938,300000,16.6532,3148.48,60,60
2914.05,24.0871,-855.1387329101562,305000,15.6539,3106.43,61,61
3090.08,25.6652,-890.5989990234375,310000,16.6713,3091.57,62,62
3055.99,25.7622,-949.41748046875,315000,16.194,3082.43,63,63
2951.75,24.4077,-1016.1282958984375,320000,14.8787,2981.14,64,64
2903.67,24.7477,-944.2548828125,325000,16.3936,3103.01,65,65
3112.78,25.4461,-939.4981079101562,330000,16.4405,3098.82,66,66
3086.09,24.6091,-984.2680053710938,335000,15.4027,3161.88,67,67
2670.43,23.739,-811.0537719726562,340000,14.7526,3181.36,68,68
3049.39,25.1532,-841.56005859375,345000,16.1808,3164.93,69,69
3134.38,25.4974,-894.2349853515625,350000,16.0314,3139.77,70,70
3122.83,25.0921,-1005.1436157226562,355000,16.1569,3123.07,71,71
2916.32,25.1292,-974.4981689453125,360000,15.9168,3147.83,72,72
3071.02,24.9161,-924.8721313476562,365000,16.0686,3147.41,73,73
3129.21,24.6575,-937.771484375,370000,15.478,3125.36,74,74
3039.46,24.0299,-989.2080078125,375000,15.4517,3144.01,75,75
2628.52,23.9647,-1069.1656494140625,380000,13.804,3210.83,76,76
2657.82,23.5428,-1372.0989990234375,385000,14.7483,3215.18,77,77
3104.94,24.8812,-1093.458984375,390000,15.3646,3108.18,78,78
3100.54,23.9642,-1050.9705810546875,395000,17.6052,3156.9,79,79
3078.65,23.2586,-1142.681640625,400000,14.6572,3170.38,80,80
2969.19,23.8616,-1271.7137451171875,405000,15.6821,3163.62,81,81
2587.18,23.8443,-1089.608154296875,410000,14.0243,3193.32,82,82
2830.5,23.6893,-1226.3621826171875,415000,14.4717,3186.78,83,83
