Running Forward KL,Running Reverse KL,Real Sto Return,Real Det Return,Itration
158.5535,11.9153,-232.3,-75.62,0
158.2044,11.5166,-42.0,329.47,1
158.1479,11.8969,24.56,69.03,2
158.3805,12.831,206.41,758.69,3
158.1335,13.2672,361.58,858.74,4
158.0,14.2188,520.12,934.79,5
157.7931,13.7452,479.45,935.92,6
158.2544,14.165,678.74,885.13,7
158.0066,14.0214,733.46,973.65,8
158.1739,14.7627,824.38,1260.1,9
158.0326,15.5452,969.28,1402.11,10
158.2123,15.9249,1033.79,1452.03,11
157.8883,16.284,1105.81,1535.04,12
157.693,16.2426,1178.91,1595.11,13
157.8612,16.656,1176.72,1571.87,14
157.8579,16.5768,1251.94,1643.96,15
157.9434,16.573,1256.79,1629.36,16
158.0237,16.7249,1292.78,1673.89,17
157.7302,16.9677,1343.01,1713.1,18
157.7784,16.5735,1425.26,1808.33,19
157.963,16.745,1397.42,1762.26,20
157.9189,16.5759,1417.2,1777.38,21
158.0329,16.6064,1418.77,1776.15,22
157.7623,16.6247,1446.01,1806.95,23
158.0414,16.7515,1480.61,1867.08,24
157.7077,16.589,1471.01,1852.87,25
157.6737,16.4853,1486.43,1865.64,26
157.6314,16.3606,1485.95,1849.52,27
157.7216,16.3157,1518.67,1867.88,28
157.8247,16.5079,1545.27,1903.9,29
157.6233,16.2329,1533.68,1909.16,30
157.5405,16.555,1582.56,1911.31,31
157.46,16.5616,1591.62,1973.95,32
157.6619,16.118,1544.26,1893.43,33
157.5304,17.025,1658.29,2021.68,34
157.5483,16.3122,1610.58,1972.41,35
157.1344,15.8339,1613.05,1932.07,36
157.2512,16.1228,1604.85,1928.08,37
157.4643,16.4386,1629.03,1987.95,38
157.4025,16.5039,1642.72,1986.98,39
157.4534,16.261,1603.73,1968.14,40
157.4152,16.1225,1632.14,1951.77,41
157.3257,16.0757,1605.73,1893.41,42
157.6064,16.626,1628.78,1977.18,43
157.6152,16.4593,1620.82,1987.45,44
157.4029,16.2227,1671.49,2028.27,45
157.2129,16.4975,1710.19,2074.26,46
157.2948,16.4375,1675.37,2049.75,47
157.0619,16.2361,1695.85,2093.02,48
157.2554,16.1248,1686.82,2083.55,49
157.0617,16.2007,1699.24,2088.01,50
157.0832,16.3819,1684.07,2076.67,51
157.0765,16.0826,1683.52,2027.51,52
157.2068,15.8905,1678.64,2051.73,53
157.2543,16.0177,1700.35,2064.32,54
157.0309,15.9137,1676.3,2030.14,55
157.0145,16.0847,1700.62,2092.62,56
157.1818,15.8251,1691.42,2008.13,57
157.1439,16.4035,1736.35,2135.85,58
156.8804,15.9254,1734.98,2094.42,59
156.9969,16.571,1716.33,2105.76,60
156.9602,15.9868,1739.47,2087.2,61
156.7675,15.4881,1688.03,2064.7,62
157.0829,16.4004,1745.83,2102.71,63
156.9912,16.1769,1740.2,2144.26,64
157.1481,16.194,1759.93,2086.14,65
157.0289,16.4949,1753.34,2108.82,66
156.8045,16.0046,1744.8,2063.21,67
156.9144,16.09,1751.81,2079.0,68
156.9912,16.0438,1758.8,2092.06,69
156.9604,15.7493,1723.23,2096.33,70
157.0691,16.112,1756.31,2112.54,71
156.9598,15.8884,1759.87,2096.84,72
157.3191,15.9397,1769.97,2141.08,73
156.9944,15.9227,1753.17,2113.37,74
157.0279,15.8687,1763.94,2129.31,75
156.9894,15.8758,1748.21,2113.21,76
156.8651,16.0068,1757.65,2151.28,77
156.9063,15.8251,1753.38,2096.18,78
157.0169,15.6611,1730.42,2047.73,79
156.9993,15.9548,1783.0,2111.98,80
156.751,15.6822,1771.33,2124.28,81
156.935,15.7374,1762.05,2087.11,82
157.2022,15.9917,1761.23,2139.53,83
157.0376,15.4008,1700.93,2050.79,84
156.9832,15.8277,1758.02,2139.11,85
156.8463,16.3112,1805.81,2154.93,86
157.0687,16.0512,1757.69,2104.01,87
156.818,15.6133,1795.99,2171.63,88
156.8781,15.7345,1740.42,2083.15,89
156.8386,15.8094,1782.64,2131.24,90
157.0542,15.8157,1761.85,2158.84,91
157.1013,15.8646,1778.18,2088.54,92
156.9197,15.8626,1801.34,2187.03,93
156.923,16.0948,1804.47,2166.15,94
156.9204,16.1596,1815.58,2196.38,95
156.9279,15.9947,1784.79,2132.53,96
157.0158,15.6606,1763.26,2100.43,97
156.8155,15.5003,1790.56,2099.52,98
156.9363,15.6756,1785.25,2119.06,99
156.7787,15.2679,1796.1,2076.57,100
156.8391,15.8686,1819.62,2154.12,101
